Sensor, CurrentTimeMs, SensorTimestampNano, X, Y, Z
android.sensor.gyroscope,1523718586486,751530856998952,0.0,0.0,0.0
android.sensor.gyroscope,1523718586506,751530876991140,0.0,0.0,0.0
android.sensor.gyroscope,1523718586525,751530896981765,0.0,0.0,0.0
android.sensor.gyroscope,1523718586546,751530916972390,0.0,0.0,0.0
android.sensor.gyroscope,1523718586566,751530936994265,0.0,0.0,0.0
android.sensor.gyroscope,1523718586586,751530956984890,-0.024260076,0.0155334305,0.02698279
android.sensor.gyroscope,1523718586606,751530976977077,0.0,0.0,0.0
android.sensor.gyroscope,1523718586626,751530996998952,0.0,0.0,0.0
android.sensor.gyroscope,1523718586646,751531016989577,0.0,0.0,0.0
android.sensor.gyroscope,1523718586666,751531036980202,0.0,0.0,0.0
android.sensor.gyroscope,1523718586686,751531057003640,0.0,0.0,0.0
android.sensor.gyroscope,1523718586706,751531076994265,0.0,0.0,0.0
android.sensor.gyroscope,1523718586726,751531096984890,0.0,0.0,0.0
android.sensor.gyroscope,1523718586746,751531116975515,0.0,0.0,0.0
android.sensor.gyroscope,1523718586766,751531136997390,0.0,0.0,0.0
android.sensor.gyroscope,1523718586786,751531156988015,-0.02453933,-0.0283616,-0.012810716
android.sensor.gyroscope,1523718586806,751531176980202,-0.027803095,-0.042812925,-0.023439772
android.sensor.gyroscope,1523718586826,751531197002077,-0.019634955,-0.029984757,-0.016353736
android.sensor.gyroscope,1523718586846,751531216992702,-0.025359634,-0.028082348,-0.011170107
android.sensor.gyroscope,1523718586866,751531236983327,0.0,0.0,0.0
android.sensor.gyroscope,1523718586886,751531256973952,-0.03626794,-0.036808994,-0.022078415
android.sensor.gyroscope,1523718586906,751531276997390,-0.04499459,-0.09053023,-0.09025098
android.sensor.gyroscope,1523718586926,751531296988015,-0.03544764,-0.15844099,-0.18406242
android.sensor.gyroscope,1523718586946,751531316978640,-0.036529742,-0.22034782,-0.2795145
android.sensor.gyroscope,1523718586966,751531337000515,-0.044174284,-0.21380283,-0.32915163
android.sensor.gyroscope,1523718586986,751531356992702,-0.059707712,-0.22415264,-0.44804347
android.sensor.gyroscope,1523718587006,751531376983327,-0.08452629,-0.2462485,-0.6122266
android.sensor.gyroscope,1523718587026,751531396973952,-0.10988593,-0.24134412,-0.71638787
android.sensor.gyroscope,1523718587046,751531416995827,-0.12925908,-0.2727077,-0.8110196
android.sensor.gyroscope,1523718587066,751531436986452,-0.15816173,-0.11861257,-0.66376615
android.sensor.gyroscope,1523718587086,751531456978640,-0.18842575,0.15461873,-0.3177023
android.sensor.gyroscope,1523718587106,751531477000515,-0.20587903,0.32724923,-0.057805303
android.sensor.gyroscope,1523718587126,751531496991140,-0.19933406,0.3337942,0.020437805
android.sensor.gyroscope,1523718587146,751531516981765,-0.19442968,0.3177023,0.03626794
android.sensor.gyroscope,1523718587166,751531536973952,-0.18298031,0.43059018,0.28878218
android.sensor.gyroscope,1523718587186,751531556994265,-0.16742943,0.60730475,0.5912303
android.sensor.gyroscope,1523718587206,751531576984890,-0.14507176,0.8546528,0.9637359
