Sensor, CurrentTimeMs, SensorTimestampNano, X, Y, Z
android.sensor.accelerometer,1523718778604,751722976977077,0.6703765,4.951209,8.101978
android.sensor.accelerometer,1523718778624,751722996998952,0.5746084,4.8841715,8.532935
android.sensor.accelerometer,1523718778644,751723016991140,0.31603462,4.8745947,8.801085
android.sensor.accelerometer,1523718778664,751723036980202,0.22026655,4.8841715,8.571242
android.sensor.accelerometer,1523718778684,751723056972390,0.45968673,4.7788267,8.1881695
android.sensor.accelerometer,1523718778704,751723076994265,0.7278373,4.673482,8.303091
android.sensor.accelerometer,1523718778724,751723096984890,0.81402856,4.5872903,8.90643
android.sensor.accelerometer,1523718778744,751723116977077,0.7374141,4.4340615,9.701305
android.sensor.accelerometer,1523718778764,751723136998952,0.641646,4.4340615,10.0269165
android.sensor.accelerometer,1523718778784,751723156989577,0.6799533,4.3478703,9.80665
android.sensor.accelerometer,1523718778804,751723176980202,0.63206923,4.414908,9.193734
android.sensor.accelerometer,1523718778824,751723197002077,0.60333884,4.4723687,8.628703
android.sensor.accelerometer,1523718778844,751723216994265,0.5363012,4.4723687,8.561666
android.sensor.accelerometer,1523718778864,751723236984890,0.545878,4.548983,8.839393
android.sensor.accelerometer,1523718778884,751723256975515,0.6991069,4.6351743,8.944737
android.sensor.accelerometer,1523718778904,751723276997390,0.6512229,4.673482,8.839393
android.sensor.accelerometer,1523718778924,751723296989577,0.34476504,4.7500963,8.724471
android.sensor.accelerometer,1523718778944,751723316978640,0.10534488,4.7405195,8.724471
android.sensor.accelerometer,1523718778964,751723337002077,0.12449849,4.1659107,9.691729
android.sensor.accelerometer,1523718778984,751723356992702,-0.15322891,3.5817258,10.936713
android.sensor.accelerometer,1523718779004,751723376983327,-0.89064306,3.2848446,11.348516
android.sensor.accelerometer,1523718779024,751723396973952,-1.2162545,1.4939818,12.11466
android.sensor.accelerometer,1523718779044,751723416995827,-2.4037786,-1.7717092,14.010868
android.sensor.accelerometer,1523718779064,751723436988015,-7.038953,-7.642292,16.280571
