Sensor, CurrentTimeMs, SensorTimestampNano, X, Y, Z
android.sensor.gyroscope,1523718763586,751707956972390,0.0,0.0,0.0
android.sensor.gyroscope,1523718763605,751707976995827,-0.038990654,0.009808751,-0.03926991
android.sensor.gyroscope,1523718763626,751707996986452,-0.03408628,0.0032637657,-0.044715334
android.sensor.gyroscope,1523718763645,751708016977077,-0.034348078,0.0027227136,-0.044436082
android.sensor.gyroscope,1523718763666,751708036998952,0.0,0.0,0.0
android.sensor.gyroscope,1523718763686,751708056991140,-0.03817035,0.0038048178,-0.040893063
android.sensor.gyroscope,1523718763706,751708076980202,-0.04225442,0.007906342,-0.03598869
android.sensor.gyroscope,1523718763726,751708096972390,-0.042533673,0.00816814,-0.035709437
android.sensor.gyroscope,1523718763746,751708116994265,-0.033807028,0.017715093,-0.0095294975
android.sensor.gyroscope,1523718763766,751708136984890,-0.035168383,0.016632987,-0.006544985
android.sensor.gyroscope,1523718763786,751708156975515,-0.06270968,0.025080381,-0.010349803
android.sensor.gyroscope,1523718763806,751708176998952,-0.029443704,0.023719024,0.011170107
android.sensor.gyroscope,1523718763826,751708196989577,-0.03598869,0.038449604,0.019634955
android.sensor.gyroscope,1523718763846,751708216980202,-0.049619712,0.042812925,0.019355701
android.sensor.gyroscope,1523718763866,751708237002077,-0.040631264,0.033807028,0.018535396
android.sensor.gyroscope,1523718763886,751708256994265,-0.055623643,0.03598869,0.016632987
android.sensor.gyroscope,1523718763906,751708276983327,-0.053721234,0.05290093,0.044436082
android.sensor.gyroscope,1523718763926,751708296975515,-0.053441983,0.07007497,0.06735226
android.sensor.gyroscope,1523718763946,751708316997390,-0.04363323,0.07716101,0.07744026
android.sensor.gyroscope,1523718763966,751708336988015,-0.043895032,0.10826277,0.11206759
android.sensor.gyroscope,1523718763985,751708356978640,-0.042812925,0.151896,0.16198401
android.sensor.gyroscope,1523718764006,751708377002077,-0.025080381,0.1996133,0.22088887
android.sensor.gyroscope,1523718764026,751708396992702,-0.017994344,0.2827957,0.3111573
android.sensor.gyroscope,1523718764046,751708416983327,-0.019355701,0.3654196,0.3937812
android.sensor.gyroscope,1523718764066,751708436975515,-0.034348078,0.41996112,0.44341835
android.sensor.gyroscope,1523718764086,751708456995827,-0.07171558,0.38941786,0.39488074
android.sensor.gyroscope,1523718764106,751708476986452,-0.16252506,0.27296948,0.2252522
android.sensor.gyroscope,1523718764126,751708496978640,-0.09897762,0.38477528,0.40715042
android.sensor.gyroscope,1523718764146,751708517000515,-0.026441738,0.30325097,0.40414843
android.sensor.gyroscope,1523718764166,751708536991140,-0.092170835,-0.5058662,-0.35805428
android.sensor.gyroscope,1523718764186,751708556981765,-1.454348,-2.9978647,-3.2776585
android.sensor.gyroscope,1523718764207,751708576973952,-4.184427,-4.84465,-3.961077
android.sensor.gyroscope,1523718764226,751708596995827,-5.7898507,-5.588597,-2.6714358
