Sensor, CurrentTimeMs, SensorTimestampNano, X, Y, Z
android.sensor.gyroscope,1523718688010,751632376981765,-0.08044223,0.09325294,-5.410521E-4
android.sensor.gyroscope,1523718688026,751632396973952,-0.055902895,0.05290093,-0.011711159
android.sensor.gyroscope,1523718688046,751632416995827,-0.06462954,0.052080624,-0.028082348
android.sensor.gyroscope,1523718688066,751632436986452,-0.074717544,0.042812925,-0.042533673
android.sensor.gyroscope,1523718688086,751632456977077,-0.08234464,0.031346112,-0.06735226
android.sensor.gyroscope,1523718688106,751632477000515,-0.085887656,0.019076448,-0.08644616
android.sensor.gyroscope,1523718688126,751632496991140,-0.09897762,0.00572468,-0.10770427
android.sensor.gyroscope,1523718688146,751632516980202,-0.11016518,-0.002443461,-0.11861257
android.sensor.gyroscope,1523718688166,751632536972390,-0.116430916,-0.009808751,-0.11753047
android.sensor.gyroscope,1523718688186,751632556994265,-0.12571606,-0.017453292,-0.12679817
android.sensor.gyroscope,1523718688206,751632576986452,-0.1308997,-0.014992379,-0.11562806
android.sensor.gyroscope,1523718688226,751632596975515,-0.13362241,-0.00816814,-0.09080948
android.sensor.gyroscope,1523718688246,751632616997390,-0.15707964,8.0285146E-4,-0.07826056
android.sensor.gyroscope,1523718688266,751632636989577,-0.18107791,-0.0010821042,-0.08562585
android.sensor.gyroscope,1523718688286,751632656980202,-0.18188076,-0.0046251225,-0.09299114
android.sensor.gyroscope,1523718688306,751632677002077,-0.17343336,0.031084314,-0.051539574
android.sensor.gyroscope,1523718688326,751632696994265,-0.17453292,0.1134464,0.054803338
android.sensor.gyroscope,1523718688346,751632716984890,-0.16634732,0.48813367,0.5061455
android.sensor.gyroscope,1523718688366,751632736975515,-0.25251424,0.7008544,0.769568
android.sensor.gyroscope,1523718688386,751632756997390,-0.41233402,0.7564781,0.8391194
android.sensor.gyroscope,1523718688406,751632776988015,-0.57377696,0.762482,0.8393812
android.sensor.gyroscope,1523718688425,751632796978640,-0.75049156,0.74939203,0.81484187
