Sensor, CurrentTimeMs, SensorTimestampNano, X, Y, Z
android.sensor.accelerometer,1523718805667,751750036992702,0.8331822,5.094861,8.331821
android.sensor.accelerometer,1523718805684,751750056983327,0.92895025,5.0374002,8.101978
android.sensor.accelerometer,1523718805704,751750076975515,1.0151415,5.0661306,8.178593
android.sensor.accelerometer,1523718805724,751750096995827,0.9672575,5.094861,8.2169
android.sensor.accelerometer,1523718805744,751750116986452,1.0151415,5.094861,8.159439
android.sensor.accelerometer,1523718805764,751750136978640,0.9672575,5.056554,8.1881695
android.sensor.accelerometer,1523718805784,751750157000515,1.043872,5.0757074,8.082825
android.sensor.accelerometer,1523718805804,751750176992702,1.2258313,5.104438,8.236053
android.sensor.accelerometer,1523718805824,751750196981765,1.0151415,5.1810527,8.1402855
android.sensor.accelerometer,1523718805844,751750216973952,0.9864111,5.209783,8.130709
android.sensor.accelerometer,1523718805864,751750236995827,0.94810385,5.2002063,8.303091
android.sensor.accelerometer,1523718805884,751750256986452,1.0342951,5.171476,8.389283
android.sensor.accelerometer,1523718805904,751750276977077,1.3311762,5.1235914,8.465898
android.sensor.accelerometer,1523718805924,751750296998952,1.5131354,5.0757074,8.39886
android.sensor.accelerometer,1523718805944,751750316991140,1.4269443,5.2289367,8.197746
android.sensor.accelerometer,1523718805964,751750336981765,1.340753,5.2959743,8.025364
android.sensor.accelerometer,1523718805984,751750356973952,1.1875241,5.2768207,7.929596
android.sensor.accelerometer,1523718806004,751750376994265,1.2066777,5.171476,7.9104424
android.sensor.accelerometer,1523718806024,751750396984890,1.2258313,5.0278234,7.9008656
android.sensor.accelerometer,1523718806044,751750416977077,1.1492168,4.960786,7.8529816
android.sensor.accelerometer,1523718806064,751750436998952,1.2737153,5.0182467,7.7093296
android.sensor.accelerometer,1523718806084,751750456989577,1.3982137,5.094861,7.5082164
android.sensor.accelerometer,1523718806104,751750476980202,1.4748282,5.133168,7.297527
android.sensor.accelerometer,1523718806124,751750497003640,0.78529817,5.257667,7.383718
android.sensor.accelerometer,1523718806144,751750516994265,-0.5554548,5.439626,8.350976
android.sensor.accelerometer,1523718806164,751750536984890,-3.6104562,5.90889,9.184157
android.sensor.accelerometer,1523718806184,751750556975515,-8.312668,7.0964136,10.0748005
android.sensor.accelerometer,1523718806204,751750576997390,-13.9438305,9.452309,9.615114
android.sensor.accelerometer,1523718806224,751750596989577,-16.922218,9.892841,10.01734
android.sensor.accelerometer,1523718806244,751750616980202,-8.8777,8.963891,7.4507556
android.sensor.accelerometer,1523718806264,751750637002077,5.90889,10.228029,8.437167
android.sensor.accelerometer,1523718806284,751750656992702,22.869415,8.207323,13.560759
android.sensor.accelerometer,1523718806304,751750676983327,30.71282,3.9743748,16.989256
android.sensor.accelerometer,1523718806324,751750696975515,29.410374,-1.8100165,10.879252
android.sensor.accelerometer,1523718806344,751750716997390,25.301924,-5.9759274,-1.2449849
android.sensor.accelerometer,1523718806364,751750736988015,18.282124,-6.6750345,-12.899959
android.sensor.accelerometer,1523718806384,751750756978640,9.892841,-6.6846113,-18.387468
android.sensor.accelerometer,1523718806404,751750777000515,3.1794999,-7.7189064,-18.358738
android.sensor.accelerometer,1523718806424,751750796992702,4.8745947,-8.7053175,-21.634007
android.sensor.accelerometer,1523718806444,751750816983327,8.925584,-8.494628,-27.887661
android.sensor.accelerometer,1523718806464,751750836973952,9.212888,-7.479486,-35.127728
android.sensor.accelerometer,1523718806484,751750856995827,6.9719152,-9.165004,-33.02083
android.sensor.accelerometer,1523718806504,751750876986452,4.721366,-13.158532,-24.334665
android.sensor.accelerometer,1523718806524,751750896978640,3.4859576,-15.95496,-14.681245
android.sensor.accelerometer,1523718806544,751750917000515,1.982399,-16.309301,-9.701305
android.sensor.accelerometer,1523718806564,751750936991140,0.34476504,-15.840038,-9.481039
android.sensor.accelerometer,1523718806584,751750956981765,-1.8866309,-15.840038,-5.9280434
android.sensor.accelerometer,1523718806604,751750976973952,-2.7006595,-16.357185,1.4077905
android.sensor.accelerometer,1523718806624,751750996994265,-2.8060043,-15.351622,5.4204726
android.sensor.accelerometer,1523718806644,751751016986452,-5.1906295,-14.077906,4.0318356
android.sensor.accelerometer,1523718806664,751751036977077,-2.3175871,-13.867216,6.933608
android.sensor.accelerometer,1523718806684,751751056998952,1.0055647,-12.765883,12.258312
android.sensor.accelerometer,1523718806704,751751076989577,3.0454245,-11.463438,13.9151
android.sensor.accelerometer,1523718806724,751751096980202,3.41892,-9.854534,11.358093
