Sensor, CurrentTimeMs, SensorTimestampNano, X, Y, Z
android.sensor.accelerometer,1523718855204,751799576973952,-0.05746084,3.9264908,8.781932
android.sensor.accelerometer,1523718855224,751799596995827,-0.15322891,3.964798,8.983045
android.sensor.accelerometer,1523718855244,751799616986452,-0.1436521,3.9839516,9.088389
android.sensor.accelerometer,1523718855264,751799636977077,-0.15322891,3.8786068,9.107543
android.sensor.accelerometer,1523718855284,751799657000515,-0.1340753,3.8402996,9.107543
android.sensor.accelerometer,1523718855304,751799676991140,0.08619126,3.86903,9.040505
android.sensor.accelerometer,1523718855324,751799696981765,-0.076614454,3.8402996,9.203311
android.sensor.accelerometer,1523718855344,751799716973952,-0.11492168,3.8977604,9.136273
android.sensor.accelerometer,1523718855364,751799736995827,-0.06703765,3.964798,8.8777
android.sensor.accelerometer,1523718855384,751799756986452,-0.095768064,4.0222588,8.810662
android.sensor.accelerometer,1523718855404,751799776977077,-0.05746084,3.9839516,8.810662
android.sensor.accelerometer,1523718855424,751799796998952,0.02873042,4.012682,8.973468
android.sensor.accelerometer,1523718855444,751799816991140,0.019153614,3.9743748,9.155427
android.sensor.accelerometer,1523718855464,751799836981765,0.038307227,3.9935284,9.021352
android.sensor.accelerometer,1523718855484,751799856972390,0.10534488,4.050989,8.925584
android.sensor.accelerometer,1523718855504,751799876994265,-0.06703765,4.0892963,8.935161
android.sensor.accelerometer,1523718855524,751799896986452,-0.05746084,4.0797195,8.839393
android.sensor.accelerometer,1523718855544,751799916977077,-0.076614454,4.0318356,8.734048
android.sensor.accelerometer,1523718855564,751799936998952,0.009576807,4.012682,8.686164
android.sensor.accelerometer,1523718855584,751799956989577,0.009576807,4.0222588,8.571242
android.sensor.accelerometer,1523718855604,751799976980202,-0.08619126,4.0414124,8.542512
android.sensor.accelerometer,1523718855624,751799997003640,0.12449849,4.462792,8.063671
android.sensor.accelerometer,1523718855644,751800016994265,0.92895025,5.4683566,6.540959
android.sensor.accelerometer,1523718855664,751800036984890,2.681506,6.0621185,5.21936
android.sensor.accelerometer,1523718855684,751800056975515,3.763685,6.8282633,4.999093
android.sensor.accelerometer,1523718855704,751800076997390,6.3111157,7.843405,5.1140146
android.sensor.accelerometer,1523718855724,751800096989577,8.935161,8.082825,7.067683
android.sensor.accelerometer,1523718855744,751800116978640,10.7356,10.304645,8.322245
android.sensor.accelerometer,1523718855764,751800137002077,14.729129,7.2687964,9.586384
android.sensor.accelerometer,1523718855784,751800156992702,12.354081,6.483498,16.01242
android.sensor.accelerometer,1523718855804,751800176983327,9.653421,4.8267107,17.353174
android.sensor.accelerometer,1523718855824,751800196973952,7.699753,3.6391866,17.468096
android.sensor.accelerometer,1523718855844,751800216995827,6.0046577,2.2888567,20.09214
android.sensor.accelerometer,1523718855864,751800236988015,5.8801594,0.63206923,24.066515
android.sensor.accelerometer,1523718855884,751800256978640,3.9073372,0.2873042,26.949135
android.sensor.accelerometer,1523718855904,751800277000515,2.9783869,-0.45010993,27.935545
android.sensor.accelerometer,1523718855924,751800296992702,2.4133554,-1.9153614,26.087221
android.sensor.accelerometer,1523718855944,751800316983327,1.3311762,-3.5051112,21.021091
android.sensor.accelerometer,1523718855964,751800336973952,1.091756,-4.865018,23.175873
android.sensor.accelerometer,1523718855984,751800356995827,1.0821792,-6.493075,28.222849
android.sensor.accelerometer,1523718856004,751800376986452,0.9864111,-7.795521,25.895685
android.sensor.accelerometer,1523718856024,751800396978640,0.31603462,-7.6135616,20.887016
android.sensor.accelerometer,1523718856044,751800417000515,-0.10534488,-6.5122285,13.790602
android.sensor.accelerometer,1523718856064,751800436991140,-0.7469909,-5.161899,7.28795
android.sensor.accelerometer,1523718856084,751800456981765,-0.6512229,-4.3957543,6.301539
android.sensor.accelerometer,1523718856104,751800476972390,-1.043872,-4.3287168,7.872135
android.sensor.accelerometer,1523718856124,751800496995827,-0.7565677,-4.9703627,7.326257
android.sensor.accelerometer,1523718856144,751800516984890,-2.3942018,-4.903325,4.8362875
android.sensor.accelerometer,1523718856164,751800536977077,-3.1507695,-5.3438582,1.8866309
android.sensor.accelerometer,1523718856184,751800556998952,-3.2561142,-5.0661306,0.79487497
android.sensor.accelerometer,1523718856204,751800576991140,-3.1794999,-4.8458643,0.37349546
android.sensor.accelerometer,1523718856224,751800596980202,-3.2561142,-4.76925,-0.45968673
android.sensor.accelerometer,1523718856244,751800617003640,-2.7964275,-4.9799395,-1.8866309
android.sensor.accelerometer,1523718856264,751800636994265,-2.72939,-4.865018,-4.271256
android.sensor.accelerometer,1523718856284,751800656983327,-2.882619,-5.104438,-3.1507695
android.sensor.accelerometer,1523718856304,751800676975515,-1.6759412,-5.985504,-0.36391866
android.sensor.accelerometer,1523718856324,751800696997390,1.1587936,-7.2113357,0.37349546
android.sensor.accelerometer,1523718856344,751800716988015,2.3558946,-7.967903,-1.6472107
android.sensor.accelerometer,1523718856364,751800736980202,2.4899697,-8.542512,-4.4340615
android.sensor.accelerometer,1523718856384,751800757002077,4.280833,-9.624691,-4.3957543
android.sensor.accelerometer,1523718856404,751800776992702,8.896853,-10.697293,-4.31914
android.sensor.accelerometer,1523718856424,751800796983327,11.262324,-10.189722,-5.947197
android.sensor.accelerometer,1523718856444,751800816975515,11.061212,-10.582372,-5.861006
android.sensor.accelerometer,1523718856464,751800836997390,13.781025,-10.7356,-6.5601125
android.sensor.accelerometer,1523718856484,751800856988015,14.489709,-10.151415,-10.295067
android.sensor.accelerometer,1523718856504,751800876978640,14.240712,-10.04607,-10.304645
android.sensor.accelerometer,1523718856524,751800897000515,16.299725,-10.620679,-10.189722
android.sensor.accelerometer,1523718856544,751800916991140,17.324444,-10.97502,-12.660539
android.sensor.accelerometer,1523718856564,751800936983327,16.654066,-11.33894,-12.698846
android.sensor.accelerometer,1523718856584,751800956973952,18.780119,-11.923124,-12.181698
android.sensor.accelerometer,1523718856604,751800976995827,19.37388,-12.076353,-15.303738
android.sensor.accelerometer,1523718856624,751800996986452,17.774553,-11.9614315,-16.64449
android.sensor.accelerometer,1523718856644,751801016977077,18.243816,-12.248735,-15.610195
android.sensor.accelerometer,1523718856664,751801037000515,18.674774,-12.306197,-16.682798
android.sensor.accelerometer,1523718856684,751801056991140,18.282124,-12.229582,-17.640478
android.sensor.accelerometer,1523718856704,751801076981765,18.128895,-12.449849,-15.8783455
android.sensor.accelerometer,1523718856724,751801096972390,16.548721,-12.919112,-14.077906
android.sensor.accelerometer,1523718856744,751801116994265,15.275007,-13.283031,-12.229582
android.sensor.accelerometer,1523718856764,751801136986452,13.761871,-13.388376,-8.820239
android.sensor.accelerometer,1523718856784,751801156977077,12.794614,-12.823344,-6.445191
android.sensor.accelerometer,1523718856804,751801176998952,11.080365,-11.789049,-5.7365074
android.sensor.accelerometer,1523718856824,751801196989577,10.304645,-11.051635,-3.9743748
android.sensor.accelerometer,1523718856844,751801216980202,16.587029,-9.490616,-3.667917
android.sensor.accelerometer,1523718856864,751801236972390,21.021091,-8.149862,-5.813122
android.sensor.accelerometer,1523718856884,751801256994265,21.193474,-8.197746,-1.2162545
android.sensor.accelerometer,1523718856904,751801276984890,22.7928,-7.52737,2.882619
android.sensor.accelerometer,1523718856924,751801296975515,23.39614,-5.583278,3.2944214
android.sensor.accelerometer,1523718856944,751801316997390,21.030668,-3.7828386,5.5162406
android.sensor.accelerometer,1523718856964,751801336989577,17.257406,-2.3750482,7.73806
android.sensor.accelerometer,1523718856984,751801356980202,12.315774,-2.1547816,8.159439
android.sensor.accelerometer,1523718857004,751801377002077,8.973468,-0.8619126,8.619126
android.sensor.accelerometer,1523718857025,751801396992702,7.7572136,0.4309563,7.431602
android.sensor.accelerometer,1523718857045,751801416983327,5.899313,1.1587936,4.2904096
android.sensor.accelerometer,1523718857065,751801436975515,3.4763808,1.1300632,2.1930888
android.sensor.accelerometer,1523718857085,751801456997390,-0.18195933,0.7086837,1.3024458
android.sensor.accelerometer,1523718857105,751801476988015,-4.0222588,0.35434186,1.0534488
android.sensor.accelerometer,1523718857125,751801496980202,-5.315128,0.29688102,-0.019153614
android.sensor.accelerometer,1523718857145,751801517000515,-3.217807,0.7086837,-4.673482
