Sensor, CurrentTimeMs, SensorTimestampNano, X, Y, Z
android.sensor.gyroscope,1523718894228,751838596973952,-0.05862561,0.030543262,0.04145157
android.sensor.gyroscope,1523718894245,751838616997390,-0.062168628,0.041992623,0.059986968
android.sensor.gyroscope,1523718894266,751838636988015,-0.05454154,0.044174284,0.06544985
android.sensor.gyroscope,1523718894285,751838656978640,-0.056985,0.048258353,0.07253588
android.sensor.gyroscope,1523718894306,751838677000515,-0.046076693,0.034627333,0.05235988
android.sensor.gyroscope,1523718894326,751838696991140,-0.047996555,0.032724924,0.03598869
android.sensor.gyroscope,1523718894346,751838716981765,-0.03626794,0.0283616,0.032166418
android.sensor.gyroscope,1523718894366,751838736973952,0.0,0.0,0.0
android.sensor.gyroscope,1523718894386,751838756995827,0.0,0.0,0.0
android.sensor.gyroscope,1523718894406,751838776986452,-0.031625368,0.020996312,0.01144936
android.sensor.gyroscope,1523718894426,751838796978640,0.0,0.0,0.0
android.sensor.gyroscope,1523718894446,751838817000515,0.0,0.0,0.0
android.sensor.gyroscope,1523718894466,751838836991140,0.0,0.0,0.0
android.sensor.gyroscope,1523718894486,751838856981765,0.0,0.0,0.0
android.sensor.gyroscope,1523718894506,751838876973952,0.0,0.0,0.0
android.sensor.gyroscope,1523718894526,751838896994265,-0.053162728,-0.005986479,-0.042812925
android.sensor.gyroscope,1523718894546,751838916986452,-0.026720991,-0.012269665,-0.026441738
android.sensor.gyroscope,1523718894566,751838936977077,-0.03926991,-0.029164452,-0.027541295
android.sensor.gyroscope,1523718894586,751838956998952,0.0,0.0,0.0
android.sensor.gyroscope,1523718894606,751838976989577,-0.018256145,-0.05071927,0.015812684
android.sensor.gyroscope,1523718894626,751838996980202,-0.011170107,-0.06435029,0.020437805
android.sensor.gyroscope,1523718894646,751839016972390,0.021537364,-0.10307915,-0.06407104
android.sensor.gyroscope,1523718894666,751839036994265,0.10416125,-0.21924827,-0.4155978
android.sensor.gyroscope,1523718894686,751839056984890,0.08670796,-0.21460569,-0.5661324
android.sensor.gyroscope,1523718894706,751839076975515,0.02453933,-0.15598008,-0.593953
android.sensor.gyroscope,1523718894726,751839096997390,0.022357667,-0.20587903,-0.93046993
android.sensor.gyroscope,1523718894746,751839116989577,-0.018256145,-0.21652554,-1.1620053
android.sensor.gyroscope,1523718894766,751839136980202,-0.07253588,-0.23043582,-1.3807125
android.sensor.gyroscope,1523718894786,751839157002077,-0.082623884,-0.28115508,-1.5105126
android.sensor.gyroscope,1523718894806,751839176992702,-0.06462954,-0.36760125,-1.6801412
android.sensor.gyroscope,1523718894827,751839196983327,-0.10143854,-0.45268604,-2.0379336
android.sensor.gyroscope,1523718894846,751839216973952,0.056985,-0.9863728,-3.2348456
android.sensor.gyroscope,1523718894866,751839236997390,0.871024,-3.0265057,-7.0920234
android.sensor.gyroscope,1523718894886,751839256988015,1.9629369,-5.1069903,-10.8581295
android.sensor.gyroscope,1523718894906,751839276978640,2.2877426,-5.306342,-11.336454
android.sensor.gyroscope,1523718894927,751839297000515,2.299192,-4.8563786,-10.820483
android.sensor.gyroscope,1523718894946,751839316991140,2.1892886,-4.2146907,-10.060723
android.sensor.gyroscope,1523718894966,751839336981765,1.9847535,-3.58447,-9.355767
android.sensor.gyroscope,1523718894986,751839356973952,1.6858659,-3.0597715,-8.849901
android.sensor.gyroscope,1523718895006,751839376995827,1.24435,-2.6763403,-8.683013
android.sensor.gyroscope,1523718895027,751839396986452,0.4922352,-2.378273,-8.954621
android.sensor.gyroscope,1523718895046,751839416978640,-0.9836501,-1.9779468,-9.562485
android.sensor.gyroscope,1523718895066,751839437000515,-3.3046587,-1.451887,-9.662579
android.sensor.gyroscope,1523718895086,751839456991140,-5.3685107,-1.27327,-8.80817
android.sensor.gyroscope,1523718895106,751839476981765,-6.3333635,-1.4409788,-7.64072
android.sensor.gyroscope,1523718895127,751839496973952,-6.6167,-1.7466906,-6.6180615
android.sensor.gyroscope,1523718895146,751839516995827,-6.4086223,-1.9193037,-5.7835846
android.sensor.gyroscope,1523718895166,751839536986452,-5.9597406,-1.9509465,-5.1200805
android.sensor.gyroscope,1523718895186,751839556977077,-5.4372416,-1.923667,-4.587214
android.sensor.gyroscope,1523718895206,751839576998952,-4.8839197,-1.8306758,-4.152505
android.sensor.gyroscope,1523718895227,751839596989577,-4.3753138,-1.7663256,-3.806179
android.sensor.gyroscope,1523718895246,751839616981765,-3.8899026,-1.6692328,-3.4745665
android.sensor.gyroscope,1523718895266,751839636972390,-3.3343818,-1.5047879,-3.160669
android.sensor.gyroscope,1523718895286,751839656994265,-2.7998745,-1.3471673,-2.8737893
android.sensor.gyroscope,1523718895306,751839676984890,-2.3070984,-1.2549964,-2.5989
android.sensor.gyroscope,1523718895327,751839696975515,-1.8639418,-1.1988143,-2.347468
android.sensor.gyroscope,1523718895346,751839716997390,-1.4570707,-1.1142706,-2.130925
android.sensor.gyroscope,1523718895366,751839736989577,-1.0474594,-1.0261837,-1.9209443
android.sensor.gyroscope,1523718895386,751839756980202,-0.68121946,-0.9520073,-1.7134072
android.sensor.gyroscope,1523718895406,751839777002077,-0.40851176,-0.894202,-1.5312471
android.sensor.gyroscope,1523718895427,751839796992702,-0.21324433,-0.8524712,-1.3640795
android.sensor.gyroscope,1523718895446,751839816983327,-0.020176006,-0.8091172,-1.177818
android.sensor.gyroscope,1523718895466,751839836975515,0.22579324,-0.7540346,-0.92720616
