Sensor, CurrentTimeMs, SensorTimestampNano, X, Y, Z
android.sensor.accelerometer,1523718919324,751863696972390,0.81402856,7.249643,6.445191
android.sensor.accelerometer,1523718919344,751863716994265,0.8714894,7.249643,6.4643445
android.sensor.accelerometer,1523718919364,751863736984890,0.90979666,7.249643,6.3302693
android.sensor.accelerometer,1523718919384,751863756977077,0.8810662,7.3166804,6.167464
android.sensor.accelerometer,1523718919404,751863776998952,0.94810385,7.297527,6.3781533
android.sensor.accelerometer,1523718919424,751863796989577,0.9768343,7.2209125,6.7708025
android.sensor.accelerometer,1523718919444,751863816980202,0.90979666,7.2113357,6.7708025
android.sensor.accelerometer,1523718919464,751863837002077,0.93852705,7.2113357,6.7229185
android.sensor.accelerometer,1523718919484,751863856994265,0.8523358,7.2113357,6.6175733
android.sensor.accelerometer,1523718919504,751863876983327,0.8619126,7.249643,6.5026517
android.sensor.accelerometer,1523718919524,751863896975515,0.9959879,7.2687964,6.3685765
android.sensor.accelerometer,1523718919544,751863916997390,1.0247183,7.2783732,6.3302693
android.sensor.accelerometer,1523718919564,751863936989577,1.043872,7.2209125,6.445191
android.sensor.accelerometer,1523718919584,751863956980202,1.0247183,7.240066,6.38773
android.sensor.accelerometer,1523718919604,751863977002077,0.93852705,7.3166804,6.2823853
android.sensor.accelerometer,1523718919624,751863996992702,1.0342951,7.28795,6.4068837
android.sensor.accelerometer,1523718919644,751864016983327,1.1109096,7.297527,6.5122285
android.sensor.accelerometer,1523718919664,751864036973952,1.1013328,7.28795,6.38773
android.sensor.accelerometer,1523718919684,751864056995827,0.7086837,7.5561004,6.349423
android.sensor.accelerometer,1523718919704,751864076986452,0.31603462,8.130709,6.38773
android.sensor.accelerometer,1523718919724,751864096978640,-0.4213795,8.954314,6.4643445
android.sensor.accelerometer,1523718919744,751864117000515,0.20111294,9.107543,6.445191
android.sensor.accelerometer,1523718919764,751864136992702,-0.91937345,10.783484,8.446744
android.sensor.accelerometer,1523718919784,751864156981765,-1.4173675,11.712435,9.691729
android.sensor.accelerometer,1523718919804,751864176973952,-1.7908629,13.062764,10.601525
android.sensor.accelerometer,1523718919824,751864196995827,-1.7621324,12.899959,10.97502
android.sensor.accelerometer,1523718919844,751864216986452,-4.55856,16.041151,13.177686
android.sensor.accelerometer,1523718919864,751864236977077,-1.1492168,13.081918,13.67568
android.sensor.accelerometer,1523718919884,751864257000515,-0.45010993,12.401965,12.966996
android.sensor.accelerometer,1523718919904,751864276991140,-1.1013328,8.465898,19.34515
android.sensor.accelerometer,1523718919924,751864296981765,2.1930888,2.920926,25.847801
android.sensor.accelerometer,1523718919944,751864316972390,4.2425256,-0.7374141,24.066515
android.sensor.accelerometer,1523718919964,751864336994265,4.7309427,-2.825158,15.456966
android.sensor.accelerometer,1523718919984,751864356984890,5.7843914,-4.9320555,9.682152
android.sensor.accelerometer,1523718920004,751864376977077,7.73806,-7.086837,6.579266
android.sensor.accelerometer,1523718920024,751864396998952,8.896853,-9.193734,3.074155
android.sensor.accelerometer,1523718920044,751864416989577,8.2169,-10.093954,-2.566584
android.sensor.accelerometer,1523718920064,751864436980202,4.960786,-10.43872,-6.7803793
