Sensor, CurrentTimeMs, SensorTimestampNano, X, Y, Z
android.sensor.gyroscope,1523718927146,751871516989577,-0.0376293,0.044174284,0.05235988
android.sensor.gyroscope,1523718927165,751871536980202,-0.033265974,0.04553564,0.053721234
android.sensor.gyroscope,1523718927186,751871556972390,-0.02617994,0.040893063,0.047996555
android.sensor.gyroscope,1523718927206,751871576994265,0.0,0.0,0.0
android.sensor.gyroscope,1523718927226,751871596984890,0.0,0.0,0.0
android.sensor.gyroscope,1523718927246,751871616975515,0.0,0.0,0.0
android.sensor.gyroscope,1523718927266,751871636997390,0.0,0.0,0.0
android.sensor.gyroscope,1523718927286,751871656989577,0.0,0.0,0.0
android.sensor.gyroscope,1523718927306,751871676980202,0.0,0.0,0.0
android.sensor.gyroscope,1523718927326,751871697002077,-0.022619467,-0.013892821,-0.029443704
android.sensor.gyroscope,1523718927346,751871716994265,-0.029722957,-0.022619467,-0.041992623
android.sensor.gyroscope,1523718927366,751871736983327,-0.036529742,-0.027803095,-0.050981067
android.sensor.gyroscope,1523718927386,751871756975515,-0.021537364,-0.016074482,-0.028902652
android.sensor.gyroscope,1523718927405,751871776997390,-0.03080506,-0.022619467,-0.04117232
android.sensor.gyroscope,1523718927426,751871796988015,-0.031084314,-0.02289872,-0.040893063
android.sensor.gyroscope,1523718927446,751871816978640,-0.022357667,-0.016074482,-0.0283616
android.sensor.gyroscope,1523718927466,751871837002077,-0.022619467,-0.016074482,-0.0283616
android.sensor.gyroscope,1523718927486,751871856992702,0.0,0.0,0.0
android.sensor.gyroscope,1523718927506,751871876983327,0.0,0.0,0.0
android.sensor.gyroscope,1523718927526,751871896973952,-0.01308997,-0.014172073,0.034627333
android.sensor.gyroscope,1523718927546,751871916995827,0.0035430184,-0.0109083075,0.17507398
android.sensor.gyroscope,1523718927566,751871936986452,0.037891097,-0.019355701,0.3111573
android.sensor.gyroscope,1523718927586,751871956978640,0.07826056,-0.089448124,0.28005552
android.sensor.gyroscope,1523718927606,751871977000515,0.12597786,-0.17479472,0.20315632
android.sensor.gyroscope,1523718927626,751871996991140,0.1701696,-0.25715682,0.10634291
android.sensor.gyroscope,1523718927645,751872016981765,0.20071286,-0.29532716,0.02480113
android.sensor.gyroscope,1523718927665,751872036973952,0.20970131,-0.26015878,-0.046896998
android.sensor.gyroscope,1523718927685,751872056995827,0.17589428,-0.12679817,-0.12053244
android.sensor.gyroscope,1523718927705,751872076986452,0.11126474,0.087807514,-0.10988593
android.sensor.gyroscope,1523718927727,751872096977077,0.026441738,0.3498687,-0.10416125
android.sensor.gyroscope,1523718927746,751872117000515,-0.045814894,0.58358574,-0.19552924
android.sensor.gyroscope,1523718927766,751872136991140,-0.06462954,0.7333001,-0.25497514
