Sensor, CurrentTimeMs, SensorTimestampNano, X, Y, Z
android.sensor.accelerometer,1523719009232,751953596970827,-0.35434186,6.751649,7.086837
android.sensor.accelerometer,1523719009244,751953616994265,-0.4405331,6.7324953,7.07726
android.sensor.accelerometer,1523719009264,751953636984890,-0.39264908,6.6750345,7.0102224
android.sensor.accelerometer,1523719009284,751953656977077,-0.40222588,6.7133417,6.9527617
android.sensor.accelerometer,1523719009304,751953676997390,-0.46926352,6.694188,6.991069
android.sensor.accelerometer,1523719009324,751953696989577,-0.45968673,6.703765,7.240066
android.sensor.accelerometer,1523719009344,751953716980202,-0.34476504,6.6846113,7.345411
android.sensor.accelerometer,1523719009364,751953737002077,-0.2777274,6.655881,7.2209125
android.sensor.accelerometer,1523719009384,751953756994265,-0.30645782,6.6654577,7.0964136
android.sensor.accelerometer,1523719009404,751953776984890,-0.31603462,6.751649,7.1826053
android.sensor.accelerometer,1523719009424,751953796975515,-0.23942018,6.7708025,7.2113357
android.sensor.accelerometer,1523719009444,751953816997390,-0.24899697,6.751649,7.1634517
android.sensor.accelerometer,1523719009464,751953836988015,-0.33518824,6.789956,7.1634517
android.sensor.accelerometer,1523719009484,751953856978640,-0.22984336,6.799533,7.1634517
android.sensor.accelerometer,1523719009504,751953877002077,-0.19153613,6.789956,7.144298
android.sensor.accelerometer,1523719009524,751953896992702,-0.25857377,6.7229185,7.1634517
android.sensor.accelerometer,1523719009544,751953916983327,-0.19153613,6.588843,7.0102224
android.sensor.accelerometer,1523719009564,751953936973952,0.19153613,5.8322754,6.895301
android.sensor.accelerometer,1523719009584,751953956995827,0.30645782,4.807557,6.655881
android.sensor.accelerometer,1523719009604,751953976986452,0.7374141,3.1603463,5.3725886
android.sensor.accelerometer,1523719009624,751953996978640,0.05746084,1.8195933,4.4340615
android.sensor.accelerometer,1523719009645,751954017000515,0.019153614,1.1300632,4.1180267
android.sensor.accelerometer,1523719009665,751954036991140,-0.641646,1.9057846,2.3558946
android.sensor.accelerometer,1523719009685,751954056981765,-2.6431987,7.489063,-0.90021986
android.sensor.accelerometer,1523719009705,751954076973952,-4.5394063,21.883003,4.5298295
android.sensor.accelerometer,1523719009725,751954096995827,0.41180268,35.884296,12.430696
android.sensor.accelerometer,1523719009745,751954116986452,6.253655,43.689392,14.78659
android.sensor.accelerometer,1523719009764,751954136977077,18.406622,40.059784,22.151154
android.sensor.accelerometer,1523719009784,751954156998952,21.279665,29.075186,35.6353
android.sensor.accelerometer,1523719009804,751954176989577,10.524911,15.619772,43.469128
android.sensor.accelerometer,1523719009824,751954196980202,6.1004257,0.4309563,41.582497
android.sensor.accelerometer,1523719009844,751954216972390,5.583278,-17.046717,14.087482
android.sensor.accelerometer,1523719009864,751954236994265,9.931149,-26.221296,-5.21936
android.sensor.accelerometer,1523719009884,751954256984890,6.0525417,-33.844437,-17.669209
android.sensor.accelerometer,1523719009904,751954276975515,-9.442732,-35.89387,-18.387468
android.sensor.accelerometer,1523719009924,751954296998952,-14.729129,-35.66403,-13.781025
android.sensor.accelerometer,1523719009944,751954316989577,-13.120225,-29.314606,-15.571888
android.sensor.accelerometer,1523719009964,751954336980202,-7.8912888,-21.662737,-19.13446
android.sensor.accelerometer,1523719009984,751954357002077,-2.2218192,-13.8480625,-15.217546
android.sensor.accelerometer,1523719010004,751954376992702,2.4612393,-2.3463178,-5.2385135
android.sensor.accelerometer,1523719010024,751954396983327,7.2592196,18.368315,6.4068837
android.sensor.accelerometer,1523719010044,751954416975515,15.71554,41.352654,15.389929
android.sensor.accelerometer,1523719010064,751954436997390,25.598804,51.456184,26.642677
android.sensor.accelerometer,1523719010084,751954456988015,18.92377,50.9965,40.078938
android.sensor.accelerometer,1523719010104,751954476978640,11.243171,40.18428,46.51455
android.sensor.accelerometer,1523719010124,751954497002077,10.850522,22.898146,32.44622
android.sensor.accelerometer,1523719010144,751954516991140,8.236053,8.580819,7.5082164
android.sensor.accelerometer,1523719010164,751954536983327,6.8761473,1.3694834,-11.463438
android.sensor.accelerometer,1523719010184,751954556973952,4.8267107,-4.453215,-18.330008
android.sensor.accelerometer,1523719010204,751954576995827,2.7868507,-10.936713,-10.773908
android.sensor.accelerometer,1523719010224,751954596986452,1.8195933,-21.260511,-3.3327289
android.sensor.accelerometer,1523719010244,751954616978640,-6.244078,-26.048914,-2.930503
android.sensor.accelerometer,1523719010264,751954637000515,-12.11466,-25.608381,-7.7093296
android.sensor.accelerometer,1523719010284,751954656991140,-14.757859,-21.739351,-11.15698
android.sensor.accelerometer,1523719010304,751954676981765,-12.373235,-18.349161,-9.14585
android.sensor.accelerometer,1523719010324,751954696973952,-7.9583263,-15.198392,-4.2425256
android.sensor.accelerometer,1523719010344,751954716995827,-6.445191,-8.571242,-1.5514427
android.sensor.accelerometer,1523719010364,751954736986452,-2.6048915,6.1770406,4.6830587
android.sensor.accelerometer,1523719010384,751954756977077,16.922218,21.65316,20.216639
android.sensor.accelerometer,1523719010404,751954777000515,27.408821,33.86359,20.743364
android.sensor.accelerometer,1523719010424,751954796991140,24.325089,35.644875,18.167202
android.sensor.accelerometer,1523719010444,751954816981765,15.533581,29.860483,22.926876
android.sensor.accelerometer,1523719010464,751954836972390,6.1387334,22.831108,24.478317
android.sensor.accelerometer,1523719010484,751954856994265,3.3423057,15.351622,20.84871
android.sensor.accelerometer,1523719010504,751954876984890,2.873042,9.615114,12.717999
android.sensor.accelerometer,1523719010524,751954896977077,3.7828386,6.3302693,5.363012
android.sensor.accelerometer,1523719010544,751954916998952,2.480393,5.142745,0.06703765
android.sensor.accelerometer,1523719010564,751954936989577,0.5363012,4.3957543,-1.4460979
android.sensor.accelerometer,1523719010584,751954956980202,-0.49799395,3.7445314,-0.4405331
android.sensor.accelerometer,1523719010604,751954977003640,-0.16280572,3.6008794,1.7046716
android.sensor.accelerometer,1523719010624,751954996992702,0.019153614,4.5298295,3.2273839
android.sensor.accelerometer,1523719010644,751955016984890,-0.36391866,5.650316,1.4939818
android.sensor.accelerometer,1523719010664,751955036975515,-0.51714754,6.7612257,1.0247183
android.sensor.accelerometer,1523719010684,751955056997390,-0.47884035,7.4986396,2.1739352
android.sensor.accelerometer,1523719010704,751955076989577,-0.10534488,8.236053,3.3518825
android.sensor.accelerometer,1523719010724,751955096978640,0.641646,8.868123,3.916914
android.sensor.accelerometer,1523719010744,751955117002077,0.93852705,9.442732,3.821146
android.sensor.accelerometer,1523719010764,751955136992702,1.1204864,9.672575,3.3806129
android.sensor.accelerometer,1523719010784,751955156983327,1.2258313,9.787497,3.2944214
android.sensor.accelerometer,1523719010804,751955176975515,1.1109096,9.749189,3.1986535
