Sensor, CurrentTimeMs, SensorTimestampNano, X, Y, Z
android.sensor.gyroscope,1523718970946,751915316980202,0.0,0.0,0.0
android.sensor.gyroscope,1523718970965,751915337002077,0.0,0.0,0.0
android.sensor.gyroscope,1523718970986,751915356992702,0.0,0.0,0.0
android.sensor.gyroscope,1523718971006,751915376984890,0.0,0.0,0.0
android.sensor.gyroscope,1523718971026,751915396973952,0.0,0.0,0.0
android.sensor.gyroscope,1523718971046,751915416997390,0.027803095,-0.006265732,0.027541295
android.sensor.gyroscope,1523718971066,751915436988015,0.027541295,-0.00572468,0.027803095
android.sensor.gyroscope,1523718971086,751915456978640,0.0,0.0,0.0
android.sensor.gyroscope,1523718971106,751915477000515,0.0,0.0,0.0
android.sensor.gyroscope,1523718971126,751915496992702,0.0,0.0,0.0
android.sensor.gyroscope,1523718971146,751915516983327,0.0,0.0,0.0
android.sensor.gyroscope,1523718971166,751915536973952,0.0,0.0,0.0
android.sensor.gyroscope,1523718971186,751915556995827,0.0,0.0,0.0
android.sensor.gyroscope,1523718971206,751915576986452,0.0,0.0,0.0
android.sensor.gyroscope,1523718971226,751915596977077,0.0,0.0,0.0
android.sensor.gyroscope,1523718971246,751915617000515,0.0,0.0,0.0
android.sensor.gyroscope,1523718971266,751915636991140,0.0,0.0,0.0
android.sensor.gyroscope,1523718971286,751915656981765,0.0,0.0,0.0
android.sensor.gyroscope,1523718971306,751915676973952,0.008447394,-0.033807028,-0.01881465
android.sensor.gyroscope,1523718971326,751915696995827,0.0,0.0,0.0
android.sensor.gyroscope,1523718971346,751915716986452,0.013351769,-0.043074727,-0.033527777
android.sensor.gyroscope,1523718971366,751915736977077,0.026720991,-0.07661995,-0.07553785
android.sensor.gyroscope,1523718971386,751915756998952,0.04553564,-0.11698942,-0.14507176
android.sensor.gyroscope,1523718971406,751915776989577,0.06544985,-0.15870279,-0.20998056
android.sensor.gyroscope,1523718971426,751915796981765,0.08862782,-0.20751965,-0.30187213
android.sensor.gyroscope,1523718971446,751915816972390,0.14234905,-0.33297393,-0.55114007
android.sensor.gyroscope,1523718971466,751915836994265,0.37524578,-0.90292865,-1.481069
android.sensor.gyroscope,1523718971486,751915856984890,0.3395189,-0.6651275,-0.93211055
android.sensor.gyroscope,1523718971506,751915876975515,0.43114868,-0.55604446,-0.28660053
android.sensor.gyroscope,1523718971527,751915896998952,0.55440384,-0.52578044,0.25225243
android.sensor.gyroscope,1523718971546,751915916989577,0.43059018,-0.17915805,0.90128803
android.sensor.gyroscope,1523718971566,751915936980202,0.24788912,0.28852037,1.5459777
android.sensor.gyroscope,1523718971586,751915957002077,0.11398745,0.7297571,2.233201
android.sensor.gyroscope,1523718971606,751915976994265,0.072797686,0.9847322,2.764427
android.sensor.gyroscope,1523718971627,751915996983327,0.0109083075,1.2348205,3.190392
android.sensor.gyroscope,1523718971646,751916016975515,-0.32833135,2.0466604,4.017242
android.sensor.gyroscope,1523718971666,751916036997390,-0.89884454,3.0660374,5.154987
android.sensor.gyroscope,1523718971686,751916056988015,-1.5715991,3.4887385,5.967647
android.sensor.gyroscope,1523718971706,751916076978640,-2.2438302,3.3237526,6.2449975
android.sensor.gyroscope,1523718971726,751916097000515,-2.337921,2.7799778,5.811388
android.sensor.gyroscope,1523718971746,751916116992702,-1.0602875,1.879772,4.3657665
android.sensor.gyroscope,1523718971766,751916136983327,0.33569664,-0.07199483,2.418084
android.sensor.gyroscope,1523718971786,751916156973952,0.8238478,-0.7382045,1.5577064
android.sensor.gyroscope,1523718971806,751916176997390,0.87210613,-0.69975483,1.3479875
android.sensor.gyroscope,1523718971827,751916196988015,0.850848,-0.6926688,1.295907
