Sensor, CurrentTimeMs, SensorTimestampNano, X, Y, Z
android.sensor.accelerometer,1523718715125,751659497002077,2.2218192,1.484405,9.32781
android.sensor.accelerometer,1523718715144,751659516992702,2.2601264,1.4556746,9.461885
android.sensor.accelerometer,1523718715164,751659536983327,2.1930888,1.3982137,9.375694
android.sensor.accelerometer,1523718715184,751659556973952,2.1739352,1.4556746,9.299079
android.sensor.accelerometer,1523718715204,751659576997390,2.2697031,1.3982137,9.241618
android.sensor.accelerometer,1523718715224,751659596988015,2.2409728,1.4173675,9.337387
android.sensor.accelerometer,1523718715244,751659616978640,2.1930888,1.436521,9.442732
android.sensor.accelerometer,1523718715264,751659637000515,2.231396,1.3120226,9.471462
android.sensor.accelerometer,1523718715284,751659656992702,2.2505496,1.283292,9.509769
android.sensor.accelerometer,1523718715304,751659676981765,2.183512,1.3311762,9.528923
android.sensor.accelerometer,1523718715324,751659696973952,2.2218192,1.3311762,9.385271
android.sensor.accelerometer,1523718715344,751659716995827,2.2505496,1.2641385,9.3661175
android.sensor.accelerometer,1523718715364,751659736986452,2.1452048,1.2641385,9.5385
android.sensor.accelerometer,1523718715384,751659756977077,1.9919758,1.3599066,9.519346
android.sensor.accelerometer,1523718715404,751659776998952,2.0207062,1.388637,9.375694
android.sensor.accelerometer,1523718715424,751659796991140,1.9249382,1.3790601,9.222465
android.sensor.accelerometer,1523718715444,751659816980202,1.982399,1.0055647,9.107543
android.sensor.accelerometer,1523718715464,751659836973952,1.3311762,0.92895025,9.308656
android.sensor.accelerometer,1523718715484,751659856994265,0.842759,0.7469909,9.308656
android.sensor.accelerometer,1523718715504,751659876986452,0.33518824,-1.3599066,7.699753
android.sensor.accelerometer,1523718715524,751659896977077,1.3024458,-3.8594532,5.9184666
android.sensor.accelerometer,1523718715544,751659916998952,2.480393,-6.5218053,2.432509
android.sensor.accelerometer,1523718715564,751659936989577,-0.7565677,-6.799533,-3.6008794
android.sensor.accelerometer,1523718715584,751659956980202,-1.8770541,-5.6790466,-12.354081
android.sensor.accelerometer,1523718715604,751659977003640,-0.9768343,-7.7667904,-17.72667
android.sensor.accelerometer,1523718715624,751659996994265,2.528277,-11.070788,-15.696386
android.sensor.accelerometer,1523718715644,751660016984890,7.2304893,-17.161638,-10.189722
android.sensor.accelerometer,1523718715664,751660036975515,10.716447,-21.049822,-7.2592196
android.sensor.accelerometer,1523718715684,751660056997390,13.005303,-24.315512,-9.165004
android.sensor.accelerometer,1523718715704,751660076989577,15.399506,-28.807035,-11.702858
android.sensor.accelerometer,1523718715724,751660096980202,18.23424,-35.003227,-12.583924
android.sensor.accelerometer,1523718715744,751660117002077,23.290794,-40.892963,-13.292608
android.sensor.accelerometer,1523718715764,751660136992702,29.257145,-46.227245,-15.150508
android.sensor.accelerometer,1523718715784,751660156983327,35.75022,-53.41943,-15.840038
android.sensor.accelerometer,1523718715804,751660176975515,38.47961,-55.641247,-9.289502
android.sensor.accelerometer,1523718715824,751660196995827,35.587414,-50.699615,-3.6870706
android.sensor.accelerometer,1523718715844,751660216988015,31.555578,-43.239285,-3.9743748
android.sensor.accelerometer,1523718715864,751660236978640,24.009054,-37.72304,-4.4915223
android.sensor.accelerometer,1523718715884,751660257000515,16.347609,-34.198776,-0.58418524
android.sensor.accelerometer,1523718715904,751660276992702,12.53604,-29.132647,2.920926
android.sensor.accelerometer,1523718715924,751660296983327,10.419566,-24.22932,4.3478703
android.sensor.accelerometer,1523718715944,751660316973952,8.810662,-20.235792,4.654328
android.sensor.accelerometer,1523718715964,751660336995827,6.5026517,-16.97968,5.439626
android.sensor.accelerometer,1523718715984,751660356986452,4.5681367,-13.934254,5.659893
android.sensor.accelerometer,1523718716004,751660376977077,3.016694,-11.473015,5.506664
android.sensor.accelerometer,1523718716024,751660396998952,2.1547816,-10.247183,4.9416323
android.sensor.accelerometer,1523718716044,751660416991140,1.5705963,-8.954314,3.8977604
android.sensor.accelerometer,1523718716064,751660436981765,0.33518824,-7.642292,3.821146
android.sensor.accelerometer,1523718716084,751660456973952,-1.3790601,-6.0142345,6.1387334
android.sensor.accelerometer,1523718716104,751660476994265,-3.0262709,-4.2999864,8.90643
android.sensor.accelerometer,1523718716124,751660496986452,-3.1986535,-3.4284968,9.404425
android.sensor.accelerometer,1523718716144,751660516977077,-3.2752678,-2.9017725,9.222465
android.sensor.accelerometer,1523718716164,751660536998952,-3.1603463,-2.1643584,9.394848
android.sensor.accelerometer,1523718716184,751660556989577,-3.323152,-0.9576807,9.346964
android.sensor.accelerometer,1523718716204,751660576981765,-3.1124623,-0.39264908,9.203311
android.sensor.accelerometer,1523718716224,751660596972390,-2.920926,-0.8810662,8.868123
android.sensor.accelerometer,1523718716244,751660616994265,-2.4612393,-1.340753,8.331821
android.sensor.accelerometer,1523718716264,751660636984890,-0.80445176,-2.6910827,7.297527
android.sensor.accelerometer,1523718716284,751660656977077,2.1930888,-3.9552212,4.1659107
android.sensor.accelerometer,1523718716304,751660676998952,5.717354,-5.45878,0.32561144
android.sensor.accelerometer,1523718716324,751660696989577,9.557653,-9.155427,-1.5227122
android.sensor.accelerometer,1523718716344,751660716980202,10.151415,-11.013328,0.59376204
android.sensor.accelerometer,1523718716364,751660737002077,11.511322,-12.162544,-0.45010993
android.sensor.accelerometer,1523718716384,751660756992702,12.066776,-12.947843,-0.18195933
android.sensor.accelerometer,1523718716404,751660776983327,13.187263,-15.725117,-0.63206923
android.sensor.accelerometer,1523718716424,751660796975515,17.985243,-21.38501,-7.431602
android.sensor.accelerometer,1523718716444,751660816997390,21.62443,-26.173412,-11.865664
android.sensor.accelerometer,1523718716464,751660836988015,20.762518,-26.374525,-16.673222
android.sensor.accelerometer,1523718716484,751660856978640,20.829556,-26.115952,-21.078552
android.sensor.accelerometer,1523718716504,751660877000515,25.445576,-25.752033,-24.947582
android.sensor.accelerometer,1523718716524,751660896992702,30.961817,-24.602818,-30.645782
android.sensor.accelerometer,1523718716544,751660916983327,33.41348,-25.799917,-33.873165
android.sensor.accelerometer,1523718716564,751660936973952,32.98252,-26.221296,-34.897884
android.sensor.accelerometer,1523718716584,751660956995827,31.948227,-26.010607,-34.63931
android.sensor.accelerometer,1523718716604,751660976986452,29.621063,-24.669855,-35.6353
android.sensor.accelerometer,1523718716624,751660996978640,23.769634,-20.398598,-39.035065
android.sensor.accelerometer,1523718716644,751661017000515,19.000385,-17.24783,-34.505234
android.sensor.accelerometer,1523718716664,751661036991140,17.219099,-15.284584,-29.640217
android.sensor.accelerometer,1523718716684,751661056981765,13.64695,-10.869676,-28.874073
android.sensor.accelerometer,1523718716704,751661076973952,9.184157,-8.580819,-29.486988
android.sensor.accelerometer,1523718716724,751661096995827,7.240066,-7.2783732,-24.98589
android.sensor.accelerometer,1523718716744,751661116986452,8.082825,-7.2209125,-19.029116
android.sensor.accelerometer,1523718716764,751661136977077,6.2345014,-4.3287168,-17.640478
android.sensor.accelerometer,1523718716784,751661156998952,4.3861775,-4.510676,-15.600618
android.sensor.accelerometer,1523718716804,751661176989577,4.0318356,-5.21936,-10.28549
android.sensor.accelerometer,1523718716824,751661196980202,4.6926355,-4.999093,-8.341399
android.sensor.accelerometer,1523718716844,751661216972390,4.261679,-4.462792,-7.383718
android.sensor.accelerometer,1523718716864,751661236994265,3.6583402,-3.2944214,-7.029376
android.sensor.accelerometer,1523718716884,751661256984890,4.31914,-2.5091233,-8.025364
android.sensor.accelerometer,1523718716904,751661276977077,4.3287168,-1.532289,-7.029376
android.sensor.accelerometer,1523718716924,751661296998952,4.5872903,-1.7046716,-3.6391866
android.sensor.accelerometer,1523718716944,751661316989577,6.339846,-2.882619,-1.4173675
android.sensor.accelerometer,1523718716964,751661336980202,5.803545,-2.3080103,-1.388637
android.sensor.accelerometer,1523718716984,751661357002077,5.133168,-1.1109096,-2.7868507
android.sensor.accelerometer,1523718717004,751661376992702,6.14831,-0.93852705,-2.920926
android.sensor.accelerometer,1523718717025,751661396984890,7.2687964,-1.8100165,-0.93852705
android.sensor.accelerometer,1523718717045,751661416975515,7.97748,-1.6663644,0.7374141
android.sensor.accelerometer,1523718717065,751661436997390,9.921572,-2.0494366,0.40222588
android.sensor.accelerometer,1523718717085,751661456988015,10.955867,-1.9057846,1.1204864
android.sensor.accelerometer,1523718717105,751661476978640,10.754754,-2.2984335,3.3518825
android.sensor.accelerometer,1523718717125,751661497002077,9.346964,-1.4652514,4.9416323
android.sensor.accelerometer,1523718717145,751661516992702,9.002198,-0.2873042,2.2122424
android.sensor.accelerometer,1523718717165,751661536983327,9.232041,0.047884032,-0.7661445
android.sensor.accelerometer,1523718717184,751661556973952,9.3182335,0.06703765,1.4269443
android.sensor.accelerometer,1523718717204,751661576995827,9.548077,-1.283292,4.951209
android.sensor.accelerometer,1523718717224,751661596986452,9.892841,-2.135628,6.742072
android.sensor.accelerometer,1523718717244,751661616978640,9.672575,-1.1971009,6.0046577
android.sensor.accelerometer,1523718717264,751661637000515,8.494628,0.48841715,5.2768207
android.sensor.accelerometer,1523718717284,751661656991140,8.504205,0.58418524,6.742072
android.sensor.accelerometer,1523718717304,751661676981765,10.141838,-0.842759,7.5848308
android.sensor.accelerometer,1523718717324,751661696973952,12.11466,-1.8195933,6.981492
android.sensor.accelerometer,1523718717344,751661716995827,11.176133,-1.685518,7.929596
android.sensor.accelerometer,1523718717364,751661736986452,8.973468,0.82360536,10.160992
android.sensor.accelerometer,1523718717384,751661756977077,9.32781,0.58418524,10.007763
android.sensor.accelerometer,1523718717404,751661777000515,10.668563,-0.4213795,9.14585
android.sensor.accelerometer,1523718717424,751661796991140,11.032481,-1.1683705,8.6574335
android.sensor.accelerometer,1523718717444,751661816981765,9.864111,-1.5993267,8.925584
android.sensor.accelerometer,1523718717464,751661836972390,8.169016,-1.7429788,9.375694
android.sensor.accelerometer,1523718717484,751661856994265,6.9527617,-1.3790601,9.586384
android.sensor.accelerometer,1523718717504,751661876984890,6.244078,-1.3120226,8.39886
android.sensor.accelerometer,1523718717524,751661896977077,6.157887,-1.3311762,7.1251445
android.sensor.accelerometer,1523718717544,751661916998952,5.104438,-1.3215994,7.680599
android.sensor.accelerometer,1523718717564,751661936989577,4.271256,-1.4652514,9.576807
android.sensor.accelerometer,1523718717584,751661956980202,4.10845,-1.2545617,9.873688
android.sensor.accelerometer,1523718717604,751661977002077,5.0661306,-1.340753,8.274361
android.sensor.accelerometer,1523718717624,751661996994265,5.7269306,-1.4173675,7.2209125
android.sensor.accelerometer,1523718717644,751662016984890,4.8458643,-1.2641385,7.8912888
android.sensor.accelerometer,1523718717664,751662036975515,3.9456444,-1.13964,7.8146744
android.sensor.accelerometer,1523718717684,751662056997390,3.3135753,-0.94810385,6.9240313
android.sensor.accelerometer,1523718717704,751662076989577,3.3901896,-0.8331822,7.489063
android.sensor.accelerometer,1523718717724,751662096978640,3.5913026,-0.545878,8.1402855
android.sensor.accelerometer,1523718717744,751662117002077,3.5529952,-0.019153614,7.240066
android.sensor.accelerometer,1523718717764,751662136992702,3.41892,0.15322891,6.2728086
android.sensor.accelerometer,1523718717784,751662156983327,3.0550013,0.5746084,7.326257
android.sensor.accelerometer,1523718717804,751662176975515,3.0550013,0.79487497,8.2169
android.sensor.accelerometer,1523718717824,751662196995827,3.5242648,0.80445176,7.9104424
android.sensor.accelerometer,1523718717844,751662216988015,3.7924154,0.63206923,7.5944076
android.sensor.accelerometer,1523718717864,751662236978640,3.7253778,0.80445176,7.5848308
android.sensor.accelerometer,1523718717884,751662257000515,3.3039982,1.0630256,7.469909
android.sensor.accelerometer,1523718717904,751662276991140,3.0262709,1.091756,7.2209125
android.sensor.accelerometer,1523718717924,751662296983327,2.9783869,1.091756,7.5561004
android.sensor.accelerometer,1523718717944,751662316973952,2.9975405,0.9959879,8.111555
android.sensor.accelerometer,1523718717964,751662336995827,3.0550013,0.92895025,8.571242
android.sensor.accelerometer,1523718717984,751662356986452,3.1507695,0.9576807,8.571242
android.sensor.accelerometer,1523718718004,751662376977077,3.083732,0.90979666,8.456321
android.sensor.accelerometer,1523718718024,751662397000515,3.1603463,0.8523358,8.39886
android.sensor.accelerometer,1523718718044,751662416991140,3.169923,0.6512229,8.63828
android.sensor.accelerometer,1523718718064,751662436980202,3.0454245,0.5267244,8.954314
android.sensor.accelerometer,1523718718084,751662456972390,3.1507695,0.45968673,9.299079
android.sensor.accelerometer,1523718718104,751662476994265,3.3327289,0.39264908,9.452309
android.sensor.accelerometer,1523718718124,751662496986452,3.4763808,0.45968673,9.184157
android.sensor.accelerometer,1523718718144,751662516977077,3.3518825,0.51714754,9.088389
android.sensor.accelerometer,1523718718164,751662536998952,3.083732,0.59376204,9.059659
android.sensor.accelerometer,1523718718184,751662556989577,3.074155,0.41180268,9.021352
android.sensor.accelerometer,1523718718204,751662576980202,3.016694,0.32561144,9.11712
android.sensor.accelerometer,1523718718224,751662597002077,3.0933087,0.2873042,9.308656
android.sensor.accelerometer,1523718718244,751662616994265,3.265691,0.33518824,9.3661175
android.sensor.accelerometer,1523718718264,751662636983327,3.3614593,0.39264908,9.385271
android.sensor.accelerometer,1523718718284,751662656975515,3.4955344,0.22026655,9.56723
android.sensor.accelerometer,1523718718304,751662676997390,3.41892,0.1340753,9.80665
android.sensor.accelerometer,1523718718324,751662696988015,3.0454245,0.23942018,9.586384
android.sensor.accelerometer,1523718718344,751662716978640,3.0262709,0.20111294,9.059659
android.sensor.accelerometer,1523718718364,751662737002077,3.2848446,0.34476504,8.839393
android.sensor.accelerometer,1523718718384,751662756992702,3.4763808,0.45010993,8.973468
android.sensor.accelerometer,1523718718404,751662776983327,3.3614593,0.46926352,9.289502
android.sensor.accelerometer,1523718718424,751662796975515,3.2082303,0.47884035,9.222465
android.sensor.accelerometer,1523718718444,751662816997390,3.2273839,0.39264908,8.983045
android.sensor.accelerometer,1523718718464,751662836988015,3.1411927,0.22984336,9.308656
android.sensor.accelerometer,1523718718484,751662856978640,3.064578,0.17238252,9.490616
android.sensor.accelerometer,1523718718504,751662877000515,3.2561142,0.18195933,9.720459
android.sensor.accelerometer,1523718718524,751662896992702,3.1411927,0.21068975,8.6574335
android.sensor.accelerometer,1523718718544,751662916981765,3.217807,0.25857377,9.394848
