Sensor, CurrentTimeMs, SensorTimestampNano, X, Y, Z
android.sensor.gyroscope,1523718722365,751666737002077,-0.06653195,0.015812684,0.0032637657
android.sensor.gyroscope,1523718722386,751666756992702,-0.057805303,0.022619467,0.028902652
android.sensor.gyroscope,1523718722406,751666776983327,-0.05235988,0.029164452,0.049898963
android.sensor.gyroscope,1523718722426,751666796973952,-0.031625368,0.034627333,0.08370599
android.sensor.gyroscope,1523718722446,751666816995827,-0.022619467,0.042533673,0.10744247
android.sensor.gyroscope,1523718722465,751666836988015,-0.013892821,0.040893063,0.11534881
android.sensor.gyroscope,1523718722486,751666856977077,-0.0109083075,0.0376293,0.11126474
android.sensor.gyroscope,1523718722506,751666877000515,-0.009808751,0.031625368,0.09871582
android.sensor.gyroscope,1523718722526,751666896991140,-0.014172073,0.027541295,0.08180358
android.sensor.gyroscope,1523718722546,751666916981765,-0.03080506,0.016894788,0.043895032
android.sensor.gyroscope,1523718722566,751666936972390,-0.034627333,0.0155334305,0.04145157
android.sensor.gyroscope,1523718722586,751666956995827,-0.025621433,0.012810716,0.048258353
android.sensor.gyroscope,1523718722606,751666976986452,-0.031346112,0.010088003,0.04553564
android.sensor.gyroscope,1523718722626,751666996977077,-0.03981096,0.0070860367,0.05508259
android.sensor.gyroscope,1523718722646,751667017000515,-0.034906585,-0.0027227136,0.018256145
android.sensor.gyroscope,1523718722666,751667036989577,-0.059986968,-0.022619467,-0.023998277
android.sensor.gyroscope,1523718722686,751667056981765,-0.031084314,-0.02125811,-0.011990412
android.sensor.gyroscope,1523718722706,751667076972390,-0.02289872,-0.0286234,0.014992379
android.sensor.gyroscope,1523718722726,751667096994265,-0.19743164,-0.21352358,-0.5505816
android.sensor.gyroscope,1523718722746,751667116984890,-0.63376397,-0.43415064,-1.415078
android.sensor.gyroscope,1523718722766,751667136977077,-1.2140859,-0.69102824,-2.3351808
android.sensor.gyroscope,1523718722786,751667156998952,-1.8860377,-0.96429443,-2.9433231
android.sensor.gyroscope,1523718722807,751667176989577,-2.5405362,-1.2593597,-3.0455995
android.sensor.gyroscope,1523718722826,751667196980202,-3.1276824,-1.5732398,-2.725157
android.sensor.gyroscope,1523718722846,751667217002077,-3.6488202,-1.9356749,-2.2260976
android.sensor.gyroscope,1523718722866,751667236992702,-3.9100785,-2.1966538,-1.6689711
android.sensor.gyroscope,1523718722886,751667256983327,-3.9119809,-2.308198,-1.1082841
android.sensor.gyroscope,1523718722907,751667276975515,-3.7979934,-2.3321962,-0.6482153
android.sensor.gyroscope,1523718722926,751667296997390,-3.6700957,-2.3466475,-0.26752406
android.sensor.gyroscope,1523718722946,751667316988015,-3.5296493,-2.3332784,0.046076693
android.sensor.gyroscope,1523718722966,751667336978640,-3.337122,-2.2959108,0.293704
android.sensor.gyroscope,1523718722986,751667357000515,-3.0750432,-2.266188,0.4796863
android.sensor.gyroscope,1523718723007,751667376992702,-2.7731535,-2.2078414,0.60730475
android.sensor.gyroscope,1523718723026,751667396983327,-2.4224472,-2.1134715,0.67467445
android.sensor.gyroscope,1523718723046,751667416975515,-2.0294864,-2.028125,0.70603806
android.sensor.gyroscope,1523718723066,751667436997390,-1.6389688,-1.9711225,0.69949305
android.sensor.gyroscope,1523718723086,751667456988015,-1.2729908,-1.9512082,0.66620964
android.sensor.gyroscope,1523718723107,751667476977077,-0.97056013,-1.9544895,0.61467004
android.sensor.gyroscope,1523718723126,751667497000515,-0.71066314,-1.9893961,0.5620484
android.sensor.gyroscope,1523718723146,751667516991140,-0.42950806,-2.0690181,0.5208586
android.sensor.gyroscope,1523718723166,751667536981765,-0.15926129,-2.1453762,0.4731413
android.sensor.gyroscope,1523718723186,751667556973952,0.13362241,-2.2020993,0.40851176
android.sensor.gyroscope,1523718723206,751667576995827,0.4237834,-2.2591019,0.35669294
android.sensor.gyroscope,1523718723226,751667596986452,0.92720616,-2.2915475,0.35669294
android.sensor.gyroscope,1523718723246,751667616977077,1.4183418,-2.3597374,0.3395189
android.sensor.gyroscope,1523718723266,751667636998952,1.8617601,-2.4025505,0.32751104
