Sensor, CurrentTimeMs, SensorTimestampNano, X, Y, Z
android.sensor.accelerometer,1523719111904,752056276991140,1.5897499,4.4340615,8.66701
android.sensor.accelerometer,1523719111924,752056296981765,1.6184803,4.4436383,8.6574335
android.sensor.accelerometer,1523719111944,752056316972390,1.6184803,4.3957543,8.619126
android.sensor.accelerometer,1523719111964,752056336994265,1.484405,4.414908,8.647857
android.sensor.accelerometer,1523719111984,752056356986452,1.5514427,4.414908,8.628703
android.sensor.accelerometer,1523719112004,752056376977077,1.6280571,4.4340615,8.552089
android.sensor.accelerometer,1523719112024,752056396998952,1.5705963,4.4723687,8.552089
android.sensor.accelerometer,1523719112044,752056416991140,1.5227122,4.453215,8.552089
android.sensor.accelerometer,1523719112064,752056436980202,1.6472107,4.280833,8.628703
android.sensor.accelerometer,1523719112084,752056456972390,1.5801731,4.31914,8.868123
android.sensor.accelerometer,1523719112104,752056476994265,1.5227122,4.462792,8.791509
android.sensor.accelerometer,1523719112124,752056496984890,1.5227122,4.501099,8.475474
android.sensor.accelerometer,1523719112144,752056516975515,1.532289,4.4723687,8.418014
android.sensor.accelerometer,1523719112164,752056536998952,1.6184803,4.4244847,8.619126
android.sensor.accelerometer,1523719112184,752056556989577,1.6663644,4.280833,8.848969
android.sensor.accelerometer,1523719112204,752056576980202,1.6663644,4.2425256,8.810662
android.sensor.accelerometer,1523719112224,752056597002077,1.6567876,4.3382936,8.6095495
android.sensor.accelerometer,1523719112244,752056616994265,1.7238252,4.462792,8.485051
android.sensor.accelerometer,1523719112264,752056636983327,1.7717092,4.7022123,8.599973
android.sensor.accelerometer,1523719112284,752056656975515,2.135628,5.1523223,9.126697
android.sensor.accelerometer,1523719112304,752056676997390,3.217807,6.1195793,9.720459
android.sensor.accelerometer,1523719112324,752056696988015,4.4340615,7.335834,11.645397
android.sensor.accelerometer,1523719112344,752056716980202,4.865018,9.289502,15.217546
android.sensor.accelerometer,1523719112364,752056737002077,5.602432,10.898406,17.793707
android.sensor.accelerometer,1523719112384,752056756991140,7.192182,11.501745,18.44493
android.sensor.accelerometer,1523719112404,752056776983327,8.801085,11.128249,15.619772
android.sensor.accelerometer,1523719112424,752056796973952,7.431602,10.515334,12.631808
android.sensor.accelerometer,1523719112444,752056816995827,5.0182467,9.720459,12.018892
android.sensor.accelerometer,1523719112464,752056836986452,3.7253778,8.379706,12.344504
android.sensor.accelerometer,1523719112484,752056856977077,2.7581203,7.374141,11.434708
android.sensor.accelerometer,1523719112504,752056877000515,1.7238252,6.933608,9.3661175
android.sensor.accelerometer,1523719112524,752056896991140,0.30645782,6.4260373,6.5696893
android.sensor.accelerometer,1523719112544,752056916981765,-1.4556746,6.090849,3.7828386
android.sensor.accelerometer,1523719112564,752056936973952,-1.2545617,5.554548,0.641646
android.sensor.accelerometer,1523719112584,752056956995827,-0.37349546,4.7309427,0.32561144
android.sensor.accelerometer,1523719112604,752056976986452,0.18195933,4.7979803,1.8195933
android.sensor.accelerometer,1523719112624,752056996977077,0.2873042,4.654328,4.6160207
android.sensor.accelerometer,1523719112644,752057016998952,-0.50757074,4.7022123,8.619126
android.sensor.accelerometer,1523719112664,752057036989577,-1.5897499,5.1810527,9.835381
android.sensor.accelerometer,1523719112684,752057056981765,-2.2218192,6.2728086,5.0278234
android.sensor.accelerometer,1523719112704,752057076972390,-3.4093432,7.5465236,0.038307227
android.sensor.accelerometer,1523719112724,752057096994265,-4.1371803,5.4683566,0.7086837
android.sensor.accelerometer,1523719112744,752057116984890,-2.1930888,3.0550013,3.8786068
android.sensor.accelerometer,1523719112764,752057136977077,0.6799533,-2.6240451,10.237606
android.sensor.accelerometer,1523719112784,752057156998952,10.01734,-7.517793,19.958065
android.sensor.accelerometer,1523719112804,752057176989577,18.44493,-12.220005,29.63064
android.sensor.accelerometer,1523719112824,752057196980202,18.416199,-16.366762,30.004135
android.sensor.accelerometer,1523719112844,752057217002077,14.853627,-22.352266,17.190369
android.sensor.accelerometer,1523719112864,752057236994265,7.795521,-27.56205,4.175488
android.sensor.accelerometer,1523719112884,752057256983327,-2.0207062,-32.87718,-1.1204864
