Sensor, CurrentTimeMs, SensorTimestampNano, X, Y, Z
android.sensor.gyroscope,1523719125906,752070276989577,0.0,0.0,0.0
android.sensor.gyroscope,1523719125926,752070296980202,0.0,0.0,0.0
android.sensor.gyroscope,1523719125946,752070317002077,0.0,0.0,0.0
android.sensor.gyroscope,1523719125966,752070336992702,-0.03544764,0.01144936,-0.01308997
android.sensor.gyroscope,1523719125986,752070356983327,-0.046896998,0.007906342,-0.029722957
android.sensor.gyroscope,1523719126006,752070376975515,-0.047717303,0.0051661744,-0.029443704
android.sensor.gyroscope,1523719126026,752070396997390,-0.06544985,0.004363323,-0.041992623
android.sensor.gyroscope,1523719126046,752070416988015,-0.047438048,0.002984513,-0.029984757
android.sensor.gyroscope,1523719126066,752070436978640,-0.05808456,0.0035430184,-0.03598869
android.sensor.gyroscope,1523719126086,752070457000515,-0.047996555,0.002443461,-0.029164452
android.sensor.gyroscope,1523719126106,752070476991140,0.0,0.0,0.0
android.sensor.gyroscope,1523719126126,752070496983327,-0.02617994,-2.6179937E-4,-0.029722957
android.sensor.gyroscope,1523719126146,752070516973952,-0.03408628,0.008988446,-0.017994344
android.sensor.gyroscope,1523719126166,752070536995827,-0.05071927,0.023719024,-0.0038048178
android.sensor.gyroscope,1523719126186,752070556986452,-0.0286234,0.022357667,0.0155334305
android.sensor.gyroscope,1523719126206,752070576977077,-0.040631264,0.032166418,0.021537364
android.sensor.gyroscope,1523719126226,752070597000515,-0.0283616,0.022619467,0.015812684
android.sensor.gyroscope,1523719126246,752070616991140,-0.040352013,0.032166418,0.022619467
android.sensor.gyroscope,1523719126266,752070636981765,0.0,0.0,0.0
android.sensor.gyroscope,1523719126286,752070656972390,0.0,0.0,0.0
android.sensor.gyroscope,1523719126306,752070676994265,0.0,0.0,0.0
android.sensor.gyroscope,1523719126326,752070696984890,0.0,0.0,0.0
android.sensor.gyroscope,1523719126346,752070716977077,-0.02698279,0.025080381,0.014172073
android.sensor.gyroscope,1523719126366,752070736998952,0.0,0.0,0.0
android.sensor.gyroscope,1523719126386,752070756989577,0.0,0.0,0.0
android.sensor.gyroscope,1523719126405,752070776981765,0.0,0.0,0.0
android.sensor.gyroscope,1523719126426,752070796972390,-0.017453292,0.0109083075,-0.033807028
android.sensor.gyroscope,1523719126446,752070816994265,0.0,0.0,0.0
android.sensor.gyroscope,1523719126466,752070836984890,0.0,0.0,0.0
android.sensor.gyroscope,1523719126486,752070856977077,0.0283616,-0.016632987,-0.04553564
android.sensor.gyroscope,1523719126506,752070876997390,0.0760789,-0.04717625,-0.06571165
android.sensor.gyroscope,1523719126526,752070896989577,0.14861478,-0.0946143,-0.0951728
android.sensor.gyroscope,1523719126546,752070916980202,0.27787387,-0.13308136,0.26206118
android.sensor.gyroscope,1523719126565,752070937002077,0.24870941,-0.095434606,0.56286865
android.sensor.gyroscope,1523719126586,752070956992702,0.14753269,-5.410521E-4,0.96237457
android.sensor.gyroscope,1523719126606,752070976983327,0.012531464,0.13308136,1.4325314
android.sensor.gyroscope,1523719126626,752070996975515,-0.10934488,0.25497514,1.8792135
android.sensor.gyroscope,1523719126646,752071016997390,-0.19306833,0.36651915,2.3417256
android.sensor.gyroscope,1523719126666,752071036986452,-0.24843016,0.48022735,2.7194324
android.sensor.gyroscope,1523719126685,752071056978640,-0.29234266,0.61030674,2.9855952
android.sensor.gyroscope,1523719126706,752071077000515,-0.31988394,0.7204894,2.9965034
android.sensor.gyroscope,1523719126727,752071096992702,-0.29424506,0.95392716,3.0275877
android.sensor.gyroscope,1523719126746,752071116983327,-0.19579104,1.3384407,3.3368425
android.sensor.gyroscope,1523719126766,752071136975515,-0.002984513,1.8955846,4.3938665
android.sensor.gyroscope,1523719126786,752071156995827,0.15053464,2.259922,5.3739734
android.sensor.gyroscope,1523719126806,752071176986452,0.22115067,2.3771908,6.0936427
android.sensor.gyroscope,1523719126826,752071196978640,0.17833774,2.223916,6.30282
android.sensor.gyroscope,1523719126846,752071217000515,0.023439772,1.6504183,5.887205
android.sensor.gyroscope,1523719126866,752071236991140,-0.08208284,0.9664761,5.141897
android.sensor.gyroscope,1523719126886,752071256981765,-0.218969,0.35669294,4.5893955
android.sensor.gyroscope,1523719126906,752071276972390,-0.4065919,-0.12243485,4.295133
android.sensor.gyroscope,1523719126926,752071296995827,-0.64603364,-0.43059018,4.1800637
android.sensor.gyroscope,1523719126946,752071316986452,-0.92474526,-0.5655914,4.1495204
android.sensor.gyroscope,1523719126966,752071336977077,-1.2710884,-0.52686256,4.1546865
android.sensor.gyroscope,1523719126986,752071356998952,-1.6591449,-0.3588746,4.130688
android.sensor.gyroscope,1523719127006,752071376989577,-2.095198,-0.14725342,4.0136986
android.sensor.gyroscope,1523719127027,752071396980202,-2.437457,0.2462485,3.9160824
android.sensor.gyroscope,1523719127046,752071416972390,-2.5937164,0.7084815,3.803439
android.sensor.gyroscope,1523719127066,752071436994265,-2.6561642,1.0409144,3.5419188
android.sensor.gyroscope,1523719127086,752071456984890,-2.6403515,1.269727,3.2122087
android.sensor.gyroscope,1523719127106,752071476975515,-2.6575255,1.424625,2.859879
android.sensor.gyroscope,1523719127127,752071496998952,-2.6714358,1.5642513,2.5348115
android.sensor.gyroscope,1523719127146,752071516989577,-2.6578047,1.6850456,2.2296581
android.sensor.gyroscope,1523719127166,752071536980202,-2.6207166,1.7622241,1.9468449
android.sensor.gyroscope,1523719127186,752071557003640,-2.5669954,1.718329,1.6283224
android.sensor.gyroscope,1523719127206,752071576992702,-2.4925396,1.4859734,1.2162676
