Sensor, CurrentTimeMs, SensorTimestampNano, X, Y, Z
android.sensor.accelerometer,1523723213852,756158219674474,-0.019153614,3.6870706,9.184157
android.sensor.accelerometer,1523723213866,756158239696349,-0.02873042,3.6583402,9.251195
android.sensor.accelerometer,1523723213887,756158259686974,0.047884032,3.6774938,9.097966
android.sensor.accelerometer,1523723213906,756158279679161,0.06703765,3.7445314,9.069236
android.sensor.accelerometer,1523723213926,756158299669786,0.05746084,3.8115692,9.040505
android.sensor.accelerometer,1523723213946,756158319691661,0.038307227,3.7732618,8.868123
android.sensor.accelerometer,1523723213966,756158339682286,0.038307227,3.6583402,9.107543
android.sensor.accelerometer,1523723213986,756158359672911,0.19153613,3.5529952,9.260772
android.sensor.accelerometer,1523723214007,756158379696349,0.10534488,3.514688,9.126697
android.sensor.accelerometer,1523723214027,756158399686974,0.009576807,3.763685,9.346964
android.sensor.accelerometer,1523723214047,756158419677599,0.05746084,3.8019924,9.097966
android.sensor.accelerometer,1523723214067,756158439668224,-0.009576807,3.7828386,9.126697
android.sensor.accelerometer,1523723214087,756158459690099,0.08619126,3.6104562,9.3661175
android.sensor.accelerometer,1523723214107,756158479680724,0.1436521,3.5338416,9.433155
android.sensor.accelerometer,1523723214127,756158499672911,0.076614454,3.6966474,9.270349
android.sensor.accelerometer,1523723214147,756158519694786,0.1340753,3.8115692,8.868123
android.sensor.accelerometer,1523723214167,756158539685411,0.16280572,3.8402996,8.7532015
android.sensor.accelerometer,1523723214187,756158559676036,0.08619126,3.7828386,8.839393
android.sensor.accelerometer,1523723214207,756158579668224,0.05746084,3.6966474,9.155427
android.sensor.accelerometer,1523723214227,756158599690099,0.12449849,3.7445314,9.107543
android.sensor.accelerometer,1523723214247,756158619680724,0.06703765,3.7828386,9.165004
android.sensor.accelerometer,1523723214267,756158639671349,0.06703765,3.6583402,9.251195
android.sensor.accelerometer,1523723214287,756158659693224,0.047884032,3.5625722,9.3661175
android.sensor.accelerometer,1523723214307,756158679685411,0.038307227,3.6104562,9.56723
android.sensor.accelerometer,1523723214327,756158699676036,0.11492168,3.6391866,9.385271
android.sensor.accelerometer,1523723214347,756158719666661,0.15322891,3.6583402,8.896853
android.sensor.accelerometer,1523723214367,756158739688536,0.11492168,3.7445314,8.858546
android.sensor.accelerometer,1523723214387,756158759679161,0.10534488,3.6966474,8.944737
android.sensor.accelerometer,1523723214407,756158779671349,0.06703765,3.6870706,9.088389
android.sensor.accelerometer,1523723214427,756158799693224,0.038307227,3.715801,9.021352
android.sensor.accelerometer,1523723214447,756158819683849,0.1436521,3.6966474,8.810662
android.sensor.accelerometer,1523723214467,756158839674474,0.12449849,3.7924154,8.839393
