Sensor, CurrentTimeMs, SensorTimestampNano, X, Y, Z
android.sensor.accelerometer,1523723066173,756010539677599,0.23942018,7.240066,6.5984197
android.sensor.accelerometer,1523723066187,756010559669786,0.23942018,7.2209125,6.5984197
android.sensor.accelerometer,1523723066206,756010579691661,0.08619126,7.297527,6.483498
android.sensor.accelerometer,1523723066226,756010599682286,0.047884032,7.3166804,6.5218053
android.sensor.accelerometer,1523723066246,756010619672911,0.06703765,7.4028716,6.38773
android.sensor.accelerometer,1523723066266,756010639694786,0.095768064,7.441179,6.1866174
android.sensor.accelerometer,1523723066287,756010659686974,0.18195933,7.3645644,6.2249246
android.sensor.accelerometer,1523723066306,756010679676036,0.17238252,7.28795,6.6271505
android.sensor.accelerometer,1523723066326,756010699668224,0.23942018,7.201759,6.799533
android.sensor.accelerometer,1523723066346,756010719690099,0.2777274,7.1155677,6.8091097
android.sensor.accelerometer,1523723066366,756010739680724,0.2777274,7.1155677,6.5984197
android.sensor.accelerometer,1523723066386,756010759671349,0.2681506,7.153875,6.4068837
android.sensor.accelerometer,1523723066407,756010779694786,0.2681506,7.201759,6.042965
android.sensor.accelerometer,1523723066426,756010799685411,0.2873042,7.201759,5.9280434
android.sensor.accelerometer,1523723066446,756010819676036,0.45010993,7.1155677,5.9280434
android.sensor.accelerometer,1523723066466,756010839666661,0.6703765,7.0006456,5.841852
android.sensor.accelerometer,1523723066486,756010859688536,1.2066777,7.0006456,5.4204726
android.sensor.accelerometer,1523723066506,756010879680724,2.2218192,6.933608,4.0318356
android.sensor.accelerometer,1523723066527,756010899671349,3.667917,6.703765,2.2218192
android.sensor.accelerometer,1523723066547,756010919693224,5.6407394,6.196194,1.6950948
android.sensor.accelerometer,1523723066567,756010939683849,8.580819,4.9416323,0.02873042
android.sensor.accelerometer,1523723066587,756010959674474,11.310209,2.96881,-0.7086837
android.sensor.accelerometer,1523723066606,756010979666661,14.087482,0.23942018,-1.4652514
android.sensor.accelerometer,1523723066626,756010999688536,13.742718,-1.1109096,-0.17238252
android.sensor.accelerometer,1523723066647,756011019679161,11.540052,-2.0685902,2.6527755
android.sensor.accelerometer,1523723066666,756011039669786,4.865018,-1.5131354,7.28795
android.sensor.accelerometer,1523723066686,756011059691661,-4.8841715,1.2258313,19.680338
android.sensor.accelerometer,1523723066707,756011079683849,-12.698846,2.8538885,28.711267
android.sensor.accelerometer,1523723066726,756011099674474,-16.481684,0.5267244,39.245754
android.sensor.accelerometer,1523723066746,756011119696349,-22.064962,-0.038307227,43.679817
android.sensor.accelerometer,1523723066767,756011139686974,-22.390574,-2.873042,36.41102
android.sensor.accelerometer,1523723066786,756011159677599,-22.821531,-3.8115692,26.757599
android.sensor.accelerometer,1523723066806,756011179669786,-20.561403,-4.721366,16.079458
android.sensor.accelerometer,1523723066827,756011199691661,-16.807297,-5.793968,5.1906295
android.sensor.accelerometer,1523723066846,756011219682286,-14.231135,-4.8937483,-2.0015526
android.sensor.accelerometer,1523723066866,756011239672911,-11.176133,-4.3861775,-5.171476
android.sensor.accelerometer,1523723066887,756011259694786,-6.4643445,-5.803545,-8.590396
android.sensor.accelerometer,1523723066906,756011279686974,-3.3997664,-7.153875,-9.155427
android.sensor.accelerometer,1523723066926,756011299677599,-0.15322891,-8.944737,-7.97748
android.sensor.accelerometer,1523723066946,756011319668224,4.2425256,-11.492168,-8.781932
android.sensor.accelerometer,1523723066966,756011339690099,4.232949,-11.118672,-13.072341
android.sensor.accelerometer,1523723066986,756011359680724,5.4779334,-11.415554,-17.774553
android.sensor.accelerometer,1523723067007,756011379671349,5.267244,-12.334928,-16.270994
android.sensor.accelerometer,1523723067026,756011399694786,2.8634653,-14.671668,-13.215993
android.sensor.accelerometer,1523723067046,756011419685411,-3.9839516,-14.5759,-14.738706
android.sensor.accelerometer,1523723067066,756011439676036,-6.540959,-18.44493,-12.670115
android.sensor.accelerometer,1523723067086,756011459666661,-7.5082164,-24.784777,-5.257667
android.sensor.accelerometer,1523723067106,756011479690099,-11.731588,-29.726408,-2.432509
android.sensor.accelerometer,1523723067127,756011499680724,-21.768082,-30.301016,-8.571242
android.sensor.accelerometer,1523723067146,756011519671349,-24.162283,-42.31991,-8.2169
android.sensor.accelerometer,1523723067166,756011539693224,-30.32017,-49.981354,2.0685902
android.sensor.accelerometer,1523723067186,756011559685411,-39.61925,-49.923893,4.060566
android.sensor.accelerometer,1523723067206,756011579674474,-47.12747,-46.773125,2.1643584
android.sensor.accelerometer,1523723067226,756011599666661,-49.176903,-45.844173,-0.5363012
android.sensor.accelerometer,1523723067247,756011619688536,-47.83615,-47.998955,-0.7182605
android.sensor.accelerometer,1523723067266,756011639679161,-43.564896,-50.259083,3.1794999
