Sensor, CurrentTimeMs, SensorTimestampNano, X, Y, Z
android.sensor.gyroscope,1523723066173,756010539677599,0.0,0.0,0.0
android.sensor.gyroscope,1523723066187,756010559669786,0.0,0.0,0.0
android.sensor.gyroscope,1523723066207,756010579691661,0.0,0.0,0.0
android.sensor.gyroscope,1523723066227,756010599682286,0.0,0.0,0.0
android.sensor.gyroscope,1523723066247,756010619672911,0.0,0.0,0.0
android.sensor.gyroscope,1523723066267,756010639694786,-0.034627333,0.028902652,0.051539574
android.sensor.gyroscope,1523723066287,756010659686974,-0.029164452,0.039531708,0.060528018
android.sensor.gyroscope,1523723066307,756010679676036,-0.016632987,0.029984757,0.044436082
android.sensor.gyroscope,1523723066327,756010699668224,-0.013631022,0.046076693,0.061348323
android.sensor.gyroscope,1523723066347,756010719690099,-0.017174039,0.023719024,0.047996555
android.sensor.gyroscope,1523723066367,756010739680724,-0.020437805,0.021816615,0.061627574
android.sensor.gyroscope,1523723066387,756010759671349,0.0,0.0,0.0
android.sensor.gyroscope,1523723066407,756010779694786,0.0,0.0,0.0
android.sensor.gyroscope,1523723066427,756010799685411,-0.016894788,-0.046076693,0.027541295
android.sensor.gyroscope,1523723066447,756010819676036,-0.017174039,-0.045814894,0.027803095
android.sensor.gyroscope,1523723066467,756010839666661,0.0,0.0,0.0
android.sensor.gyroscope,1523723066487,756010859688536,0.0,0.0,0.0
android.sensor.gyroscope,1523723066507,756010879680724,0.0051661744,-0.029443704,0.025900686
android.sensor.gyroscope,1523723066527,756010899671349,0.04363323,-0.056164697,0.10880382
android.sensor.gyroscope,1523723066547,756010919693224,0.10416125,-0.020717058,0.21352358
android.sensor.gyroscope,1523723066567,756010939683849,0.20916025,-0.16498597,0.34714597
android.sensor.gyroscope,1523723066587,756010959674474,0.26670375,-0.6195919,0.28852037
android.sensor.gyroscope,1523723066607,756010979666661,-0.022078415,-2.622619,-1.0160958
android.sensor.gyroscope,1523723066627,756010999688536,-1.3389817,-7.612358,-5.0734453
android.sensor.gyroscope,1523723066647,756011019679161,-2.00657,-8.222944,-5.594583
android.sensor.gyroscope,1523723066667,756011039669786,-2.1854663,-7.54717,-5.0341754
android.sensor.gyroscope,1523723066687,756011059691661,-1.9430401,-6.2458177,-4.1770616
android.sensor.gyroscope,1523723066707,756011079683849,-1.44426,-3.9624383,-2.7897866
android.sensor.gyroscope,1523723066727,756011099674474,-1.2298986,-1.904032,-1.5893317
android.sensor.gyroscope,1523723066747,756011119696349,-1.3643414,-0.36215582,-0.7943866
