Sensor, CurrentTimeMs, SensorTimestampNano, X, Y, Z
android.sensor.accelerometer,1523723171407,756115779693224,-0.60333884,6.349423,7.6135616
android.sensor.accelerometer,1523723171426,756115799683849,-0.4309563,6.3206925,7.5848308
android.sensor.accelerometer,1523723171446,756115819674474,-0.51714754,6.4739213,7.374141
android.sensor.accelerometer,1523723171467,756115839697911,-0.60333884,6.5026517,7.2687964
android.sensor.accelerometer,1523723171486,756115859688536,-0.48841715,6.291962,7.536947
android.sensor.accelerometer,1523723171506,756115879679161,-0.50757074,6.2345014,7.699753
android.sensor.accelerometer,1523723171527,756115899669786,-0.49799395,6.196194,7.690176
android.sensor.accelerometer,1523723171546,756115919691661,-0.50757074,6.215348,7.690176
android.sensor.accelerometer,1523723171567,756115939683849,-0.50757074,6.349423,7.3549876
android.sensor.accelerometer,1523723171586,756115959674474,-0.5267244,6.4643445,7.4124484
android.sensor.accelerometer,1523723171606,756115979696349,-0.6512229,6.445191,7.5082164
android.sensor.accelerometer,1523723171626,756115999686974,-0.6703765,6.215348,7.5944076
android.sensor.accelerometer,1523723171646,756116019677599,-0.50757074,6.167464,7.52737
android.sensor.accelerometer,1523723171666,756116039668224,-0.5267244,6.4260373,7.1251445
android.sensor.accelerometer,1523723171686,756116059691661,-0.6703765,6.5696893,7.038953
android.sensor.accelerometer,1523723171706,756116079682286,-0.5363012,6.4260373,7.1059904
android.sensor.accelerometer,1523723171726,756116099672911,-0.49799395,6.3685765,7.019799
android.sensor.accelerometer,1523723171746,756116119694786,-0.6607997,6.847417,7.345411
android.sensor.accelerometer,1523723171766,756116139686974,-0.641646,7.5561004,7.3166804
android.sensor.accelerometer,1523723171786,756116159677599,0.05746084,9.56723,8.523358
android.sensor.accelerometer,1523723171806,756116179668224,-0.79487497,11.903971,10.477027
android.sensor.accelerometer,1523723171826,756116199690099,-3.8498764,14.365211,12.248735
android.sensor.accelerometer,1523723171846,756116219680724,-6.7133417,16.500837,15.121778
android.sensor.accelerometer,1523723171866,756116239671349,-7.4124484,15.610195,15.47612
android.sensor.accelerometer,1523723171886,756116259694786,-5.401319,13.120225,13.522451
android.sensor.accelerometer,1523723171906,756116279685411,-2.528277,10.304645,12.0571995
android.sensor.accelerometer,1523723171926,756116299676036,-0.79487497,9.452309,8.944737
android.sensor.accelerometer,1523723171946,756116319666661,1.1683705,8.437167,5.315128
android.sensor.accelerometer,1523723171966,756116339690099,3.715801,5.085284,3.0262709
android.sensor.accelerometer,1523723171986,756116359680724,7.153875,4.759673,2.5187001
android.sensor.accelerometer,1523723172006,756116379671349,6.933608,3.5625722,0.90021986
android.sensor.accelerometer,1523723172026,756116399693224,7.8146744,-1.5227122,-0.7182605
android.sensor.accelerometer,1523723172046,756116419683849,8.485051,-5.755661,-7.642292
android.sensor.accelerometer,1523723172066,756116439674474,8.283937,-9.442732,-15.26543
android.sensor.accelerometer,1523723172086,756116459666661,11.18571,-16.721106,-15.897499
android.sensor.accelerometer,1523723172106,756116479688536,6.9048777,-18.760965,-11.645397
android.sensor.accelerometer,1523723172126,756116499679161,-4.721366,-15.801731,-12.105083
android.sensor.accelerometer,1523723172146,756116519669786,-12.564771,-16.089035,-11.750742
android.sensor.accelerometer,1523723172166,756116539691661,-18.282124,-16.673222,-6.694188
android.sensor.accelerometer,1523723172186,756116559683849,-20.226215,-19.55584,-0.10534488
android.sensor.accelerometer,1523723172206,756116579674474,-17.678785,-23.51106,10.381259
android.sensor.accelerometer,1523723172226,756116599696349,-22.70661,-19.488802,9.605537
android.sensor.accelerometer,1523723172246,756116619686974,-29.735985,-14.001291,2.0685902
android.sensor.accelerometer,1523723172266,756116639677599,-33.126175,-10.323798,2.2505496
android.sensor.accelerometer,1523723172286,756116659669786,-44.886494,-5.985504,4.3478703
android.sensor.accelerometer,1523723172306,756116679691661,-55.7849,-2.2026656,19.977219
android.sensor.accelerometer,1523723172326,756116699682286,-54.91341,1.733402,22.16073
android.sensor.accelerometer,1523723172346,756116719672911,-51.657295,4.5681367,11.808203
android.sensor.accelerometer,1523723172367,756116739694786,-45.40364,3.8402996,11.597513
android.sensor.accelerometer,1523723172386,756116759686974,-40.423702,1.6184803,10.840945
android.sensor.accelerometer,1523723172406,756116779677599,-37.148434,-2.719813,7.1347213
android.sensor.accelerometer,1523723172426,756116799668224,-35.08942,-8.858546,9.394848
android.sensor.accelerometer,1523723172446,756116819690099,-31.862036,-15.935806,12.5743475
android.sensor.accelerometer,1523723172466,756116839680724,-27.600357,-21.394587,12.124237
android.sensor.accelerometer,1523723172486,756116859671349,-23.645136,-23.348255,8.916007
android.sensor.accelerometer,1523723172506,756116879694786,-23.080105,-24.53578,5.5641246
android.sensor.accelerometer,1523723172526,756116899685411,-17.745823,-26.259604,9.423578
android.sensor.accelerometer,1523723172546,756116919676036,-13.369223,-23.587675,14.422671
android.sensor.accelerometer,1523723172566,756116939666661,-8.264784,-21.528662,15.600618
android.sensor.accelerometer,1523723172586,756116959690099,-5.583278,-18.358738,22.093693
android.sensor.accelerometer,1523723172606,756116979680724,-3.715801,-12.459426,33.518826
android.sensor.accelerometer,1523723172626,756116999671349,-2.1930888,-4.309563,42.473137
android.sensor.accelerometer,1523723172646,756117019693224,-3.3901896,2.5953147,41.8698
android.sensor.accelerometer,1523723172666,756117039683849,-3.7541082,8.408437,41.314346
android.sensor.accelerometer,1523723172686,756117059676036,-0.15322891,10.745177,39.43729
android.sensor.accelerometer,1523723172706,756117079666661,3.3806129,11.741165,32.407913
android.sensor.accelerometer,1523723172726,756117099688536,3.3806129,11.587936,30.061596
android.sensor.accelerometer,1523723172746,756117119679161,-1.4652514,11.204864,30.41594
android.sensor.accelerometer,1523723172766,756117139669786,-6.0142345,13.206416,29.774292
android.sensor.accelerometer,1523723172786,756117159693224,-8.762778,12.593501,25.215733
android.sensor.accelerometer,1523723172806,756117179683849,-10.630256,10.304645,19.814413
android.sensor.accelerometer,1523723172826,756117199674474,-10.984597,5.2768207,19.469648
android.sensor.accelerometer,1523723172846,756117219696349,-10.132261,-4.060566,19.086576
android.sensor.accelerometer,1523723172866,756117239686974,-14.939818,-12.440272,12.0093155
android.sensor.accelerometer,1523723172886,756117259677599,-9.864111,-33.729515,-3.7349546
android.sensor.accelerometer,1523723172906,756117279669786,-9.5385,-49.196056,-14.039598
android.sensor.accelerometer,1523723172926,756117299691661,-14.729129,-54.118534,-30.090326
android.sensor.accelerometer,1523723172946,756117319682286,-7.1059904,-45.76756,-57.479996
android.sensor.accelerometer,1523723172966,756117339672911,-18.301277,-5.554548,-43.67024
android.sensor.accelerometer,1523723172986,756117359696349,-39.782055,31.900343,7.28795
android.sensor.accelerometer,1523723173006,756117379686974,-17.975666,15.121778,-8.475474
android.sensor.accelerometer,1523723173026,756117399677599,9.844957,-7.326257,-18.128895
android.sensor.accelerometer,1523723173046,756117419668224,15.26543,-4.5202527,-14.882358
android.sensor.accelerometer,1523723173066,756117439690099,11.405977,0.16280572,-11.894394
android.sensor.accelerometer,1523723173086,756117459680724,2.5953147,6.8665705,-9.471462
android.sensor.accelerometer,1523723173106,756117479672911,1.4748282,6.38773,-9.940725
android.sensor.accelerometer,1523723173126,756117499694786,2.9017725,2.9783869,-11.147403
android.sensor.accelerometer,1523723173146,756117519685411,-2.087744,3.8786068,-11.061212
android.sensor.accelerometer,1523723173166,756117539676036,-8.887277,7.5944076,-8.791509
android.sensor.accelerometer,1523723173186,756117559668224,-12.401965,9.595961,-6.3685765
android.sensor.accelerometer,1523723173206,756117579690099,-11.473015,6.483498,-5.659893
android.sensor.accelerometer,1523723173226,756117599680724,-8.207323,1.6184803,-4.596867
android.sensor.accelerometer,1523723173246,756117619671349,-7.374141,-0.35434186,-1.4556746
android.sensor.accelerometer,1523723173266,756117639693224,-10.496181,2.1164744,-0.24899697
android.sensor.accelerometer,1523723173286,756117659685411,-10.04607,2.7581203,-1.934515
android.sensor.accelerometer,1523723173307,756117679674474,-9.136273,4.76925,-5.861006
android.sensor.accelerometer,1523723173326,756117699666661,-9.337387,5.171476,-5.9280434
android.sensor.accelerometer,1523723173346,756117719688536,-6.301539,4.6255975,-3.3423057
android.sensor.accelerometer,1523723173366,756117739679161,-6.493075,7.383718,-3.9264908
android.sensor.accelerometer,1523723173387,756117759671349,-10.266336,11.702858,-2.767697
android.sensor.accelerometer,1523723173407,756117779693224,-9.097966,11.540052,-4.5298295
android.sensor.accelerometer,1523723173427,756117799683849,-4.261679,10.505757,-2.767697
android.sensor.accelerometer,1523723173448,756117819674474,-2.9783869,12.315774,2.0015526
android.sensor.accelerometer,1523723173467,756117839696349,-2.6431987,12.641385,1.0247183
android.sensor.accelerometer,1523723173487,756117859688536,-1.6950948,12.325351,0.2777274
android.sensor.accelerometer,1523723173507,756117879679161,-1.8387469,13.168109,3.1124623
android.sensor.accelerometer,1523723173527,756117899669786,-2.0494366,13.177686,3.9360676
android.sensor.accelerometer,1523723173546,756117919691661,-1.1683705,11.473015,0.7469909
android.sensor.accelerometer,1523723173567,756117939682286,-1.0055647,11.128249,2.2888567
android.sensor.accelerometer,1523723173586,756117959672911,-2.5761611,12.143391,4.4340615
android.sensor.accelerometer,1523723173606,756117979694786,-4.0318356,12.315774,5.142745
android.sensor.accelerometer,1523723173626,756117999686974,-2.815581,10.390836,4.2904096
android.sensor.accelerometer,1523723173646,756118019677599,0.17238252,8.561666,5.353435
android.sensor.accelerometer,1523723173666,756118039668224,-0.2777274,8.762778,8.283937
android.sensor.accelerometer,1523723173686,756118059690099,-0.842759,9.270349,7.1059904
android.sensor.accelerometer,1523723173706,756118079680724,-1.7046716,9.289502,4.3766007
