Sensor, CurrentTimeMs, SensorTimestampNano, X, Y, Z
android.sensor.gyroscope,1523723185167,756129539674474,0.0,0.0,0.0
android.sensor.gyroscope,1523723185187,756129559696349,0.0,0.0,0.0
android.sensor.gyroscope,1523723185207,756129579686974,0.0,0.0,0.0
android.sensor.gyroscope,1523723185227,756129599679161,0.0,0.0,0.0
android.sensor.gyroscope,1523723185247,756129619669786,0.0,0.0,0.0
android.sensor.gyroscope,1523723185267,756129639691661,-0.0095294975,0.03190462,0.02125811
android.sensor.gyroscope,1523723185287,756129659682286,-0.012810716,0.045256387,0.03080506
android.sensor.gyroscope,1523723185307,756129679672911,-0.00572468,0.054262288,0.04117232
android.sensor.gyroscope,1523723185327,756129699696349,-0.0016231562,0.061348323,0.047996555
android.sensor.gyroscope,1523723185347,756129719686974,0.0021816615,0.08126253,0.06489134
android.sensor.gyroscope,1523723185367,756129739677599,0.0021816615,0.07497934,0.059986968
android.sensor.gyroscope,1523723185387,756129759668224,-0.0013613568,0.053441983,0.042533673
android.sensor.gyroscope,1523723185407,756129779691661,-0.006265732,0.061086524,0.047996555
android.sensor.gyroscope,1523723185427,756129799680724,-0.006265732,0.06080727,0.048258353
android.sensor.gyroscope,1523723185447,756129819672911,-0.006806784,0.07389724,0.06080727
android.sensor.gyroscope,1523723185467,756129839694786,-0.005986479,0.07417649,0.06080727
android.sensor.gyroscope,1523723185487,756129859685411,-0.0019024089,0.08998918,0.0760789
android.sensor.gyroscope,1523723185507,756129879677599,-0.0027227136,0.08916887,0.07689921
android.sensor.gyroscope,1523723185527,756129899668224,-0.004363323,0.09325294,0.07199483
android.sensor.gyroscope,1523723185547,756129919690099,0.08316494,0.36569884,0.23561946
android.sensor.gyroscope,1523723185567,756129939680724,0.12515756,0.5825036,0.28906143
android.sensor.gyroscope,1523723185587,756129959671349,0.12733923,0.60049796,0.28061405
android.sensor.gyroscope,1523723185607,756129979693224,0.16470672,0.64359015,0.34524357
android.sensor.gyroscope,1523723185627,756129999685411,0.25743607,0.82875216,0.54159313
android.sensor.gyroscope,1523723185647,756130019676036,0.4987802,1.4036112,1.1020008
android.sensor.gyroscope,1523723185667,756130039666661,0.6531197,1.7922262,1.5233408
android.sensor.gyroscope,1523723185687,756130059688536,0.7368431,1.9902164,1.8072187
android.sensor.gyroscope,1523723185707,756130079680724,0.73275906,1.9053934,1.8699458
android.sensor.gyroscope,1523723185727,756130099671349,0.6790378,1.6643285,1.8102206
android.sensor.gyroscope,1523723185747,756130119693224,0.590951,1.2904441,1.6136092
android.sensor.gyroscope,1523723185767,756130139683849,0.4365941,0.6907664,1.1355461
android.sensor.gyroscope,1523723185787,756130159674474,-0.033265974,-0.96319485,-0.3779685
android.sensor.gyroscope,1523723185807,756130179696349,-0.69212776,-1.8107791,-2.2154686
android.sensor.gyroscope,1523723185827,756130199688536,-1.062731,-1.1824605,-3.0949574
android.sensor.gyroscope,1523723185847,756130219679161,-1.07528,-0.10225884,-3.3823783
android.sensor.gyroscope,1523723185867,756130239669786,-0.96673787,0.8448441,-3.5217428
android.sensor.gyroscope,1523723185887,756130259691661,-0.79848814,1.5176162,-3.5051098
android.sensor.gyroscope,1523723185907,756130279683849,-0.56423,1.9700404,-3.2831213
android.sensor.gyroscope,1523723185927,756130299674474,-0.350689,2.2555587,-2.9956832
android.sensor.gyroscope,1523723185947,756130319696349,-0.20587903,2.3261924,-2.6550822
android.sensor.gyroscope,1523723185967,756130339686974,-0.14479251,2.2975514,-2.404191
android.sensor.gyroscope,1523723185987,756130359677599,-0.19252726,2.0556662,-2.2768342
android.sensor.gyroscope,1523723186007,756130379669786,-0.27433085,1.7164091,-2.1928318
android.sensor.gyroscope,1523723186027,756130399691661,-0.36651915,1.4306115,-2.1535618
android.sensor.gyroscope,1523723186047,756130419682286,-0.44095743,1.2776333,-2.0919342
