Sensor, CurrentTimeMs, SensorTimestampNano, X, Y, Z
android.sensor.accelerometer,1523723106967,756051339683849,-0.5363012,7.086837,6.885724
android.sensor.accelerometer,1523723106986,756051359674474,-0.5363012,7.1251445,6.8186865
android.sensor.accelerometer,1523723107006,756051379696349,-0.5554548,7.1155677,6.7133417
android.sensor.accelerometer,1523723107026,756051399688536,-0.49799395,7.0581064,6.943185
android.sensor.accelerometer,1523723107046,756051419679161,-0.45010993,7.0102224,7.086837
android.sensor.accelerometer,1523723107066,756051439669786,-0.51714754,7.019799,6.9144545
android.sensor.accelerometer,1523723107087,756051459691661,-0.545878,7.0102224,6.9048777
android.sensor.accelerometer,1523723107107,756051479683849,-0.61291564,7.086837,6.7803793
android.sensor.accelerometer,1523723107126,756051499674474,-0.58418524,7.1251445,6.7133417
android.sensor.accelerometer,1523723107146,756051519696349,-0.545878,7.0581064,6.885724
android.sensor.accelerometer,1523723107166,756051539686974,-0.545878,7.038953,6.799533
android.sensor.accelerometer,1523723107186,756051559677599,-0.5746084,7.0006456,6.8761473
android.sensor.accelerometer,1523723107207,756051579668224,-0.63206923,6.9623384,6.991069
android.sensor.accelerometer,1523723107226,756051599691661,-0.49799395,7.038953,6.8569937
android.sensor.accelerometer,1523723107246,756051619682286,-0.50757074,7.144298,6.7324953
android.sensor.accelerometer,1523723107266,756051639672911,-0.45010993,7.383718,7.0581064
android.sensor.accelerometer,1523723107287,756051659694786,-0.50757074,8.24563,7.6614456
android.sensor.accelerometer,1523723107306,756051679686974,-0.90021986,9.595961,8.178593
android.sensor.accelerometer,1523723107327,756051699676036,-1.6663644,11.051635,8.350976
android.sensor.accelerometer,1523723107346,756051719668224,-2.5761611,12.919112,9.442732
android.sensor.accelerometer,1523723107366,756051739690099,-2.3558946,12.6222315,11.118672
android.sensor.accelerometer,1523723107386,756051759680724,-2.2122424,12.076353,12.430696
android.sensor.accelerometer,1523723107406,756051779671349,-1.091756,11.061212,10.7356
android.sensor.accelerometer,1523723107427,756051799694786,-0.51714754,10.295067,5.9184666
android.sensor.accelerometer,1523723107447,756051819685411,1.3120226,9.040505,-1.5993267
android.sensor.accelerometer,1523723107466,756051839676036,2.528277,7.086837,-5.659893
android.sensor.accelerometer,1523723107486,756051859666661,2.8921957,4.501099,-8.025364
android.sensor.accelerometer,1523723107506,756051879688536,2.9975405,0.8810662,-10.6877165
android.sensor.accelerometer,1523723107526,756051899680724,3.9264908,-3.2561142,-12.382812
android.sensor.accelerometer,1523723107546,756051919671349,5.0757074,-9.346964,-12.698846
android.sensor.accelerometer,1523723107567,756051939693224,3.620033,-13.599066,-16.328455
android.sensor.accelerometer,1523723107586,756051959683849,2.4516625,-19.278112,-16.625336
android.sensor.accelerometer,1523723107606,756051979674474,0.12449849,-23.779211,-14.614207
android.sensor.accelerometer,1523723107626,756051999666661,-3.083732,-27.35136,-11.779472
android.sensor.accelerometer,1523723107646,756052019688536,-5.4683566,-32.264263,-8.63828
android.sensor.accelerometer,1523723107666,756052039679161,-12.660539,-35.711914,-6.6271505
android.sensor.accelerometer,1523723107687,756052059669786,-24.344242,-38.45088,-4.003105
android.sensor.accelerometer,1523723107706,756052079691661,-32.465374,-40.701427,5.161899
android.sensor.accelerometer,1523723107726,756052099683849,-36.612133,-38.6903,6.1770406
android.sensor.accelerometer,1523723107746,756052119674474,-37.100548,-39.245754,-1.2641385
android.sensor.accelerometer,1523723107766,756052139696349,-36.478058,-43.36378,-0.45010993
android.sensor.accelerometer,1523723107786,756052159688536,-37.15801,-44.043736,1.5993267
android.sensor.accelerometer,1523723107807,756052179677599,-39.724594,-44.225693,-0.8523358
android.sensor.accelerometer,1523723107826,756052199669786,-42.07091,-43.79474,0.22026655
android.sensor.accelerometer,1523723107846,756052219691661,-41.53461,-43.766006,-0.48841715
android.sensor.accelerometer,1523723107866,756052239682286,-41.582497,-43.382935,-2.327164
android.sensor.accelerometer,1523723107886,756052259672911,-40.36624,-44.666225,-4.1659107
android.sensor.accelerometer,1523723107906,756052279694786,-38.74776,-44.091618,-3.2944214
android.sensor.accelerometer,1523723107927,756052299686974,-35.759796,-43.507435,-1.9536686
android.sensor.accelerometer,1523723107946,756052319677599,-29.831753,-41.774033,0.35434186
android.sensor.accelerometer,1523723107966,756052339668224,-26.78633,-37.99119,-0.59376204
android.sensor.accelerometer,1523723107986,756052359690099,-22.323536,-36.066254,-0.7086837
android.sensor.accelerometer,1523723108006,756052379680724,-14.451402,-34.419044,2.3942018
android.sensor.accelerometer,1523723108026,756052399671349,-7.1634517,-30.569168,8.973468
android.sensor.accelerometer,1523723108047,756052419694786,-2.5187001,-25.244463,12.823344
android.sensor.accelerometer,1523723108066,756052439685411,-1.5227122,-21.691467,10.333375
android.sensor.accelerometer,1523723108086,756052459676036,-0.038307227,-20.168755,7.632715
android.sensor.accelerometer,1523723108106,756052479666661,1.7525556,-19.421764,7.4507556
android.sensor.accelerometer,1523723108127,756052499690099,3.3518825,-18.44493,7.4028716
android.sensor.accelerometer,1523723108146,756052519679161,4.5394063,-16.912642,5.9663506
android.sensor.accelerometer,1523723108167,756052539671349,4.3478703,-15.150508,4.7979803
android.sensor.accelerometer,1523723108186,756052559693224,2.96881,-13.713987,4.9320555
android.sensor.accelerometer,1523723108206,756052579685411,1.5035586,-13.062764,4.644751
android.sensor.accelerometer,1523723108226,756052599674474,-0.4405331,-12.717999,5.142745
android.sensor.accelerometer,1523723108246,756052619666661,-1.1587936,-14.202404,7.8912888
android.sensor.accelerometer,1523723108266,756052639688536,-2.7102363,-15.581465,7.651869
android.sensor.accelerometer,1523723108287,756052659679161,-9.77792,-15.217546,1.2545617
android.sensor.accelerometer,1523723108306,756052679669786,-15.753847,-17.27656,0.90979666
android.sensor.accelerometer,1523723108326,756052699693224,-30.856472,-19.507956,3.2465374
android.sensor.accelerometer,1523723108346,756052719683849,-51.714756,-19.124884,20.130447
android.sensor.accelerometer,1523723108366,756052739674474,-63.657036,-16.845604,36.478058
android.sensor.accelerometer,1523723108386,756052759696349,-66.55881,-19.038692,33.212364
android.sensor.accelerometer,1523723108407,756052779686974,-67.78464,-20.168755,19.239805
android.sensor.accelerometer,1523723108426,756052799677599,-66.147,-16.634912,2.3080103
android.sensor.accelerometer,1523723108446,756052819668224,-60.10404,-11.587936,-14.384364
android.sensor.accelerometer,1523723108466,756052839691661,-56.330776,-4.4819455,-21.337126
android.sensor.accelerometer,1523723108486,756052859682286,-46.447514,-1.6759412,-24.14313
android.sensor.accelerometer,1523723108506,756052879672911,-38.077385,1.436521,-24.210167
android.sensor.accelerometer,1523723108527,756052899696349,-37.770927,6.301539,-32.273838
android.sensor.accelerometer,1523723108546,756052919686974,-29.937098,7.3166804,-28.625076
android.sensor.accelerometer,1523723108566,756052939677599,-18.47366,4.5681367,-16.424223
android.sensor.accelerometer,1523723108586,756052959668224,-12.430696,2.5187001,-7.8912888
android.sensor.accelerometer,1523723108607,756052979690099,-11.089942,0.5746084,-7.2687964
android.sensor.accelerometer,1523723108626,756052999680724,-10.448297,-0.9576807,-8.734048
android.sensor.accelerometer,1523723108647,756053019672911,-10.43872,-1.3982137,-6.4547677
android.sensor.accelerometer,1523723108666,756053039694786,-8.274361,-1.9728222,-2.633622
