Sensor, CurrentTimeMs, SensorTimestampNano, X, Y, Z
android.sensor.gyroscope,1523723093127,756037499676036,0.0,0.0,0.0
android.sensor.gyroscope,1523723093147,756037519666661,0.0,0.0,0.0
android.sensor.gyroscope,1523723093167,756037539688536,0.0,0.0,0.0
android.sensor.gyroscope,1523723093187,756037559680724,0.0,0.0,0.0
android.sensor.gyroscope,1523723093207,756037579671349,0.0,0.0,0.0
android.sensor.gyroscope,1523723093227,756037599693224,0.0,0.0,0.0
android.sensor.gyroscope,1523723093247,756037619683849,0.0,0.0,0.0
android.sensor.gyroscope,1523723093267,756037639676036,0.0,0.0,0.0
android.sensor.gyroscope,1523723093287,756037659666661,0.0,0.0,0.0
android.sensor.gyroscope,1523723093307,756037679688536,0.0,0.0,0.0
android.sensor.gyroscope,1523723093327,756037699679161,0.0,0.0,0.0
android.sensor.gyroscope,1523723093347,756037719669786,0.0,0.0,0.0
android.sensor.gyroscope,1523723093367,756037739691661,0.0,0.0,0.0
android.sensor.gyroscope,1523723093387,756037759683849,0.0,0.0,0.0
android.sensor.gyroscope,1523723093407,756037779674474,0.0,0.0,0.0
android.sensor.gyroscope,1523723093427,756037799696349,0.0,0.0,0.0
android.sensor.gyroscope,1523723093447,756037819686974,0.0,0.0,0.0
android.sensor.gyroscope,1523723093467,756037839677599,0.041992623,0.007347836,-0.036808994
android.sensor.gyroscope,1523723093487,756037859668224,0.0,0.0,0.0
android.sensor.gyroscope,1523723093507,756037879691661,0.047996555,0.09243264,-0.0046251225
android.sensor.gyroscope,1523723093527,756037899682286,0.07171558,0.20315632,0.032986723
android.sensor.gyroscope,1523723093547,756037919672911,0.095713854,0.32396802,0.07826056
android.sensor.gyroscope,1523723093567,756037939694786,0.10716321,0.39324012,0.09953613
android.sensor.gyroscope,1523723093587,756037959686974,0.10744247,0.40142572,0.08152433
android.sensor.gyroscope,1523723093607,756037979677599,0.10389945,0.39488074,0.06026622
android.sensor.gyroscope,1523723093627,756037999668224,0.093811445,0.38233182,0.031346112
android.sensor.gyroscope,1523723093647,756038019690099,0.16224581,0.52468085,0.16470672
android.sensor.gyroscope,1523723093667,756038039680724,0.32587042,0.8778308,0.51104987
android.sensor.gyroscope,1523723093687,756038059672911,0.42868778,1.0499203,0.75729835
android.sensor.gyroscope,1523723093707,756038079694786,0.5429545,1.2792566,1.052643
android.sensor.gyroscope,1523723093727,756038099685411,0.65640086,1.5675151,1.3706245
android.sensor.gyroscope,1523723093747,756038119676036,0.72921604,1.8055955,1.6239591
android.sensor.gyroscope,1523723093767,756038139668224,0.719128,1.8884985,1.7185909
android.sensor.gyroscope,1523723093787,756038159690099,0.6700319,1.8598578,1.4415197
android.sensor.gyroscope,1523723093807,756038179680724,0.62367594,1.7597805,0.5775818
android.sensor.gyroscope,1523723093827,756038199671349,0.2506118,1.4696196,-1.8140428
android.sensor.gyroscope,1523723093847,756038219693224,-1.4205235,3.891264,-7.186655
android.sensor.gyroscope,1523723093867,756038239685411,-3.0461407,4.210869,-7.9169707
android.sensor.gyroscope,1523723093887,756038259674474,-3.2741156,3.6002827,-7.206028
android.sensor.gyroscope,1523723093907,756038279666661,-3.100944,3.1830442,-6.481158
android.sensor.gyroscope,1523723093928,756038299688536,-2.88852,3.0035894,-5.8569407
android.sensor.gyroscope,1523723093947,756038319679161,-2.6861665,2.8290565,-5.2564254
android.sensor.gyroscope,1523723093967,756038339669786,-2.5094519,2.6272616,-4.6613903
android.sensor.gyroscope,1523723093987,756038359693224,-2.3501906,2.382095,-4.1377916
android.sensor.gyroscope,1523723094007,756038379683849,-2.1966538,2.1170146,-3.7099068
android.sensor.gyroscope,1523723094027,756038399674474,-2.0213008,1.9045905,-3.3360224
android.sensor.gyroscope,1523723094047,756038419696349,-1.8279531,1.7475109,-3.021322
android.sensor.gyroscope,1523723094067,756038439688536,-1.5688765,1.6258789,-2.8066988
android.sensor.gyroscope,1523723094087,756038459677599,-1.2519945,1.5233408,-2.6259003
android.sensor.gyroscope,1523723094108,756038479669786,-0.92066115,1.4469826,-2.4472659
android.sensor.gyroscope,1523723094128,756038499691661,-0.5775818,1.4178008,-2.2833793
android.sensor.gyroscope,1523723094148,756038519682286,-0.2527935,1.4178008,-2.14021
android.sensor.gyroscope,1523723094168,756038539672911,0.06843436,1.401988,-2.0005836
android.sensor.gyroscope,1523723094188,756038559696349,0.38097048,1.3706245,-1.8748502
android.sensor.gyroscope,1523723094208,756038579686974,0.66566855,1.3340774,-1.754597
android.sensor.gyroscope,1523723094228,756038599677599,0.8813913,1.3087177,-1.6277813
android.sensor.gyroscope,1523723094248,756038619668224,1.0605493,1.2972683,-1.5151552
android.sensor.gyroscope,1523723094268,756038639691661,1.2356232,1.2991707,-1.44426
android.sensor.gyroscope,1523723094288,756038659680724,1.4120761,1.3119814,-1.401988
android.sensor.gyroscope,1523723094308,756038679672911,1.5705171,1.3370793,-1.3411634
android.sensor.gyroscope,1523723094328,756038699694786,1.7175087,1.3932614,-1.2931668
android.sensor.gyroscope,1523723094348,756038719685411,1.8372208,1.5047879,-1.2923465
android.sensor.gyroscope,1523723094368,756038739676036,1.8418634,1.5811461,-1.3139013
android.sensor.gyroscope,1523723094388,756038759668224,1.7644057,1.5536048,-1.3409015
android.sensor.gyroscope,1523723094408,756038779690099,1.718329,1.491698,-1.3932614
android.sensor.gyroscope,1523723094428,756038799680724,1.6826022,1.4109765,-1.4532484
android.sensor.gyroscope,1523723094447,756038819671349,1.5920545,1.2481722,-1.5080692
android.sensor.gyroscope,1523723094467,756038839694786,1.4865143,1.0319259,-1.5217003
android.sensor.gyroscope,1523723094487,756038859685411,1.4172597,0.8061152,-1.3976247
android.sensor.gyroscope,1523723094507,756038879676036,1.3807125,0.55850536,-1.1876267
android.sensor.gyroscope,1523723094527,756038899666661,1.36298,0.3114191,-0.9732829
android.sensor.gyroscope,1523723094547,756038919688536,1.3894391,0.12135274,-0.6566801
android.sensor.gyroscope,1523723094567,756038939679161,1.3973455,0.07689921,-0.3095167
android.sensor.gyroscope,1523723094587,756038959671349,1.3357179,0.1502554,0.0046251225
android.sensor.gyroscope,1523723094607,756038979693224,1.2018163,0.29696777,0.31932545
android.sensor.gyroscope,1523723094627,756038999683849,0.9981014,0.42704716,0.56040776
android.sensor.gyroscope,1523723094647,756039019674474,0.7049385,0.60840434,0.80583596
android.sensor.gyroscope,1523723094667,756039039696349,0.34088024,0.8462054,1.0717369
android.sensor.gyroscope,1523723094687,756039059688536,0.023177972,0.9672789,1.2525356
android.sensor.gyroscope,1523723094707,756039079679161,-0.2268928,0.9798278,1.373068
android.sensor.gyroscope,1523723094727,756039099669786,-0.5235988,1.0117325,1.5181572
android.sensor.gyroscope,1523723094747,756039119691661,-0.8238478,1.0270041,1.6550608
android.sensor.gyroscope,1523723094767,756039139683849,-1.0510024,0.9482025,1.6877857
android.sensor.gyroscope,1523723094787,756039159672911,-1.23126,0.8077558,1.6637875
android.sensor.gyroscope,1523723094807,756039179696349,-1.4044316,0.6359456,1.6149706
android.sensor.gyroscope,1523723094827,756039199686974,-1.5715991,0.48677233,1.5560658
android.sensor.gyroscope,1523723094847,756039219677599,-1.7436886,0.36950365,1.5047879
android.sensor.gyroscope,1523723094867,756039239668224,-1.9152195,0.25579545,1.4398966
android.sensor.gyroscope,1523723094887,756039259691661,-2.0613909,0.15053464,1.3648999
android.sensor.gyroscope,1523723094907,756039279682286,-2.1887476,0.049619712,1.2773541
android.sensor.gyroscope,1523723094927,756039299672911,-2.2732913,-0.017453292,1.1928104
android.sensor.gyroscope,1523723094947,756039319694786,-2.3433664,-0.038711403,1.1172725
android.sensor.gyroscope,1523723094967,756039339685411,-2.4071755,8.0285146E-4,1.0120118
android.sensor.gyroscope,1523723094987,756039359677599,-2.427369,0.08290314,0.897745
android.sensor.gyroscope,1523723095007,756039379668224,-2.3932827,0.20833996,0.8159414
android.sensor.gyroscope,1523723095027,756039399690099,-2.306278,0.40168753,0.7616617
android.sensor.gyroscope,1523723095047,756039419680724,-2.1731968,0.6517583,0.7518529
android.sensor.gyroscope,1523723095067,756039439671349,-1.9585736,0.91573936,0.83557636
android.sensor.gyroscope,1523723095087,756039459693224,-1.6856041,1.1715523,1.0035644
android.sensor.gyroscope,1523723095107,756039479685411,-1.4068924,1.316624,1.2784537
android.sensor.gyroscope,1523723095127,756039499676036,-1.1486361,1.2653637,1.5917926
android.sensor.gyroscope,1523723095147,756039519666661,-0.91329587,1.002744,1.9165809
android.sensor.gyroscope,1523723095167,756039539688536,-0.73521996,0.7491128,2.2871842
android.sensor.gyroscope,1523723095187,756039559679161,-0.60185933,0.5279621,2.6531622
android.sensor.gyroscope,1523723095207,756039579671349,-0.59639645,0.07307693,3.0199606
android.sensor.gyroscope,1523723095227,756039599693224,-0.7071201,-0.5966757,3.3698468
android.sensor.gyroscope,1523723095247,756039619683849,-0.8219279,-1.121374,3.6430955
android.sensor.gyroscope,1523723095267,756039639674474,-0.91219634,-1.4257071,3.855537
android.sensor.gyroscope,1523723095287,756039659696349,-0.9871931,-1.622877,4.004972
android.sensor.gyroscope,1523723095307,756039679688536,-1.121374,-1.8145839,4.1620517
android.sensor.gyroscope,1523723095327,756039699679161,-1.3237101,-2.0431173,4.3224125
android.sensor.gyroscope,1523723095347,756039719669786,-1.4366155,-2.193931,4.326776
android.sensor.gyroscope,1523723095367,756039739691661,-1.4131582,-2.2362032,4.1609697
android.sensor.gyroscope,1523723095387,756039759683849,-1.313622,-2.2530978,3.898891
android.sensor.gyroscope,1523723095407,756039779674474,-1.2007167,-2.2487345,3.6030054
android.sensor.gyroscope,1523723095427,756039799696349,-1.0989989,-2.2811978,3.2902074
android.sensor.gyroscope,1523723095447,756039819686974,-1.0016445,-2.3981872,2.925329
android.sensor.gyroscope,1523723095467,756039839677599,-0.8843758,-2.5162587,2.5176375
android.sensor.gyroscope,1523723095487,756039859668224,-0.77721256,-2.5329092,2.1303837
android.sensor.gyroscope,1523723095507,756039879691661,-0.6883055,-2.4731839,1.8143221
android.sensor.gyroscope,1523723095527,756039899682286,-0.62531656,-2.4099157,1.5293448
android.sensor.gyroscope,1523723095547,756039919672911,-0.5833065,-2.3848178,1.2549964
