Sensor, CurrentTimeMs, SensorTimestampNano, X, Y, Z
android.sensor.accelerometer,1523723279906,756224279668224,-0.1436521,9.260772,2.9783869
android.sensor.accelerometer,1523723279926,756224299690099,-0.30645782,9.471462,2.8443117
android.sensor.accelerometer,1523723279946,756224319680724,-0.46926352,9.509769,2.7389667
android.sensor.accelerometer,1523723279966,756224339672911,-0.45968673,9.414001,3.064578
android.sensor.accelerometer,1523723279986,756224359693224,-0.23942018,9.337387,3.3423057
android.sensor.accelerometer,1523723280007,756224379685411,-0.1340753,9.356541,3.169923
android.sensor.accelerometer,1523723280027,756224399676036,-0.095768064,9.337387,3.1411927
android.sensor.accelerometer,1523723280047,756224419666661,-0.34476504,9.433155,2.9400797
android.sensor.accelerometer,1523723280066,756224439688536,-0.30645782,9.433155,3.0933087
android.sensor.accelerometer,1523723280086,756224459680724,-0.02873042,9.337387,3.2082303
android.sensor.accelerometer,1523723280106,756224479671349,-0.047884032,9.3182335,3.1794999
android.sensor.accelerometer,1523723280127,756224499693224,-0.16280572,9.232041,3.2273839
android.sensor.accelerometer,1523723280146,756224519683849,-0.2681506,9.3182335,3.0454245
android.sensor.accelerometer,1523723280166,756224539674474,-0.35434186,9.346964,2.873042
android.sensor.accelerometer,1523723280186,756224559696349,-0.25857377,9.299079,2.8538885
android.sensor.accelerometer,1523723280206,756224579688536,-0.2777274,9.260772,2.8634653
android.sensor.accelerometer,1523723280226,756224599679161,-0.4405331,9.260772,2.825158
android.sensor.accelerometer,1523723280247,756224619669786,-0.5746084,9.260772,2.5474305
android.sensor.accelerometer,1523723280267,756224639691661,-0.9768343,9.471462,2.1739352
android.sensor.accelerometer,1523723280287,756224659683849,-1.3024458,9.710882,1.3503298
android.sensor.accelerometer,1523723280307,756224679674474,-1.091756,9.864111,0.50757074
android.sensor.accelerometer,1523723280327,756224699696349,-1.5514427,10.448297,0.89064306
android.sensor.accelerometer,1523723280346,756224719686974,-4.462792,12.689269,2.0111294
android.sensor.accelerometer,1523723280367,756224739677599,-6.0142345,14.5567465,1.1204864
android.sensor.accelerometer,1523723280386,756224759669786,-5.554548,15.332468,-0.15322891
android.sensor.accelerometer,1523723280406,756224779691661,-4.156334,15.409082,-0.15322891
android.sensor.accelerometer,1523723280426,756224799682286,-2.9592333,15.313314,0.5267244
android.sensor.accelerometer,1523723280446,756224819672911,-1.733402,14.968549,3.4284968
android.sensor.accelerometer,1523723280466,756224839694786,0.36391866,13.685257,7.5082164
android.sensor.accelerometer,1523723280487,756224859686974,2.1739352,11.87524,10.745177
android.sensor.accelerometer,1523723280506,756224879676036,3.1890767,10.25676,13.972561
android.sensor.accelerometer,1523723280526,756224899668224,5.104438,7.7093296,17.506403
android.sensor.accelerometer,1523723280546,756224919690099,6.4739213,4.8458643,18.550274
android.sensor.accelerometer,1523723280566,756224939680724,6.7612257,2.3654714,16.4338
android.sensor.accelerometer,1523723280586,756224959671349,7.067683,1.13964,13.493721
android.sensor.accelerometer,1523723280607,756224979694786,6.885724,0.47884035,10.28549
android.sensor.accelerometer,1523723280626,756224999685411,6.6846113,-0.47884035,8.513782
android.sensor.accelerometer,1523723280646,756225019676036,6.7229185,-1.0342951,7.0102224
android.sensor.accelerometer,1523723280666,756225039666661,6.694188,-1.484405,5.0661306
android.sensor.accelerometer,1523723280686,756225059688536,5.746084,-1.0342951,3.5529952
android.sensor.accelerometer,1523723280706,756225079680724,3.2752678,-0.009576807,1.1013328
android.sensor.accelerometer,1523723280727,756225099671349,1.3982137,0.8619126,-0.81402856
android.sensor.accelerometer,1523723280746,756225119693224,1.283292,0.7661445,-2.0398598
android.sensor.accelerometer,1523723280766,756225139683849,1.3311762,0.4213795,-3.3135753
android.sensor.accelerometer,1523723280786,756225159674474,-0.23942018,0.81402856,-4.7405195
android.sensor.accelerometer,1523723280806,756225179666661,-2.2026656,1.3503298,-5.889736
android.sensor.accelerometer,1523723280827,756225199688536,-2.8634653,1.3120226,-5.4779334
android.sensor.accelerometer,1523723280847,756225219679161,-2.6144683,0.8619126,-5.3821654
android.sensor.accelerometer,1523723280866,756225239669786,-3.3327289,0.5267244,-4.3957543
android.sensor.accelerometer,1523723280886,756225259693224,-5.7843914,0.1340753,-2.9113493
android.sensor.accelerometer,1523723280906,756225279683849,-7.7572136,0.11492168,-3.2752678
android.sensor.accelerometer,1523723280927,756225299674474,-8.082825,0.5650316,-3.6774938
android.sensor.accelerometer,1523723280946,756225319696349,-8.820239,0.095768064,-3.6296098
android.sensor.accelerometer,1523723280967,756225339686974,-11.128249,0.25857377,-3.8402996
android.sensor.accelerometer,1523723280986,756225359677599,-13.474567,0.842759,-4.232949
android.sensor.accelerometer,1523723281006,756225379669786,-14.595054,1.9249382,-4.951209
android.sensor.accelerometer,1523723281026,756225399691661,-15.916653,1.7812861,-3.6583402
android.sensor.accelerometer,1523723281046,756225419682286,-17.362751,2.2026656,-2.9400797
android.sensor.accelerometer,1523723281066,756225439672911,-18.253393,2.8443117,-4.4244847
android.sensor.accelerometer,1523723281087,756225459694786,-18.760965,2.681506,-5.439626
android.sensor.accelerometer,1523723281106,756225479686974,-18.65562,2.4899697,-4.663905
android.sensor.accelerometer,1523723281126,756225499677599,-17.525557,2.4995465,-3.5242648
android.sensor.accelerometer,1523723281146,756225519668224,-18.646044,2.480393,-4.146757
android.sensor.accelerometer,1523723281166,756225539690099,-20.312407,2.0111294,-3.6774938
android.sensor.accelerometer,1523723281186,756225559680724,-20.858286,1.4269443,-2.0494366
android.sensor.accelerometer,1523723281207,756225579672911,-20.140024,1.0821792,-0.90979666
android.sensor.accelerometer,1523723281226,756225599694786,-19.814413,0.7565677,-0.076614454
android.sensor.accelerometer,1523723281246,756225619685411,-19.258959,1.3503298,-0.047884032
android.sensor.accelerometer,1523723281266,756225639676036,-18.310854,1.2354081,0.21068975
android.sensor.accelerometer,1523723281286,756225659666661,-18.483236,1.0055647,1.484405
android.sensor.accelerometer,1523723281306,756225679688536,-19.603724,2.0973208,2.5761611
android.sensor.accelerometer,1523723281327,756225699680724,-18.674774,2.2122424,2.9879637
android.sensor.accelerometer,1523723281346,756225719671349,-17.745823,2.2888567,3.41892
android.sensor.accelerometer,1523723281366,756225739694786,-18.224663,2.834735,4.3382936
android.sensor.accelerometer,1523723281386,756225759685411,-17.678785,2.2122424,6.540959
android.sensor.accelerometer,1523723281406,756225779676036,-16.912642,2.0015526,9.528923
android.sensor.accelerometer,1523723281426,756225799666661,-16.960526,2.8921957,10.620679
android.sensor.accelerometer,1523723281447,756225819688536,-15.514427,3.0933087,10.582372
android.sensor.accelerometer,1523723281466,756225839679161,-12.794614,2.2505496,11.080365
android.sensor.accelerometer,1523723281486,756225859669786,-10.7356,2.1547816,12.612655
android.sensor.accelerometer,1523723281506,756225879693224,-9.136273,2.5761611,12.670115
android.sensor.accelerometer,1523723281526,756225899683849,-6.8761473,2.480393,10.831368
android.sensor.accelerometer,1523723281546,756225919674474,-5.410896,2.681506,9.097966
android.sensor.accelerometer,1523723281567,756225939696349,-5.6215854,3.8019924,8.360553
android.sensor.accelerometer,1523723281586,756225959688536,-4.003105,3.323152,6.8665705
android.sensor.accelerometer,1523723281606,756225979679161,-2.9400797,2.9113493,5.602432
android.sensor.accelerometer,1523723281626,756225999669786,-2.5187001,3.0262709,4.807557
android.sensor.accelerometer,1523723281646,756226019691661,-2.7868507,3.083732,4.357447
android.sensor.accelerometer,1523723281666,756226039682286,-2.6048915,2.777274,3.122039
android.sensor.accelerometer,1523723281687,756226059672911,-2.7485435,2.9400797,2.4708161
android.sensor.accelerometer,1523723281706,756226079696349,-3.5051112,2.9879637,2.633622
android.sensor.accelerometer,1523723281726,756226099686974,-3.7828386,2.815581,1.8770541
android.sensor.accelerometer,1523723281746,756226119677599,-5.161899,3.7445314,0.076614454
android.sensor.accelerometer,1523723281766,756226139668224,-5.803545,4.2042184,-2.3750482
android.sensor.accelerometer,1523723281786,756226159690099,-6.14831,4.76925,-3.9839516
android.sensor.accelerometer,1523723281807,756226179682286,-6.8665705,5.391742,-4.414908
android.sensor.accelerometer,1523723281826,756226199672911,-7.642292,5.889736,-4.0222588
android.sensor.accelerometer,1523723281847,756226219694786,-8.418014,6.291962,-3.0071173
android.sensor.accelerometer,1523723281867,756226239686974,-7.881712,6.215348,-1.4556746
android.sensor.accelerometer,1523723281886,756226259677599,-7.0581064,6.033388,-0.21068975
android.sensor.accelerometer,1523723281906,756226279666661,-7.881712,6.703765,0.7661445
android.sensor.accelerometer,1523723281927,756226299690099,-6.5218053,7.3166804,1.283292
android.sensor.accelerometer,1523723281946,756226319680724,-2.9113493,7.565677,0.019153614
android.sensor.accelerometer,1523723281966,756226339671349,-2.432509,8.772355,-1.3311762
android.sensor.accelerometer,1523723281986,756226359694786,-2.7006595,9.710882,-1.1492168
android.sensor.accelerometer,1523723282006,756226379685411,-2.4995465,10.496181,0.61291564
android.sensor.accelerometer,1523723282027,756226399676036,-1.13964,10.323798,0.7374141
android.sensor.accelerometer,1523723282047,756226419666661,-0.9959879,10.955867,-0.33518824
android.sensor.accelerometer,1523723282068,756226439688536,-0.05746084,11.492168,-0.50757074
android.sensor.accelerometer,1523723282087,756226459679161,1.3790601,10.936713,0.095768064
android.sensor.accelerometer,1523723282107,756226479669786,2.0398598,10.429143,0.40222588
android.sensor.accelerometer,1523723282127,756226499693224,1.3503298,10.563218,0.7086837
android.sensor.accelerometer,1523723282147,756226519683849,1.2641385,10.745177,0.89064306
android.sensor.accelerometer,1523723282167,756226539674474,1.7142484,10.486604,0.6895301
android.sensor.accelerometer,1523723282187,756226559697911,2.0685902,10.266336,0.7565677
android.sensor.accelerometer,1523723282207,756226579688536,1.3024458,10.429143,0.7469909
android.sensor.accelerometer,1523723282227,756226599679161,0.6895301,10.496181,2.3175871
android.sensor.accelerometer,1523723282247,756226619669786,0.59376204,10.228029,3.1316159
android.sensor.accelerometer,1523723282267,756226639691661,0.9959879,9.902418,2.6240451
android.sensor.accelerometer,1523723282287,756226659683849,1.2737153,9.653421,1.9057846
android.sensor.accelerometer,1523723282307,756226679672911,1.0055647,9.576807,1.8195933
android.sensor.accelerometer,1523723282328,756226699696349,0.23942018,9.825804,2.3080103
android.sensor.accelerometer,1523723282348,756226719686974,0.0,9.892841,2.5378537
android.sensor.accelerometer,1523723282368,756226739677599,0.7661445,9.548077,2.2026656
android.sensor.accelerometer,1523723282388,756226759668224,0.9959879,9.5385,1.6184803
android.sensor.accelerometer,1523723282408,756226779691661,0.6895301,9.643845,1.6280571
android.sensor.accelerometer,1523723282428,756226799680724,0.60333884,9.710882,1.388637
android.sensor.accelerometer,1523723282448,756226819672911,0.24899697,9.940725,1.0055647
android.sensor.accelerometer,1523723282468,756226839694786,0.2681506,9.921572,1.388637
android.sensor.accelerometer,1523723282488,756226859685411,0.60333884,9.615114,1.982399
