Sensor, CurrentTimeMs, SensorTimestampNano, X, Y, Z
android.sensor.accelerometer,1523723341870,756286239676036,-0.31603462,9.299079,3.2369606
android.sensor.accelerometer,1523723341886,756286259666661,-0.24899697,9.251195,3.3614593
android.sensor.accelerometer,1523723341906,756286279688536,0.019153614,9.299079,3.1794999
android.sensor.accelerometer,1523723341927,756286299680724,0.05746084,9.203311,3.1986535
android.sensor.accelerometer,1523723341946,756286319671349,-0.31603462,9.222465,3.7732618
android.sensor.accelerometer,1523723341966,756286339693224,-0.33518824,9.222465,3.6774938
android.sensor.accelerometer,1523723341986,756286359683849,-0.22026655,9.222465,3.4572272
android.sensor.accelerometer,1523723342006,756286379674474,-0.24899697,9.232041,3.4093432
android.sensor.accelerometer,1523723342026,756286399666661,-0.38307226,9.203311,3.4093432
android.sensor.accelerometer,1523723342047,756286419688536,-0.2873042,9.184157,3.3135753
android.sensor.accelerometer,1523723342066,756286439679161,-0.22026655,9.232041,3.1794999
android.sensor.accelerometer,1523723342086,756286459669786,-0.019153614,9.088389,3.4093432
android.sensor.accelerometer,1523723342106,756286479691661,-0.12449849,8.983045,3.6008794
android.sensor.accelerometer,1523723342126,756286499683849,-0.9576807,9.423578,3.3135753
android.sensor.accelerometer,1523723342146,756286519674474,-2.873042,10.994174,2.087744
android.sensor.accelerometer,1523723342167,756286539696349,-4.414908,12.248735,1.7429788
android.sensor.accelerometer,1523723342186,756286559686974,-5.4204726,13.101071,2.3558946
android.sensor.accelerometer,1523723342206,756286579677599,-4.903325,13.321339,2.2601264
android.sensor.accelerometer,1523723342226,756286599669786,-4.175488,13.560759,0.35434186
android.sensor.accelerometer,1523723342246,756286619691661,-5.4204726,14.5088625,-2.6910827
android.sensor.accelerometer,1523723342266,756286639682286,-7.489063,15.74427,-4.4723687
android.sensor.accelerometer,1523723342287,756286659672911,-6.6175733,13.953407,-4.960786
android.sensor.accelerometer,1523723342306,756286679694786,-5.9280434,11.722012,-3.6966474
android.sensor.accelerometer,1523723342326,756286699686974,-5.085284,9.816227,-2.8634653
android.sensor.accelerometer,1523723342346,756286719677599,-4.3382936,7.0964136,-2.5091233
