Sensor, CurrentTimeMs, SensorTimestampNano, X, Y, Z
android.sensor.gyroscope,1523723354972,756299339674474,-0.0019024089,0.04935791,0.026720991
android.sensor.gyroscope,1523723354987,756299359666661,0.0,0.0,0.0
android.sensor.gyroscope,1523723355007,756299379688536,0.0,0.0,0.0
android.sensor.gyroscope,1523723355027,756299399679161,0.0,0.0,0.0
android.sensor.gyroscope,1523723355047,756299419669786,0.0,0.0,0.0
android.sensor.gyroscope,1523723355067,756299439693224,0.0,0.0,0.0
android.sensor.gyroscope,1523723355087,756299459683849,0.0,0.0,0.0
android.sensor.gyroscope,1523723355107,756299479674474,0.0,0.0,0.0
android.sensor.gyroscope,1523723355127,756299499696349,0.0,0.0,0.0
android.sensor.gyroscope,1523723355147,756299519688536,0.0,0.0,0.0
android.sensor.gyroscope,1523723355167,756299539679161,-0.013351769,0.04117232,-0.03598869
android.sensor.gyroscope,1523723355187,756299559669786,-0.00816814,0.054262288,-0.012269665
android.sensor.gyroscope,1523723355207,756299579691661,-0.007347836,0.06789331,-0.002984513
android.sensor.gyroscope,1523723355227,756299599682286,-0.00572468,0.103620194,0.008447394
android.sensor.gyroscope,1523723355247,756299619672911,-0.0046251225,0.07771951,0.0046251225
android.sensor.gyroscope,1523723355267,756299639696349,-0.0038048178,0.06843436,0.0016231562
android.sensor.gyroscope,1523723355287,756299659686974,-0.002443461,0.039531708,-5.410521E-4
android.sensor.gyroscope,1523723355307,756299679677599,-0.002443461,0.03926991,-0.0021816615
android.sensor.gyroscope,1523723355327,756299699668224,-0.002443461,0.039531708,-0.0021816615
android.sensor.gyroscope,1523723355347,756299719690099,0.002984513,0.06843436,2.6179937E-4
android.sensor.gyroscope,1523723355368,756299739680724,0.0019024089,0.06817256,-0.006265732
android.sensor.gyroscope,1523723355388,756299759672911,0.0038048178,0.1420698,-0.035168383
android.sensor.gyroscope,1523723355407,756299779694786,0.029984757,0.31932545,-0.059986968
android.sensor.gyroscope,1523723355428,756299799685411,0.050178215,0.53967327,-0.13824753
android.sensor.gyroscope,1523723355448,756299819676036,0.062168628,0.6907664,-0.20751965
android.sensor.gyroscope,1523723355467,756299839668224,0.08752826,0.8213869,-0.24815091
android.sensor.gyroscope,1523723355487,756299859690099,0.12217305,0.93211055,-0.2582389
android.sensor.gyroscope,1523723355507,756299879680724,0.151896,0.99483764,-0.24979152
android.sensor.gyroscope,1523723355527,756299899671349,0.17315412,1.0281036,-0.23834217
android.sensor.gyroscope,1523723355547,756299919693224,0.23315853,1.1420912,-0.1895253
android.sensor.gyroscope,1523723355568,756299939685411,0.34088024,1.3725269,-0.124354705
android.sensor.gyroscope,1523723355588,756299959674474,0.43931684,1.5726987,-0.07553785
android.sensor.gyroscope,1523723355607,756299979666661,0.44532076,1.5197978,-0.07335619
android.sensor.gyroscope,1523723355627,756299999688536,0.44341835,1.467979,-0.059166662
android.sensor.gyroscope,1523723355647,756300019680724,0.42514476,1.4047108,-0.066811204
android.sensor.gyroscope,1523723355667,756300039671349,0.38833576,1.3158038,-0.10498156
android.sensor.gyroscope,1523723355687,756300059693224,0.34824553,1.2091815,-0.15898204
android.sensor.gyroscope,1523723355708,756300079683849,0.26616272,1.092454,-0.18652333
android.sensor.gyroscope,1523723355727,756300099674474,0.15844099,1.0201973,-0.18624409
android.sensor.gyroscope,1523723355747,756300119696349,-0.023177972,0.8025722,-0.24870941
android.sensor.gyroscope,1523723355767,756300139688536,-0.14997615,0.62858033,-0.320425
android.sensor.gyroscope,1523723355787,756300159679161,-0.17289232,0.59259164,-0.40877357
android.sensor.gyroscope,1523723355807,756300179669786,-0.17643534,0.5565855,-0.5740388
android.sensor.gyroscope,1523723355827,756300199691661,-0.20397663,0.4346917,-0.9190206
android.sensor.gyroscope,1523723355847,756300219683849,-0.16062266,0.40441024,-1.2773541
