Sensor, CurrentTimeMs, SensorTimestampNano, X, Y, Z
android.sensor.accelerometer,1523723429366,756373739669786,-1.043872,9.433155,2.4420857
android.sensor.accelerometer,1523723429386,756373759691661,-1.0630256,9.423578,2.6240451
android.sensor.accelerometer,1523723429407,756373779682286,-1.3024458,9.471462,2.7581203
android.sensor.accelerometer,1523723429426,756373799674474,-1.292869,9.442732,2.6144683
android.sensor.accelerometer,1523723429446,756373819696349,-1.2737153,9.433155,2.4516625
android.sensor.accelerometer,1523723429466,756373839686974,-1.3503298,9.404425,2.777274
android.sensor.accelerometer,1523723429486,756373859677599,-1.3024458,9.337387,2.6527755
android.sensor.accelerometer,1523723429506,756373879668224,-1.3599066,9.404425,2.5187001
android.sensor.accelerometer,1523723429527,756373899691661,-1.3790601,9.500193,2.3654714
android.sensor.accelerometer,1523723429546,756373919682286,-1.3503298,9.557653,2.432509
android.sensor.accelerometer,1523723429566,756373939672911,-1.2737153,9.56723,2.5187001
android.sensor.accelerometer,1523723429586,756373959694786,-1.0055647,9.452309,2.3558946
android.sensor.accelerometer,1523723429606,756373979686974,-0.59376204,9.56723,1.9632454
android.sensor.accelerometer,1523723429626,756373999676036,0.076614454,9.835381,1.6567876
android.sensor.accelerometer,1523723429647,756374019668224,0.6799533,9.988609,1.9632454
android.sensor.accelerometer,1523723429666,756374039690099,1.9057846,9.9790325,2.336741
android.sensor.accelerometer,1523723429686,756374059680724,2.5953147,10.400413,2.7868507
android.sensor.accelerometer,1523723429706,756374079671349,1.5035586,10.381259,3.1028855
android.sensor.accelerometer,1523723429726,756374099694786,-0.5267244,10.67814,3.2561142
android.sensor.accelerometer,1523723429746,756374119685411,-3.0262709,11.089942,2.9400797
android.sensor.accelerometer,1523723429767,756374139676036,-7.833828,12.689269,1.4460979
android.sensor.accelerometer,1523723429786,756374159666661,-11.789049,14.298173,1.5610195
android.sensor.accelerometer,1523723429806,756374179688536,-11.645397,12.909535,0.45010993
android.sensor.accelerometer,1523723429826,756374199679161,-11.463438,11.386824,-1.5131354
android.sensor.accelerometer,1523723429846,756374219671349,-12.29662,10.352529,-1.8674773
android.sensor.accelerometer,1523723429866,756374239693224,-12.880805,9.509769,-1.0726024
android.sensor.accelerometer,1523723429887,756374259683849,-11.36767,7.9966335,-2.5187001
android.sensor.accelerometer,1523723429906,756374279676036,-8.63828,5.985504,-4.951209
android.sensor.accelerometer,1523723429926,756374299666661,-7.144298,4.4915223,-5.267244
android.sensor.accelerometer,1523723429947,756374319688536,-6.445191,3.5529952,-4.7884035
android.sensor.accelerometer,1523723429967,756374339679161,-5.4683566,3.0933087,-4.003105
android.sensor.accelerometer,1523723429986,756374359669786,-4.7788267,3.0358477,-3.5051112
android.sensor.accelerometer,1523723430007,756374379693224,-4.1371803,2.930503,-2.6910827
android.sensor.accelerometer,1523723430027,756374399683849,-3.6774938,2.566584,-2.4516625
android.sensor.accelerometer,1523723430047,756374419674474,-3.1603463,2.585738,-0.90021986
android.sensor.accelerometer,1523723430067,756374439696349,-1.8100165,1.9153614,-0.22026655
android.sensor.accelerometer,1523723430087,756374459686974,-1.6089035,1.9249382,-0.2777274
android.sensor.accelerometer,1523723430106,756374479677599,-1.9249382,2.3654714,1.3215994
android.sensor.accelerometer,1523723430127,756374499669786,-1.6280571,2.183512,4.3478703
android.sensor.accelerometer,1523723430146,756374519691661,-0.9672575,1.6950948,5.305551
android.sensor.accelerometer,1523723430166,756374539680724,-0.45010993,1.6950948,5.410896
android.sensor.accelerometer,1523723430186,756374559672911,-0.6512229,1.1492168,6.445191
android.sensor.accelerometer,1523723430206,756374579694786,-1.0630256,0.6703765,9.299079
android.sensor.accelerometer,1523723430227,756374599686974,-1.5610195,0.2873042,11.18571
android.sensor.accelerometer,1523723430247,756374619676036,-0.60333884,0.8714894,10.5919485
android.sensor.accelerometer,1523723430267,756374639668224,0.32561144,0.22984336,10.065224
android.sensor.accelerometer,1523723430288,756374659690099,-1.2258313,-0.08619126,12.172121
android.sensor.accelerometer,1523723430308,756374679680724,-2.1260512,0.23942018,13.263878
android.sensor.accelerometer,1523723430328,756374699672911,-0.038307227,-0.47884035,12.430696
android.sensor.accelerometer,1523723430348,756374719694786,0.009576807,-1.5705963,13.627796
android.sensor.accelerometer,1523723430368,756374739685411,-1.541866,-2.3654714,14.757859
android.sensor.accelerometer,1523723430388,756374759676036,-1.4556746,-2.1164744,14.30775
android.sensor.accelerometer,1523723430408,756374779668224,-0.5554548,-2.6719291,15.102624
android.sensor.accelerometer,1523723430428,756374799688536,-1.13964,-3.064578,17.324444
android.sensor.accelerometer,1523723430448,756374819679161,-3.5913026,-2.5187001,17.650055
android.sensor.accelerometer,1523723430468,756374839671349,-5.803545,-1.934515,15.71554
android.sensor.accelerometer,1523723430488,756374859693224,-6.1004257,-1.9632454,16.098612
android.sensor.accelerometer,1523723430508,756374879685411,-3.964798,-4.1180267,19.057846
android.sensor.accelerometer,1523723430528,756374899674474,-4.711789,-3.7828386,17.448942
android.sensor.accelerometer,1523723430548,756374919666661,-6.933608,-3.0071173,14.5759
android.sensor.accelerometer,1523723430568,756374939688536,-7.4124484,-2.5953147,12.670115
android.sensor.accelerometer,1523723430588,756374959679161,-5.8226986,-2.336741,12.047623
android.sensor.accelerometer,1523723430608,756374979669786,-7.5944076,-1.1300632,12.133814
android.sensor.accelerometer,1523723430628,756374999693224,-9.643845,-0.46926352,10.831368
android.sensor.accelerometer,1523723430648,756375019683849,-9.404425,-1.1492168,10.362105
android.sensor.accelerometer,1523723430668,756375039674474,-6.6271505,-2.5953147,8.504205
android.sensor.accelerometer,1523723430688,756375059696349,-7.086837,-2.566584,9.069236
android.sensor.accelerometer,1523723430708,756375079688536,-7.5561004,-3.0933087,7.747637
android.sensor.accelerometer,1523723430728,756375099677599,-7.383718,-3.916914,5.2959743
android.sensor.accelerometer,1523723430748,756375119669786,-9.768343,-2.6623523,4.405331
android.sensor.accelerometer,1523723430767,756375139691661,-10.237606,-2.585738,4.3382936
android.sensor.accelerometer,1523723430787,756375159682286,-8.599973,-3.8594532,3.1603463
android.sensor.accelerometer,1523723430806,756375179672911,-8.542512,-4.4915223,0.48841715
android.sensor.accelerometer,1523723430826,756375199696349,-10.94629,-2.7006595,-1.8100165
android.sensor.accelerometer,1523723430846,756375219686974,-10.5440645,-1.9057846,-2.7389667
android.sensor.accelerometer,1523723430866,756375239677599,-9.749189,-2.3175871,-2.1164744
android.sensor.accelerometer,1523723430886,756375259668224,-11.243171,-1.3790601,-2.882619
android.sensor.accelerometer,1523723430906,756375279690099,-12.373235,-0.2873042,-3.620033
android.sensor.accelerometer,1523723430926,756375299682286,-11.128249,-1.043872,-2.6431987
android.sensor.accelerometer,1523723430946,756375319672911,-10.91756,-1.1204864,-1.7812861
android.sensor.accelerometer,1523723430966,756375339694786,-11.415554,-1.436521,-2.2984335
android.sensor.accelerometer,1523723430986,756375359685411,-13.129802,-0.7469909,-2.4708161
android.sensor.accelerometer,1523723431006,756375379676036,-13.455414,-1.0342951,-1.8579005
android.sensor.accelerometer,1523723431026,756375399668224,-13.685257,-1.5897499,-0.94810385
android.sensor.accelerometer,1523723431046,756375419690099,-13.819332,-1.9728222,-0.038307227
android.sensor.accelerometer,1523723431066,756375439680724,-13.541605,-2.384625,-0.6895301
android.sensor.accelerometer,1523723431086,756375459671349,-12.957419,-3.323152,-1.292869
android.sensor.accelerometer,1523723431106,756375479694786,-12.363658,-4.596867,-1.7429788
android.sensor.accelerometer,1523723431126,756375499685411,-13.445837,-4.2425256,-1.7621324
android.sensor.accelerometer,1523723431146,756375519676036,-13.455414,-5.0182467,-0.7086837
android.sensor.accelerometer,1523723431166,756375539666661,-13.397953,-5.2480903,-0.6512229
android.sensor.accelerometer,1523723431186,756375559688536,-14.451402,-4.3861775,-1.4748282
android.sensor.accelerometer,1523723431206,756375579679161,-14.939818,-3.7349546,-2.8634653
android.sensor.accelerometer,1523723431226,756375599671349,-14.15452,-5.2959743,-2.0015526
android.sensor.accelerometer,1523723431246,756375619693224,-14.010868,-6.339846,1.4748282
android.sensor.accelerometer,1523723431266,756375639683849,-13.790602,-6.0238113,2.9592333
android.sensor.accelerometer,1523723431286,756375659674474,-12.77546,-5.3821654,2.1068976
android.sensor.accelerometer,1523723431306,756375679697911,-13.694834,-3.2273839,0.11492168
android.sensor.accelerometer,1523723431326,756375699688536,-13.321339,-3.3518825,-0.641646
android.sensor.accelerometer,1523723431346,756375719679161,-11.865664,-5.142745,2.336741
android.sensor.accelerometer,1523723431366,756375739669786,-12.497733,-4.175488,4.8841715
android.sensor.accelerometer,1523723431386,756375759691661,-13.876793,-2.681506,5.4779334
android.sensor.accelerometer,1523723431406,756375779682286,-15.418659,-0.7374141,5.2002063
android.sensor.accelerometer,1523723431426,756375799672911,-14.288596,-2.1643584,5.841852
android.sensor.accelerometer,1523723431446,756375819696349,-13.359646,-3.7924154,9.797073
android.sensor.accelerometer,1523723431466,756375839686974,-12.976573,-3.6583402,12.200851
android.sensor.accelerometer,1523723431486,756375859677599,-12.239159,-3.1411927,11.358093
android.sensor.accelerometer,1523723431506,756375879669786,-10.821792,-1.4077905,8.015787
android.sensor.accelerometer,1523723431526,756375899690099,-8.762778,-0.46926352,6.2249246
android.sensor.accelerometer,1523723431546,756375919682286,-7.029376,-0.21068975,5.7748146
android.sensor.accelerometer,1523723431566,756375939672911,-4.405331,0.7374141,6.6271505
android.sensor.accelerometer,1523723431586,756375959694786,-2.3175871,1.3982137,7.1347213
android.sensor.accelerometer,1523723431606,756375979685411,-2.4420857,3.064578,6.5984197
android.sensor.accelerometer,1523723431626,756375999676036,-1.934515,4.606444,7.1347213
android.sensor.accelerometer,1523723431646,756376019666661,-1.1013328,5.48751,7.699753
android.sensor.accelerometer,1523723431666,756376039690099,-0.5267244,5.755661,6.205771
android.sensor.accelerometer,1523723431686,756376059680724,0.076614454,5.813122,5.439626
android.sensor.accelerometer,1523723431706,756376079672911,-0.019153614,5.985504,6.9719152
android.sensor.accelerometer,1523723431726,756376099694786,-0.48841715,6.167464,7.3071036
android.sensor.accelerometer,1523723431746,756376119685411,0.15322891,6.0142345,4.8458643
android.sensor.accelerometer,1523723431766,756376139676036,0.10534488,6.0142345,3.6296098
android.sensor.accelerometer,1523723431786,756376159666661,-1.2449849,6.8282633,4.1276035
android.sensor.accelerometer,1523723431806,756376179688536,-1.2066777,6.301539,6.1387334
android.sensor.accelerometer,1523723431826,756376199679161,-1.292869,5.90889,7.335834
android.sensor.accelerometer,1523723431846,756376219669786,-1.8100165,6.14831,6.3781533
android.sensor.accelerometer,1523723431866,756376239693224,-1.6089035,6.6079965,4.6830587
android.sensor.accelerometer,1523723431886,756376259683849,-0.6703765,6.5505357,4.414908
android.sensor.accelerometer,1523723431906,756376279674474,-1.1204864,7.0006456,4.462792
android.sensor.accelerometer,1523723431927,756376299696349,-2.4899697,7.479486,5.717354
android.sensor.accelerometer,1523723431946,756376319688536,-1.3311762,6.8665705,5.659893
