Sensor, CurrentTimeMs, SensorTimestampNano, X, Y, Z
android.sensor.gyroscope,1523723458151,756402519686974,-0.0038048178,0.10389945,0.0046251225
android.sensor.gyroscope,1523723458167,756402539677599,-0.007347836,0.11698942,0.01144936
android.sensor.gyroscope,1523723458187,756402559669786,-0.013892821,0.12733923,0.023177972
android.sensor.gyroscope,1523723458207,756402579691661,-0.012531464,0.11398745,0.027262043
android.sensor.gyroscope,1523723458227,756402599682286,-0.0010821042,0.09843657,0.03408628
android.sensor.gyroscope,1523723458247,756402619672911,-0.0035430184,0.08126253,0.03244567
android.sensor.gyroscope,1523723458267,756402639694786,-0.0070860367,0.07089528,0.031625368
android.sensor.gyroscope,1523723458287,756402659686974,-0.01144936,0.06789331,0.036529742
android.sensor.gyroscope,1523723458307,756402679676036,-0.0155334305,0.07253588,0.046355944
android.sensor.gyroscope,1523723458327,756402699668224,-0.018256145,0.07771951,0.053162728
android.sensor.gyroscope,1523723458347,756402719690099,-0.01144936,0.041992623,0.03544764
android.sensor.gyroscope,1523723458367,756402739680724,-0.01144936,0.023177972,0.049898963
android.sensor.gyroscope,1523723458387,756402759671349,-0.009267698,-0.014451326,0.035709437
android.sensor.gyroscope,1523723458407,756402779694786,0.0,0.0,0.0
android.sensor.gyroscope,1523723458427,756402799685411,-0.015812684,-0.024260076,0.02698279
android.sensor.gyroscope,1523723458447,756402819676036,-0.035709437,-0.032986723,0.048258353
android.sensor.gyroscope,1523723458467,756402839666661,-0.047438048,-0.005986479,0.04907866
android.sensor.gyroscope,1523723458487,756402859688536,-0.07361799,0.027803095,0.07826056
android.sensor.gyroscope,1523723458507,756402879679161,-0.10089748,0.07171558,0.118350774
android.sensor.gyroscope,1523723458527,756402899669786,-0.10471976,0.06244788,0.15870279
android.sensor.gyroscope,1523723458547,756402919693224,-0.10934488,0.032986723,0.20125392
android.sensor.gyroscope,1523723458567,756402939683849,-0.07798131,-0.07661995,0.17261307
android.sensor.gyroscope,1523723458587,756402959674474,-0.020717058,-0.24678956,0.08862782
android.sensor.gyroscope,1523723458607,756402979697911,0.225514,-1.0466391,-0.21406463
android.sensor.gyroscope,1523723458627,756402999688536,0.25007078,-0.992656,-0.367322
