Sensor, CurrentTimeMs, SensorTimestampNano, X, Y, Z
android.sensor.accelerometer,1523723392207,756336579669786,-2.3463178,6.5122285,7.393295
android.sensor.accelerometer,1523723392226,756336599693224,-2.2505496,6.5218053,7.2113357
android.sensor.accelerometer,1523723392246,756336619683849,-2.2122424,6.5122285,7.201759
android.sensor.accelerometer,1523723392266,756336639674474,-2.1739352,6.4164605,7.2304893
android.sensor.accelerometer,1523723392286,756336659696349,-2.231396,6.3685765,7.2304893
android.sensor.accelerometer,1523723392306,756336679686974,-2.183512,6.435614,7.28795
android.sensor.accelerometer,1523723392327,756336699677599,-1.9057846,6.4164605,7.4124484
android.sensor.accelerometer,1523723392347,756336719669786,-1.8962077,6.4068837,7.3645644
android.sensor.accelerometer,1523723392367,756336739691661,-2.0590134,6.2823853,7.0485296
android.sensor.accelerometer,1523723392386,756336759682286,-2.1547816,6.339846,7.28795
android.sensor.accelerometer,1523723392406,756336779672911,-2.087744,6.253655,7.2304893
android.sensor.accelerometer,1523723392426,756336799694786,-2.0685902,6.3111157,7.038953
android.sensor.accelerometer,1523723392447,756336819686974,-1.982399,6.4068837,6.933608
android.sensor.accelerometer,1523723392466,756336839677599,-2.030283,6.5601125,6.991069
android.sensor.accelerometer,1523723392486,756336859668224,-2.4420857,6.5601125,7.0964136
android.sensor.accelerometer,1523723392506,756336879690099,-2.528277,6.5026517,7.2209125
android.sensor.accelerometer,1523723392527,756336899680724,-2.183512,6.4260373,7.2592196
android.sensor.accelerometer,1523723392546,756336919672911,-2.0111294,6.349423,7.1826053
android.sensor.accelerometer,1523723392567,756336939694786,-1.9728222,6.339846,7.0102224
android.sensor.accelerometer,1523723392586,756336959685411,-1.934515,6.4164605,7.038953
android.sensor.accelerometer,1523723392606,756336979676036,-2.1739352,6.5505357,7.28795
android.sensor.accelerometer,1523723392626,756336999668224,-2.1739352,6.5218053,7.086837
android.sensor.accelerometer,1523723392646,756337019688536,-1.8962077,6.4068837,6.83784
android.sensor.accelerometer,1523723392666,756337039680724,-1.283292,6.4643445,6.9144545
android.sensor.accelerometer,1523723392687,756337059671349,-0.6703765,6.655881,7.1826053
android.sensor.accelerometer,1523723392706,756337079693224,0.19153613,6.6654577,7.5944076
android.sensor.accelerometer,1523723392726,756337099683849,1.5897499,5.544971,9.270349
android.sensor.accelerometer,1523723392746,756337119676036,3.1890767,4.175488,9.998186
android.sensor.accelerometer,1523723392766,756337139666661,5.257667,1.4939818,13.311762
android.sensor.accelerometer,1523723392786,756337159688536,7.067683,-1.9153614,17.30529
android.sensor.accelerometer,1523723392807,756337179679161,10.208876,-5.45878,20.657173
android.sensor.accelerometer,1523723392826,756337199669786,12.344504,-8.456321,22.256498
