Sensor, CurrentTimeMs, SensorTimestampNano, X, Y, Z
android.sensor.gyroscope,1523723379727,756324099671349,-0.030264009,-0.0051661744,0.02480113
android.sensor.gyroscope,1523723379747,756324119693224,-0.0283616,0.007906342,0.026441738
android.sensor.gyroscope,1523723379767,756324139683849,-0.0286234,0.0070860367,0.026441738
android.sensor.gyroscope,1523723379787,756324159674474,-0.02698279,0.04553564,0.04335398
android.sensor.gyroscope,1523723379807,756324179696349,-0.00572468,0.057526052,0.036529742
android.sensor.gyroscope,1523723379827,756324199688536,-0.0035430184,0.032986723,0.021537364
android.sensor.gyroscope,1523723379847,756324219679161,-0.0054454273,0.046617743,0.031084314
android.sensor.gyroscope,1523723379867,756324239669786,-0.0049043754,0.059166662,0.033807028
android.sensor.gyroscope,1523723379887,756324259693224,-0.00408407,0.06298893,0.02617994
android.sensor.gyroscope,1523723379907,756324279683849,-0.0046251225,0.08126253,0.03190462
android.sensor.gyroscope,1523723379927,756324299674474,-0.006265732,0.09761626,0.03598869
android.sensor.gyroscope,1523723379947,756324319696349,-0.012269665,0.089448124,0.032724924
android.sensor.gyroscope,1523723379967,756324339686974,-0.018535396,0.09653416,0.034627333
android.sensor.gyroscope,1523723379987,756324359677599,-0.033265974,0.09053023,0.03981096
android.sensor.gyroscope,1523723380007,756324379669786,-0.040893063,0.07934267,0.034906585
android.sensor.gyroscope,1523723380027,756324399691661,-0.046355944,0.07716101,0.033265974
android.sensor.gyroscope,1523723380047,756324419682286,-0.049619712,0.08180358,0.04117232
android.sensor.gyroscope,1523723380067,756324439672911,-0.05071927,0.09053023,0.055902895
android.sensor.gyroscope,1523723380087,756324459694786,-0.046896998,0.119991384,0.069533914
android.sensor.gyroscope,1523723380107,756324479685411,-0.045814894,0.12897983,0.0861669
android.sensor.gyroscope,1523723380127,756324499676036,-0.031625368,0.1693493,0.12189379
android.sensor.gyroscope,1523723380147,756324519668224,-0.014992379,0.23942427,0.1870644
android.sensor.gyroscope,1523723380167,756324539690099,0.019634955,0.3504272,0.3294309
android.sensor.gyroscope,1523723380187,756324559680724,0.141808,0.69703215,0.6607642
android.sensor.gyroscope,1523723380207,756324579671349,0.1437104,0.8189259,0.9435599
android.sensor.gyroscope,1523723380227,756324599694786,0.002984513,0.62776005,1.1521791
android.sensor.gyroscope,1523723380247,756324619685411,-0.28441885,0.05508259,1.2549964
android.sensor.gyroscope,1523723380267,756324639676036,-0.85819584,-1.590152,0.90647167
android.sensor.gyroscope,1523723380287,756324659666661,-2.5579894,-7.294656,-1.7202314
android.sensor.gyroscope,1523723380307,756324679688536,-3.2738538,-8.569567,-2.877053
android.sensor.gyroscope,1523723380327,756324699679161,-3.568919,-7.945053,-3.0633147
android.sensor.gyroscope,1523723380347,756324719671349,-3.7385476,-7.045388,-3.004689
android.sensor.gyroscope,1523723380367,756324739693224,-3.594558,-5.7803035,-2.6695335
android.sensor.gyroscope,1523723380387,756324759683849,-3.1688547,-4.3655047,-2.183023
android.sensor.gyroscope,1523723380407,756324779676036,-2.6398106,-3.0840492,-1.6787798
android.sensor.gyroscope,1523723380427,756324799666661,-2.1148329,-2.0144765,-1.2424475
android.sensor.gyroscope,1523723380447,756324819688536,-1.6076053,-0.84212136,-0.8031133
android.sensor.gyroscope,1523723380467,756324839679161,-1.2585394,0.31578243,-0.48841295
android.sensor.gyroscope,1523723380487,756324859669786,-1.0439163,1.2912644,-0.32696998
android.sensor.gyroscope,1523723380507,756324879691661,-0.9242042,2.0769417,-0.27815312
android.sensor.gyroscope,1523723380527,756324899683849,-0.8808328,2.6659904,-0.3177023
android.sensor.gyroscope,1523723380547,756324919674474,-0.9203819,3.0540469,-0.44368014
android.sensor.gyroscope,1523723380567,756324939696349,-0.9937381,3.2274804,-0.60349995
android.sensor.gyroscope,1523723380587,756324959686974,-1.0889109,3.3793938,-0.7943866
android.sensor.gyroscope,1523723380607,756324979677599,-1.184363,3.5323718,-0.99646086
android.sensor.gyroscope,1523723380627,756324999669786,-1.2579985,3.6460974,-1.1854451
android.sensor.gyroscope,1523723380647,756325019693224,-1.329714,3.6932738,-1.3809918
android.sensor.gyroscope,1523723380667,756325039682286,-1.3659819,3.700639,-1.5266045
android.sensor.gyroscope,1523723380687,756325059672911,-1.352351,3.7396297,-1.61333
android.sensor.gyroscope,1523723380707,756325079696349,-1.2942663,3.7739952,-1.6206952
android.sensor.gyroscope,1523723380727,756325099686974,-1.2195488,3.7704523,-1.5705171
android.sensor.gyroscope,1523723380747,756325119676036,-1.1685503,3.6698165,-1.5132529
android.sensor.gyroscope,1523723380767,756325139668224,-1.1434524,3.532913,-1.4668794
android.sensor.gyroscope,1523723380787,756325159691661,-1.1560013,3.2648478,-1.4188828
android.sensor.gyroscope,1523723380807,756325179680724,-1.1933689,2.9105983,-1.3515306
android.sensor.gyroscope,1523723380827,756325199671349,-1.2405452,2.5350907,-1.2585394
android.sensor.gyroscope,1523723380847,756325219694786,-1.3158038,2.1963747,-1.1821814
android.sensor.gyroscope,1523723380867,756325239685411,-1.4112557,1.8443068,-1.1729137
android.sensor.gyroscope,1523723380887,756325259676036,-1.5045261,1.4112557,-1.21817
android.sensor.gyroscope,1523723380907,756325279666661,-1.5686146,0.8821941,-1.3054365
android.sensor.gyroscope,1523723380927,756325299690099,-1.5879704,0.32506758,-1.4502465
android.sensor.gyroscope,1523723380947,756325319680724,-1.5560658,-0.17779669,-1.6539613
android.sensor.gyroscope,1523723380967,756325339671349,-1.4698814,-0.6441312,-1.8977664
android.sensor.gyroscope,1523723380987,756325359693224,-1.3299932,-1.052102,-2.1813824
android.sensor.gyroscope,1523723381007,756325379685411,-1.1273605,-1.405793,-2.4699028
