Sensor, CurrentTimeMs, SensorTimestampNano, X, Y, Z
android.sensor.accelerometer,1523723539831,756484199693224,0.30645782,8.762778,4.7405195
android.sensor.accelerometer,1523723539847,756484219683849,0.5363012,8.6574335,4.596867
android.sensor.accelerometer,1523723539866,756484239676036,0.7086837,8.628703,4.462792
android.sensor.accelerometer,1523723539886,756484259666661,0.7565677,8.571242,4.4915223
android.sensor.accelerometer,1523723539906,756484279688536,0.6607997,8.504205,4.606444
android.sensor.accelerometer,1523723539927,756484299679161,0.46926352,8.504205,4.9320555
android.sensor.accelerometer,1523723539946,756484319671349,0.5746084,8.63828,4.654328
android.sensor.accelerometer,1523723539966,756484339693224,0.5267244,8.7532015,4.4436383
android.sensor.accelerometer,1523723539986,756484359683849,0.50757074,8.695741,4.462792
android.sensor.accelerometer,1523723540006,756484379674474,0.63206923,8.580819,4.6255975
android.sensor.accelerometer,1523723540026,756484399696349,0.7182605,8.523358,4.807557
android.sensor.accelerometer,1523723540047,756484419688536,0.82360536,8.571242,4.55856
android.sensor.accelerometer,1523723540066,756484439679161,0.5267244,8.724471,4.501099
android.sensor.accelerometer,1523723540086,756484459669786,0.2873042,8.7532015,4.663905
android.sensor.accelerometer,1523723540106,756484479691661,0.40222588,8.66701,4.663905
android.sensor.accelerometer,1523723540126,756484499683849,0.48841715,8.6574335,4.654328
android.sensor.accelerometer,1523723540146,756484519674474,0.7086837,8.523358,4.501099
android.sensor.accelerometer,1523723540167,756484539696349,0.7374141,8.465898,4.510676
android.sensor.accelerometer,1523723540186,756484559686974,0.61291564,8.465898,4.5394063
android.sensor.accelerometer,1523723540206,756484579677599,0.58418524,8.408437,4.4915223
android.sensor.accelerometer,1523723540226,756484599668224,0.7086837,8.264784,4.271256
android.sensor.accelerometer,1523723540246,756484619690099,0.78529817,8.015787,4.1659107
android.sensor.accelerometer,1523723540266,756484639682286,0.9768343,7.642292,4.0892963
android.sensor.accelerometer,1523723540286,756484659672911,1.2737153,7.2113357,3.5625722
android.sensor.accelerometer,1523723540306,756484679694786,1.484405,6.6367273,3.4955344
android.sensor.accelerometer,1523723540326,756484699686974,2.030283,6.0238113,3.371036
android.sensor.accelerometer,1523723540346,756484719677599,2.528277,6.0525417,2.6048915
android.sensor.accelerometer,1523723540366,756484739668224,1.7717092,8.293514,1.8291701
android.sensor.accelerometer,1523723540386,756484759690099,1.6472107,12.6222315,2.8060043
android.sensor.accelerometer,1523723540407,756484779680724,4.462792,17.314867,3.8881836
android.sensor.accelerometer,1523723540426,756484799671349,4.0797195,23.539791,8.944737
android.sensor.accelerometer,1523723540446,756484819694786,0.1436521,29.199684,16.203957
android.sensor.accelerometer,1523723540466,756484839685411,-4.3766007,30.837318,21.001938
android.sensor.accelerometer,1523723540486,756484859676036,-7.431602,29.190107,24.181437
android.sensor.accelerometer,1523723540506,756484879666661,-5.1810527,24.372972,19.670761
android.sensor.accelerometer,1523723540527,756484899688536,-2.9113493,19.929335,13.081918
android.sensor.accelerometer,1523723540546,756484919680724,-1.0630256,16.22311,7.4124484
