Sensor, CurrentTimeMs, SensorTimestampNano, X, Y, Z
android.sensor.gyroscope,1523723539831,756484199693224,0.0,0.0,0.0
android.sensor.gyroscope,1523723539847,756484219683849,0.0,0.0,0.0
android.sensor.gyroscope,1523723539867,756484239676036,0.0,0.0,0.0
android.sensor.gyroscope,1523723539887,756484259666661,0.023177972,-0.031625368,-0.0046251225
android.sensor.gyroscope,1523723539907,756484279688536,0.031084314,-0.059166662,-0.014713125
android.sensor.gyroscope,1523723539927,756484299679161,0.025621433,-0.048537605,-0.011711159
android.sensor.gyroscope,1523723539947,756484319671349,0.01881465,-0.033807028,-0.007906342
android.sensor.gyroscope,1523723539967,756484339693224,0.0,0.0,0.0
android.sensor.gyroscope,1523723539987,756484359683849,0.0,0.0,0.0
android.sensor.gyroscope,1523723540007,756484379674474,0.0,0.0,0.0
android.sensor.gyroscope,1523723540027,756484399696349,0.024260076,-0.02698279,-0.015812684
android.sensor.gyroscope,1523723540047,756484419688536,0.0,0.0,0.0
android.sensor.gyroscope,1523723540067,756484439679161,0.02125811,-0.028902652,-0.016894788
android.sensor.gyroscope,1523723540087,756484459669786,0.021537364,-0.0286234,-0.016894788
android.sensor.gyroscope,1523723540107,756484479691661,0.017994344,-0.030543262,-0.017453292
android.sensor.gyroscope,1523723540127,756484499683849,0.02453933,-0.04363323,-0.025900686
android.sensor.gyroscope,1523723540147,756484519674474,0.030543262,-0.05290093,-0.031084314
android.sensor.gyroscope,1523723540167,756484539696349,0.0,0.0,0.0
android.sensor.gyroscope,1523723540187,756484559686974,0.0,0.0,0.0
android.sensor.gyroscope,1523723540207,756484579677599,0.0,0.0,0.0
android.sensor.gyroscope,1523723540227,756484599668224,0.0,0.0,0.0
android.sensor.gyroscope,1523723540247,756484619690099,0.0,0.0,0.0
android.sensor.gyroscope,1523723540267,756484639682286,0.0,0.0,0.0
android.sensor.gyroscope,1523723540287,756484659672911,0.0,0.0,0.0
android.sensor.gyroscope,1523723540307,756484679694786,0.0,0.0,0.0
android.sensor.gyroscope,1523723540327,756484699686974,0.038449604,-0.009808751,0.03981096
android.sensor.gyroscope,1523723540347,756484719677599,0.016074482,-0.03626794,0.03981096
android.sensor.gyroscope,1523723540367,756484739668224,0.020996312,-0.04717625,0.07061602
android.sensor.gyroscope,1523723540387,756484759690099,0.06380924,0.033807028,0.1338842
android.sensor.gyroscope,1523723540407,756484779680724,0.13716543,0.17807594,0.24925047
android.sensor.gyroscope,1523723540427,756484799671349,0.36323792,0.63212335,0.59639645
android.sensor.gyroscope,1523723540447,756484819694786,0.32614967,0.5756794,0.52522194
android.sensor.gyroscope,1523723540467,756484839685411,0.20479694,0.38259363,0.30787608
android.sensor.gyroscope,1523723540487,756484859676036,0.032986723,0.1126261,-0.008726646
android.sensor.gyroscope,1523723540507,756484879666661,-0.102538094,-0.10197959,-0.26778588
android.sensor.gyroscope,1523723540527,756484899688536,-0.14725342,-0.19142771,-0.38097048
android.sensor.gyroscope,1523723540547,756484919680724,-0.1412495,-0.21734585,-0.40715042
android.sensor.gyroscope,1523723540567,756484939671349,-0.10197959,-0.16442747,-0.3645993
android.sensor.gyroscope,1523723540587,756484959693224,-0.062168628,-0.19497073,-0.3615973
android.sensor.gyroscope,1523723540607,756484979683849,-0.038449604,-0.37524578,-0.4532271
android.sensor.gyroscope,1523723540627,756484999674474,-0.03408628,-0.7144854,-0.63622487
android.sensor.gyroscope,1523723540647,756485019697911,-0.047438048,-1.1069052,-0.8426624
android.sensor.gyroscope,1523723540667,756485039688536,-0.0662527,-1.428709,-0.999201
android.sensor.gyroscope,1523723540687,756485059679161,-0.16170475,-1.7537767,-1.1753571
android.sensor.gyroscope,1523723540707,756485079669786,-0.20725785,-1.9062136,-1.2626235
android.sensor.gyroscope,1523723540727,756485099693224,-0.19006635,-1.8781314,-1.2920847
android.sensor.gyroscope,1523723540747,756485119683849,-0.15598008,-1.7807769,-1.3103583
android.sensor.gyroscope,1523723540767,756485139674474,-0.14915584,-1.7164091,-1.3411634
android.sensor.gyroscope,1523723540787,756485159696349,-0.15734144,-1.6457757,-1.366523
android.sensor.gyroscope,1523723540807,756485179686974,-0.16852899,-1.5197978,-1.3719859
android.sensor.gyroscope,1523723540827,756485199677599,-0.18325958,-1.4188828,-1.3313546
android.sensor.gyroscope,1523723540847,756485219669786,-0.20289452,-1.3823531,-1.2397249
android.sensor.gyroscope,1523723540867,756485239691661,-0.19552924,-1.3627182,-1.1047236
android.sensor.gyroscope,1523723540887,756485259682286,-0.19170697,-1.2555375,-1.0054667
android.sensor.gyroscope,1523723540907,756485279672911,-0.20151572,-1.0916337,-0.97246253
android.sensor.gyroscope,1523723540927,756485299694786,-0.22142991,-0.9424778,-0.9640151
android.sensor.gyroscope,1523723540947,756485319686974,-0.09489355,-0.81730276,-0.89802426
android.sensor.gyroscope,1523723540967,756485339677599,0.5006826,-0.6834011,-0.5685934
android.sensor.gyroscope,1523723540987,756485359668224,1.9847535,0.058904864,0.019355701
android.sensor.gyroscope,1523723541007,756485379690099,4.1555066,3.423568,-0.0850848
android.sensor.gyroscope,1523723541027,756485399680724,5.4882402,6.4691677,-2.5645344
android.sensor.gyroscope,1523723541047,756485419671349,6.2687163,6.4697084,-4.4764905
android.sensor.gyroscope,1523723541067,756485439694786,6.6837907,6.1121955,-5.0279098
android.sensor.gyroscope,1523723541087,756485459685411,6.6979628,5.8310227,-4.9354596
android.sensor.gyroscope,1523723541107,756485479676036,6.4350815,5.3878837,-4.6521053
android.sensor.gyroscope,1523723541127,756485499666661,5.78903,4.8198314,-4.1315084
android.sensor.gyroscope,1523723541147,756485519688536,5.002812,4.367128,-3.5520067
android.sensor.gyroscope,1523723541167,756485539679161,3.7824426,4.1541452,-2.7295203
android.sensor.gyroscope,1523723541187,756485559671349,2.8874204,4.050787,-2.1617475
android.sensor.gyroscope,1523723541207,756485579693224,2.0060291,3.9147036,-1.5917926
android.sensor.gyroscope,1523723541227,756485599685411,1.1459134,3.6651914,-0.94792324
android.sensor.gyroscope,1523723541247,756485619674474,0.40987313,3.2138493,-0.24570745
android.sensor.gyroscope,1523723541267,756485639666661,-0.19278906,2.7366064,0.37932986
android.sensor.gyroscope,1523723541287,756485659688536,-0.7502123,2.1726556,1.0477386
android.sensor.gyroscope,1523723541307,756485679679161,-1.3468881,1.0564653,2.1186552
android.sensor.gyroscope,1523723541327,756485699669786,-1.9094949,-0.7562162,3.3995697
android.sensor.gyroscope,1523723541347,756485719693224,-2.3111825,-2.313364,3.9218073
android.sensor.gyroscope,1523723541367,756485739683849,-2.5868921,-3.0911353,3.8874416
android.sensor.gyroscope,1523723541387,756485759674474,-2.8271542,-3.5893743,3.4985647
android.sensor.gyroscope,1523723541407,756485779696349,-2.9828725,-3.8018157,3.0150564
android.sensor.gyroscope,1523723541427,756485799686974,-3.0824084,-3.8397243,2.5765424
android.sensor.gyroscope,1523723541447,756485819677599,-3.1331277,-3.734446,2.2383847
android.sensor.gyroscope,1523723541467,756485839668224,-3.1481376,-3.5811887,2.0243027
android.sensor.gyroscope,1523723541487,756485859691661,-3.1053073,-3.3952065,1.8841352
android.sensor.gyroscope,1523723541507,756485879682286,-3.0164177,-3.0728617,1.6796001
android.sensor.gyroscope,1523723541527,756485899672911,-2.862881,-2.6144333,1.461434
android.sensor.gyroscope,1523723541547,756485919694786,-2.7297997,-2.1601067,1.234262
android.sensor.gyroscope,1523723541567,756485939686974,-2.6278026,-1.7256943,1.012291
android.sensor.gyroscope,1523723541587,756485959677599,-2.4960825,-1.2689067,0.85819584
android.sensor.gyroscope,1523723541607,756485979668224,-2.3351808,-0.8303928,0.79112285
android.sensor.gyroscope,1523723541627,756485999690099,-2.2064626,-0.42078143,0.7425678
android.sensor.gyroscope,1523723541647,756486019682286,-2.1759195,-0.1502554,0.6389476
android.sensor.gyroscope,1523723541667,756486039671349,-2.141833,0.14807373,0.54459506
android.sensor.gyroscope,1523723541687,756486059694786,-2.0872917,0.36295867,0.5224992
android.sensor.gyroscope,1523723541707,756486079685411,-2.0573068,0.40605086,0.5170538
android.sensor.gyroscope,1523723541727,756486099676036,-2.0641136,0.32260665,0.48623127
android.sensor.gyroscope,1523723541747,756486119666661,-2.0188398,0.33215362,0.4712389
android.sensor.gyroscope,1523723541767,756486139690099,-1.8794928,0.56531215,0.5339486
android.sensor.gyroscope,1523723541787,756486159680724,-1.7199521,0.80285144,0.611127
android.sensor.gyroscope,1523723541807,756486179671349,-1.5757006,0.8391194,0.67657685
android.sensor.gyroscope,1523723541827,756486199693224,-1.4437014,0.8827526,0.70603806
android.sensor.gyroscope,1523723541847,756486219685411,-1.3528919,0.91738,0.64739496
android.sensor.gyroscope,1523723541867,756486239676036,-1.2288165,1.0084687,0.6561216
android.sensor.gyroscope,1523723541887,756486259666661,-1.0488207,1.2105429,0.77747434
android.sensor.gyroscope,1523723541907,756486279688536,-0.9111142,1.2612622,0.8333947
android.sensor.gyroscope,1523723541928,756486299679161,-0.83801985,1.188447,0.77120864
android.sensor.gyroscope,1523723541947,756486319671349,-0.782658,1.069276,0.6743952
android.sensor.gyroscope,1523723541967,756486339693224,-0.7093018,1.0196388,0.61330867
android.sensor.gyroscope,1523723541987,756486359683849,-0.6422114,0.96129245,0.55850536
android.sensor.gyroscope,1523723542007,756486379674474,-0.59041,0.8571137,0.49686033
android.sensor.gyroscope,1523723542027,756486399696349,-0.5533217,0.7313977,0.42486548
android.sensor.gyroscope,1523723542047,756486419686974,-0.50286424,0.6694909,0.38805652
android.sensor.gyroscope,1523723542068,756486439679161,-0.44395941,0.6512172,0.37686893
android.sensor.gyroscope,1523723542088,756486459669786,-0.37278488,0.6536782,0.3845135
android.sensor.gyroscope,1523723542108,756486479691661,-0.320425,0.6384065,0.38315213
android.sensor.gyroscope,1523723542128,756486499682286,-0.28824112,0.5863085,0.36023596
android.sensor.gyroscope,1523723542148,756486519674474,-0.2645221,0.515675,0.33487633
android.sensor.gyroscope,1523723542168,756486539694786,-0.23670155,0.46523497,0.31906363
android.sensor.gyroscope,1523723542187,756486559686974,-0.20343557,0.43415064,0.3215071
android.sensor.gyroscope,1523723542207,756486579677599,-0.17289232,0.4175002,0.32260665
android.sensor.gyroscope,1523723542227,756486599668224,-0.14861478,0.3956836,0.3021514
android.sensor.gyroscope,1523723542247,756486619691661,-0.1237962,0.38669515,0.27324873
