Sensor, CurrentTimeMs, SensorTimestampNano, X, Y, Z
android.sensor.accelerometer,1523723480707,756425079679161,-0.15322891,8.082825,5.4683566
android.sensor.accelerometer,1523723480727,756425099669786,-0.10534488,8.073248,5.363012
android.sensor.accelerometer,1523723480746,756425119693224,-0.15322891,8.101978,5.353435
android.sensor.accelerometer,1523723480767,756425139683849,-0.16280572,8.111555,5.4204726
android.sensor.accelerometer,1523723480786,756425159674474,-0.17238252,8.054094,5.363012
android.sensor.accelerometer,1523723480806,756425179696349,-0.1340753,8.025364,5.2480903
android.sensor.accelerometer,1523723480826,756425199686974,-0.33518824,8.159439,5.1906295
android.sensor.accelerometer,1523723480846,756425219679161,-0.15322891,8.130709,5.1140146
android.sensor.accelerometer,1523723480866,756425239669786,-0.16280572,8.197746,5.094861
android.sensor.accelerometer,1523723480887,756425259691661,-0.24899697,8.178593,5.2289367
android.sensor.accelerometer,1523723480906,756425279682286,-0.2873042,8.111555,5.363012
android.sensor.accelerometer,1523723480926,756425299672911,-0.40222588,8.159439,5.5737014
android.sensor.accelerometer,1523723480946,756425319696349,-0.24899697,8.025364,5.7365074
android.sensor.accelerometer,1523723480966,756425339686974,-0.22026655,8.130709,5.6790466
android.sensor.accelerometer,1523723480986,756425359677599,-0.21068975,8.197746,5.554548
android.sensor.accelerometer,1523723481007,756425379668224,-0.18195933,8.2169,5.439626
android.sensor.accelerometer,1523723481026,756425399691661,-0.21068975,8.130709,5.48751
android.sensor.accelerometer,1523723481046,756425419680724,-0.16280572,8.1402855,5.45878
android.sensor.accelerometer,1523723481066,756425439672911,-0.11492168,8.121132,5.2863975
android.sensor.accelerometer,1523723481086,756425459694786,-0.30645782,8.207323,5.315128
android.sensor.accelerometer,1523723481106,756425479685411,-0.16280572,8.130709,5.305551
android.sensor.accelerometer,1523723481127,756425499676036,-0.29688102,8.2169,5.305551
android.sensor.accelerometer,1523723481146,756425519668224,-0.23942018,8.149862,5.5162406
android.sensor.accelerometer,1523723481166,756425539690099,-0.23942018,8.159439,5.6407394
android.sensor.accelerometer,1523723481186,756425559680724,-0.2681506,8.24563,5.650316
android.sensor.accelerometer,1523723481207,756425579671349,-0.46926352,8.42759,5.3821654
android.sensor.accelerometer,1523723481227,756425599693224,-0.49799395,8.66701,5.1906295
android.sensor.accelerometer,1523723481247,756425619685411,-1.388637,9.720459,4.9416323
android.sensor.accelerometer,1523723481266,756425639676036,-2.480393,10.754754,4.271256
android.sensor.accelerometer,1523723481286,756425659666661,-3.7541082,11.712435,1.8004397
android.sensor.accelerometer,1523723481306,756425679688536,-4.175488,12.306197,-0.02873042
android.sensor.accelerometer,1523723481326,756425699679161,-3.7541082,12.334928,-2.5378537
android.sensor.accelerometer,1523723481346,756425719669786,-2.777274,11.559206,-4.7309427
android.sensor.accelerometer,1523723481367,756425739693224,-2.4708161,9.586384,-5.793968
android.sensor.accelerometer,1523723481386,756425759683849,-1.4939818,3.5913026,1.3024458
android.sensor.accelerometer,1523723481406,756425779674474,0.9768343,-5.8801594,25.809494
android.sensor.accelerometer,1523723481426,756425799696349,6.655881,-14.939818,50.80496
android.sensor.accelerometer,1523723481446,756425819686974,15.246277,-19.153614,48.14261
android.sensor.accelerometer,1523723481466,756425839679161,12.947843,-14.346057,19.986795
android.sensor.accelerometer,1523723481487,756425859669786,-0.47884035,-1.340753,0.9672575
android.sensor.accelerometer,1523723481506,756425879691661,-10.275913,11.271901,-17.381905
android.sensor.accelerometer,1523723481526,756425899682286,-20.915747,25.52219,-33.71036
android.sensor.accelerometer,1523723481546,756425919674474,-19.977219,29.142223,-41.26646
android.sensor.accelerometer,1523723481566,756425939696349,-19.057846,26.345795,-41.639957
android.sensor.accelerometer,1523723481586,756425959686974,-16.481684,15.035586,-25.483883
android.sensor.accelerometer,1523723481607,756425979677599,-12.488156,1.7525556,-3.821146
android.sensor.accelerometer,1523723481626,756425999669786,-4.9320555,-12.421119,23.645136
android.sensor.accelerometer,1523723481646,756426019691661,5.449203,-21.193474,45.240837
android.sensor.accelerometer,1523723481666,756426039682286,12.976573,-24.133553,53.007626
android.sensor.accelerometer,1523723481686,756426059672911,17.33402,-22.878992,42.176258
android.sensor.accelerometer,1523723481706,756426079694786,12.095507,-13.445837,17.946936
android.sensor.accelerometer,1523723481727,756426099686974,4.960786,-1.9249382,1.0055647
android.sensor.accelerometer,1523723481746,756426119677599,-11.951855,12.53604,-6.8091097
android.sensor.accelerometer,1523723481766,756426139668224,-18.224663,22.869415,-21.222204
android.sensor.accelerometer,1523723481786,756426159690099,-16.998833,25.723303,-29.84133
android.sensor.accelerometer,1523723481806,756426179680724,-15.20797,23.874979,-32.436646
android.sensor.accelerometer,1523723481826,756426199671349,-13.541605,15.907076,-22.965183
android.sensor.accelerometer,1523723481847,756426219694786,-6.9048777,4.3382936,-1.7908629
android.sensor.accelerometer,1523723481866,756426239685411,-0.23942018,-5.813122,20.9349
android.sensor.accelerometer,1523723481886,756426259676036,6.445191,-12.5264635,41.59207
android.sensor.accelerometer,1523723481907,756426279666661,12.066776,-13.589489,42.003876
android.sensor.accelerometer,1523723481927,756426299688536,10.716447,-8.446744,27.284323
android.sensor.accelerometer,1523723481946,756426319679161,8.820239,-2.8538885,11.262324
android.sensor.accelerometer,1523723481967,756426339671349,1.340753,4.7500963,-0.11492168
android.sensor.accelerometer,1523723481986,756426359693224,-5.995081,12.344504,-8.303091
android.sensor.accelerometer,1523723482006,756426379683849,-9.299079,16.807297,-14.279019
android.sensor.accelerometer,1523723482027,756426399674474,-9.576807,18.368315,-17.362751
