Sensor, CurrentTimeMs, SensorTimestampNano, X, Y, Z
android.sensor.gyroscope,1523723480707,756425079679161,0.030264009,0.0109083075,0.02289872
android.sensor.gyroscope,1523723480727,756425099669786,0.05508259,0.029722957,0.046617743
android.sensor.gyroscope,1523723480747,756425119693224,0.056985,0.040631264,0.052621678
android.sensor.gyroscope,1523723480767,756425139683849,0.053162728,0.045256387,0.05290093
android.sensor.gyroscope,1523723480787,756425159674474,0.061348323,0.05862561,0.07143632
android.sensor.gyroscope,1523723480807,756425179696349,0.046076693,0.033527777,0.053441983
android.sensor.gyroscope,1523723480827,756425199686974,0.04117232,0.017453292,0.051801372
android.sensor.gyroscope,1523723480847,756425219679161,0.05235988,0.015812684,0.07880162
android.sensor.gyroscope,1523723480867,756425239669786,0.043895032,0.020996312,0.072797686
android.sensor.gyroscope,1523723480887,756425259691661,0.04553564,0.022619467,0.08152433
android.sensor.gyroscope,1523723480907,756425279682286,0.047717303,0.017715093,0.08152433
android.sensor.gyroscope,1523723480927,756425299672911,0.04717625,0.017715093,0.08180358
android.sensor.gyroscope,1523723480947,756425319696349,0.037891097,0.014713125,0.06653195
android.sensor.gyroscope,1523723480967,756425339686974,0.032986723,0.012810716,0.05862561
android.sensor.gyroscope,1523723480987,756425359677599,0.032724924,0.012531464,0.058904864
android.sensor.gyroscope,1523723481007,756425379668224,0.0,0.0,0.0
android.sensor.gyroscope,1523723481027,756425399691661,0.0,0.0,0.0
android.sensor.gyroscope,1523723481047,756425419680724,0.029984757,0.00408407,0.025359634
android.sensor.gyroscope,1523723481067,756425439672911,0.0,0.0,0.0
android.sensor.gyroscope,1523723481087,756425459694786,0.0,0.0,0.0
android.sensor.gyroscope,1523723481107,756425479685411,0.0,0.0,0.0
android.sensor.gyroscope,1523723481127,756425499676036,0.027541295,-0.02617994,0.011170107
android.sensor.gyroscope,1523723481147,756425519668224,0.027541295,-0.02617994,0.011170107
android.sensor.gyroscope,1523723481167,756425539690099,0.027541295,-0.027541295,0.006544985
android.sensor.gyroscope,1523723481187,756425559680724,0.03190462,-0.019634955,0.01308997
android.sensor.gyroscope,1523723481207,756425579671349,0.033807028,-0.008988446,0.018535396
android.sensor.gyroscope,1523723481227,756425599693224,0.032986723,5.410521E-4,0.021816615
android.sensor.gyroscope,1523723481247,756425619685411,0.025359634,0.020176006,0.022619467
android.sensor.gyroscope,1523723481267,756425639676036,0.053441983,0.066811204,0.059707712
android.sensor.gyroscope,1523723481287,756425659666661,0.080721475,0.14997615,0.09679596
android.sensor.gyroscope,1523723481307,756425679688536,0.15870279,0.3864159,0.13416345
android.sensor.gyroscope,1523723481327,756425699679161,0.34850734,0.89392275,0.26588345
android.sensor.gyroscope,1523723481347,756425719669786,0.49413761,1.2465316,0.3790506
android.sensor.gyroscope,1523723481367,756425739693224,0.6223146,1.5238819,0.47914523
android.sensor.gyroscope,1523723481387,756425759683849,0.6828601,1.6179726,0.47722536
android.sensor.gyroscope,1523723481407,756425779674474,0.5754002,1.3883396,0.40142572
android.sensor.gyroscope,1523723481427,756425799696349,-0.31388003,-0.5216789,-0.52221996
android.sensor.gyroscope,1523723481447,756425819686974,-1.2492718,-2.5388956,-1.9146786
android.sensor.gyroscope,1523723481467,756425839679161,-1.8835768,-3.5735617,-2.8579767
android.sensor.gyroscope,1523723481487,756425859669786,-1.9986638,-3.555288,-2.9406006
android.sensor.gyroscope,1523723481507,756425879691661,-1.7120458,-2.9422412,-2.450006
android.sensor.gyroscope,1523723481527,756425899682286,-0.9353743,-1.5192393,-1.2465316
android.sensor.gyroscope,1523723481547,756425919674474,0.09925687,0.7859392,0.18434167
android.sensor.gyroscope,1523723481567,756425939696349,1.0005623,2.7903452,0.76930624
android.sensor.gyroscope,1523723481587,756425959686974,1.6141503,3.780261,0.49932125
android.sensor.gyroscope,1523723481607,756425979677599,1.7196903,3.7696319,0.04935791
android.sensor.gyroscope,1523723481627,756425999669786,1.4461623,3.2405703,-0.36596063
android.sensor.gyroscope,1523723481647,756426019691661,0.62912136,1.9825718,-0.73357934
android.sensor.gyroscope,1523723481667,756426039682286,-0.44968408,0.1338842,-1.3673433
android.sensor.gyroscope,1523723481687,756426059672911,-1.4117968,-1.6389688,-2.301653
android.sensor.gyroscope,1523723481707,756426079694786,-1.9836714,-2.451088,-2.9534113
android.sensor.gyroscope,1523723481727,756426099686974,-2.1849253,-2.585269,-3.106948
android.sensor.gyroscope,1523723481747,756426119677599,-2.0469396,-2.1789215,-2.843246
android.sensor.gyroscope,1523723481767,756426139668224,-1.5647924,-1.263182,-2.1852045
android.sensor.gyroscope,1523723481787,756426159690099,-0.9348332,-0.17207201,-1.3919001
android.sensor.gyroscope,1523723481807,756426179680724,-0.26260224,1.1502767,-0.72811645
android.sensor.gyroscope,1523723481827,756426199671349,0.24596925,2.2141073,-0.46195376
android.sensor.gyroscope,1523723481847,756426219694786,0.28169614,2.308198,-0.5830447
android.sensor.gyroscope,1523723481867,756426239685411,-0.01144936,1.7027781,-0.7941248
android.sensor.gyroscope,1523723481887,756426259676036,-0.425424,0.742847,-1.0613697
android.sensor.gyroscope,1523723481907,756426279666661,-0.462233,0.3605152,-0.996199
android.sensor.gyroscope,1523723481927,756426299688536,-0.10197959,0.89338166,-0.5841268
android.sensor.gyroscope,1523723481947,756426319679161,0.30979595,1.5418762,-0.1521578
android.sensor.gyroscope,1523723481967,756426339671349,0.44423866,1.5596088,0.10744247
android.sensor.gyroscope,1523723481987,756426359693224,0.40523055,1.3847966,0.108524576
android.sensor.gyroscope,1523723482007,756426379683849,0.17097245,0.4136954,0.19142771
android.sensor.gyroscope,1523723482027,756426399674474,-0.1693493,-0.7382045,-0.198793
android.sensor.gyroscope,1523723482047,756426419696349,-0.4641354,-1.6907877,-0.70547956
android.sensor.gyroscope,1523723482067,756426439688536,-0.62967986,-2.332999,-1.0670943
android.sensor.gyroscope,1523723482087,756426459679161,-0.5666735,-2.6068063,-1.0471976
android.sensor.gyroscope,1523723482107,756426479669786,-0.303792,-2.6468966,-0.7210304
android.sensor.gyroscope,1523723482128,756426499691661,0.20397663,-1.9116765,0.26506317
android.sensor.gyroscope,1523723482148,756426519682286,0.7264933,-0.18462093,1.7199521
android.sensor.gyroscope,1523723482168,756426539674474,1.1115478,1.840502,2.5211804
android.sensor.gyroscope,1523723482187,756426559696349,1.2675453,2.609529,2.4486272
android.sensor.gyroscope,1523723482207,756426579686974,1.1955506,2.4925396,2.1761987
android.sensor.gyroscope,1523723482227,756426599677599,1.049641,2.1031218,2.0275664
android.sensor.gyroscope,1523723482247,756426619668224,0.7564781,1.2195488,2.025664
android.sensor.gyroscope,1523723482267,756426639691661,0.3498687,-0.30705577,1.5211592
android.sensor.gyroscope,1523723482287,756426659682286,-0.061889376,-2.1753783,0.37386698
android.sensor.gyroscope,1523723482307,756426679672911,-0.4240452,-3.3777533,-0.7968475
android.sensor.gyroscope,1523723482327,756426699694786,-0.5282239,-3.5953782,-1.154099
android.sensor.gyroscope,1523723482347,756426719686974,-0.37686893,-3.1623096,-0.8227482
android.sensor.gyroscope,1523723482367,756426739676036,0.14643313,-1.8102206,0.5426752
android.sensor.gyroscope,1523723482387,756426759668224,0.6599439,0.7131241,2.1541028
android.sensor.gyroscope,1523723482407,756426779690099,1.0084687,2.339544,2.5249853
android.sensor.gyroscope,1523723482427,756426799680724,1.1080048,2.6962545,2.21683
android.sensor.gyroscope,1523723482447,756426819672911,1.0041053,2.4529905,1.8936822
android.sensor.gyroscope,1523723482467,756426839694786,0.8729264,2.1426535,1.7049598
android.sensor.gyroscope,1523723482487,756426859685411,0.45786968,1.042555,1.4617132
android.sensor.gyroscope,1523723482507,756426879676036,0.11562806,-0.05508259,1.0316466
android.sensor.gyroscope,1523723482527,756426899666661,-0.22389084,-1.2784537,0.33405602
android.sensor.gyroscope,1523723482547,756426919688536,-0.49604002,-2.1688335,-0.3498687
android.sensor.gyroscope,1523723482567,756426939679161,-0.58358574,-2.3321962,-0.57185715
android.sensor.gyroscope,1523723482587,756426959671349,-0.515675,-2.001945,-0.4256858
