Sensor, CurrentTimeMs, SensorTimestampNano, X, Y, Z
android.sensor.accelerometer,1523723145586,756089959677599,-0.29688102,7.038953,6.6079965
android.sensor.accelerometer,1523723145606,756089979668224,-0.23942018,7.0485296,6.5218053
android.sensor.accelerometer,1523723145626,756089999691661,-0.38307226,7.1730285,6.5218053
android.sensor.accelerometer,1523723145646,756090019682286,-0.50757074,7.144298,6.83784
android.sensor.accelerometer,1523723145666,756090039672911,-0.2681506,6.981492,6.885724
android.sensor.accelerometer,1523723145687,756090059694786,-0.20111294,6.991069,6.703765
android.sensor.accelerometer,1523723145707,756090079686974,-0.20111294,7.153875,6.4739213
android.sensor.accelerometer,1523723145727,756090099676036,-0.1436521,7.192182,6.397307
android.sensor.accelerometer,1523723145746,756090119668224,-0.22984336,7.201759,6.5218053
android.sensor.accelerometer,1523723145766,756090139690099,-0.22984336,7.144298,6.7324953
android.sensor.accelerometer,1523723145786,756090159680724,-0.22984336,7.0964136,6.83784
android.sensor.accelerometer,1523723145806,756090179671349,-0.16280572,7.0581064,6.703765
android.sensor.accelerometer,1523723145826,756090199694786,-0.37349546,7.153875,6.6175733
android.sensor.accelerometer,1523723145847,756090219685411,-0.34476504,7.1251445,6.5696893
android.sensor.accelerometer,1523723145866,756090239676036,-0.34476504,7.1251445,6.799533
android.sensor.accelerometer,1523723145886,756090259666661,-0.23942018,7.029376,7.0102224
android.sensor.accelerometer,1523723145906,756090279688536,-0.05746084,6.9240313,6.8665705
android.sensor.accelerometer,1523723145926,756090299679161,-0.1436521,6.981492,6.6175733
android.sensor.accelerometer,1523723145946,756090319671349,-0.24899697,7.029376,6.4547677
android.sensor.accelerometer,1523723145967,756090339693224,-0.4309563,7.0581064,6.339846
android.sensor.accelerometer,1523723145986,756090359683849,-0.46926352,7.067683,5.985504
android.sensor.accelerometer,1523723146006,756090379674474,-0.4405331,7.0485296,5.6886234
android.sensor.accelerometer,1523723146027,756090399665099,-0.33518824,6.8282633,5.3821654
android.sensor.accelerometer,1523723146047,756090419688536,-0.40222588,6.703765,5.046977
android.sensor.accelerometer,1523723146067,756090439679161,-0.38307226,6.483498,4.4244847
android.sensor.accelerometer,1523723146088,756090459669786,-0.5363012,6.205771,3.514688
android.sensor.accelerometer,1523723146108,756090479693224,-0.7469909,5.8801594,2.815581
android.sensor.accelerometer,1523723146128,756090499683849,-1.0342951,5.5258174,2.0685902
android.sensor.accelerometer,1523723146148,756090519674474,-1.1779473,5.085284,1.7908629
android.sensor.accelerometer,1523723146168,756090539696349,-0.93852705,4.280833,1.541866
android.sensor.accelerometer,1523723146188,756090559686974,-0.89064306,3.4380736,1.1587936
android.sensor.accelerometer,1523723146208,756090579677599,-1.1875241,2.7868507,0.22984336
android.sensor.accelerometer,1523723146228,756090599669786,-1.0534488,1.8387469,-0.545878
android.sensor.accelerometer,1523723146248,756090619691661,-1.3982137,1.043872,-1.2162545
android.sensor.accelerometer,1523723146268,756090639682286,-1.5705963,-0.05746084,-1.3120226
android.sensor.accelerometer,1523723146288,756090659672911,-1.1779473,-1.4269443,-1.292869
android.sensor.accelerometer,1523723146308,756090679696349,-0.81402856,-2.9496565,-1.7525556
android.sensor.accelerometer,1523723146328,756090699686974,-1.436521,-3.5434184,-2.4229321
android.sensor.accelerometer,1523723146348,756090719677599,-1.8866309,-4.999093,-3.217807
android.sensor.accelerometer,1523723146368,756090739668224,-1.8387469,-7.2783732,-3.9456444
android.sensor.accelerometer,1523723146388,756090759690099,-2.5187001,-10.25676,-4.7500963
android.sensor.accelerometer,1523723146408,756090779680724,-5.659893,-12.5264635,-4.9703627
android.sensor.accelerometer,1523723146426,756090799672911,-7.1347213,-19.077,-5.3725886
android.sensor.accelerometer,1523723146448,756090819694786,-8.695741,-25.847801,-5.056554
android.sensor.accelerometer,1523723146468,756090839685411,-13.397953,-31.16293,-4.4436383
