Sensor, CurrentTimeMs, SensorTimestampNano, X, Y, Z
android.sensor.gyroscope,1523723132407,756076779683849,0.013351769,0.033527777,-0.015812684
android.sensor.gyroscope,1523723132427,756076799674474,0.02289872,0.048799407,-0.016353736
android.sensor.gyroscope,1523723132447,756076819696349,0.035709437,0.06925467,-0.0032637657
android.sensor.gyroscope,1523723132467,756076839686974,0.02698279,0.048799407,-0.006265732
android.sensor.gyroscope,1523723132487,756076859677599,0.01881465,0.034348078,-0.00408407
android.sensor.gyroscope,1523723132507,756076879669786,0.017715093,0.032986723,-0.012531464
android.sensor.gyroscope,1523723132527,756076899691661,0.015271631,0.027262043,-0.024260076
android.sensor.gyroscope,1523723132547,756076919682286,0.0,0.0,0.0
android.sensor.gyroscope,1523723132567,756076939672911,0.0,0.0,0.0
android.sensor.gyroscope,1523723132587,756076959696349,-0.0049043754,-0.011990412,-0.037350047
android.sensor.gyroscope,1523723132607,756076979686974,-0.010349803,-0.010088003,-0.036808994
android.sensor.gyroscope,1523723132627,756076999677599,-0.0283616,-0.023719024,-0.06871361
android.sensor.gyroscope,1523723132647,756077019669786,0.0,0.0,0.0
android.sensor.gyroscope,1523723132667,756077039690099,-0.02480113,0.019355701,-0.023998277
android.sensor.gyroscope,1523723132687,756077059680724,-0.02453933,0.023177972,-0.020717058
android.sensor.gyroscope,1523723132707,756077079672911,-0.020437805,0.05071927,-0.01308997
android.sensor.gyroscope,1523723132727,756077099694786,-0.018535396,0.06462954,-0.012810716
android.sensor.gyroscope,1523723132747,756077119685411,-0.021537364,0.061627574,-0.020176006
android.sensor.gyroscope,1523723132767,756077139676036,-0.013892821,0.06571165,-0.01308997
android.sensor.gyroscope,1523723132787,756077159666661,-0.0076270886,0.07744026,-0.0046251225
android.sensor.gyroscope,1523723132807,756077179690099,0.0021816615,0.0951728,0.01144936
android.sensor.gyroscope,1523723132827,756077199680724,0.023439772,0.1595231,0.057805303
android.sensor.gyroscope,1523723132847,756077219671349,0.045256387,0.20669934,0.1044405
android.sensor.gyroscope,1523723132867,756077239693224,0.07061602,0.2718874,0.15515977
android.sensor.gyroscope,1523723132887,756077259685411,0.10744247,0.34606388,0.21952751
android.sensor.gyroscope,1523723132907,756077279676036,0.13906783,0.40605086,0.2727077
android.sensor.gyroscope,1523723132927,756077299666661,0.21052161,0.5655914,0.41015238
android.sensor.gyroscope,1523723132947,756077319688536,0.3231477,0.890659,0.6258576
android.sensor.gyroscope,1523723132967,756077339679161,0.5576851,1.5230615,1.0452777
android.sensor.gyroscope,1523723132987,756077359671349,0.74939203,2.0602913,1.3627182
android.sensor.gyroscope,1523723133007,756077379693224,0.88301444,2.4614553,1.4867936
android.sensor.gyroscope,1523723133027,756077399683849,0.9184795,2.6441739,1.3577963
android.sensor.gyroscope,1523723133047,756077419674474,0.9329308,2.7592432,1.1306417
android.sensor.gyroscope,1523723133067,756077439696349,0.85819584,2.7273388,0.67711794
android.sensor.gyroscope,1523723133087,756077459688536,0.789203,2.7799778,-0.17697638
android.sensor.gyroscope,1523723133107,756077479679161,0.54105204,2.8705082,-1.6613265
android.sensor.gyroscope,1523723133127,756077499669786,-0.3624176,3.2885668,-4.3055005
android.sensor.gyroscope,1523723133147,756077519691661,-2.2280176,3.6507227,-6.336348
android.sensor.gyroscope,1523723133167,756077539682286,-3.7633662,3.2163103,-6.6897774
android.sensor.gyroscope,1523723133187,756077559672911,-4.48794,2.65126,-6.4028974
android.sensor.gyroscope,1523723133207,756077579696349,-4.6851096,2.279016,-5.9744716
android.sensor.gyroscope,1523723133227,756077599686974,-4.60739,1.9563919,-5.514682
android.sensor.gyroscope,1523723133247,756077619677599,-4.439681,1.6932312,-5.031173
android.sensor.gyroscope,1523723133267,756077639668224,-4.249318,1.4469826,-4.5266685
android.sensor.gyroscope,1523723133287,756077659690099,-3.9978862,1.2187285,-4.0728827
android.sensor.gyroscope,1523723133307,756077679682286,-3.7270808,0.99591976,-3.6793635
android.sensor.gyroscope,1523723133327,756077699672911,-3.482473,0.7733903,-3.325655
android.sensor.gyroscope,1523723133347,756077719694786,-3.2629454,0.57267743,-2.9926813
android.sensor.gyroscope,1523723133367,756077739685411,-3.054588,0.40933207,-2.6640706
android.sensor.gyroscope,1523723133387,756077759676036,-2.8516934,0.23588125,-2.359179
android.sensor.gyroscope,1523723133407,756077779668224,-2.6449766,0.0286234,-2.095198
android.sensor.gyroscope,1523723133427,756077799690099,-2.4429023,-0.20916025,-1.8557737
android.sensor.gyroscope,1523723133447,756077819680724,-2.2588227,-0.4706804,-1.6236973
android.sensor.gyroscope,1523723133467,756077839671349,-2.1483781,-0.8159414,-1.3749878
android.sensor.gyroscope,1523723133487,756077859694786,-2.1265614,-1.2596216,-1.1216358
android.sensor.gyroscope,1523723133507,756077879685411,-2.2773755,-1.9449426,-0.84702575
android.sensor.gyroscope,1523723133527,756077899676036,-2.9618762,-3.536194,-0.33487633
android.sensor.gyroscope,1523723133547,756077919666661,-4.3038597,-6.3172717,0.57021654
android.sensor.gyroscope,1523723133567,756077939688536,-5.055992,-8.147127,1.317165
android.sensor.gyroscope,1523723133587,756077959679161,-5.10535,-8.617563,1.7060593
android.sensor.gyroscope,1523723133607,756077979671349,-4.848455,-8.421475,1.8598578
android.sensor.gyroscope,1523723133627,756077999693224,-4.4734883,-7.920234,1.8546741
android.sensor.gyroscope,1523723133647,756078019683849,-4.1077895,-7.3260193,1.7821382
android.sensor.gyroscope,1523723133667,756078039674474,-3.7584443,-6.731508,1.7024989
android.sensor.gyroscope,1523723133687,756078059696349,-3.4137418,-6.1389165,1.6335061
android.sensor.gyroscope,1523723133707,756078079688536,-3.0886743,-5.589679,1.5582474
android.sensor.gyroscope,1523723133727,756078099679161,-2.757341,-5.1269045,1.4780669
android.sensor.gyroscope,1523723133747,756078119669786,-2.4227264,-4.7246585,1.3910798
android.sensor.gyroscope,1523723133767,756078139693224,-2.133665,-4.364405,1.3016317
android.sensor.gyroscope,1523723133787,756078159683849,-1.9127587,-3.9725266,1.2113632
android.sensor.gyroscope,1523723133807,756078179674474,-1.7374054,-3.5994623,1.1080048
android.sensor.gyroscope,1523723133827,756078199696349,-1.6225977,-3.2430313,1.012291
android.sensor.gyroscope,1523723133847,756078219686974,-1.6665102,-2.8481505,0.90182906
android.sensor.gyroscope,1523723133867,756078239679161,-1.7112255,-2.4835336,0.7744899
android.sensor.gyroscope,1523723133887,756078259669786,-1.7701304,-2.1039245,0.68612385
android.sensor.gyroscope,1523723133907,756078279691661,-1.8151424,-1.7286788,0.64957666
android.sensor.gyroscope,1523723133927,756078299682286,-1.8252304,-1.3976247,0.61384976
android.sensor.gyroscope,1523723133947,756078319672911,-1.7096024,-0.9517455,0.5500405
android.sensor.gyroscope,1523723133967,756078339694786,-1.5536048,-0.49686033,0.50040334
android.sensor.gyroscope,1523723133987,756078359686974,-1.4248868,-0.118350774,0.47696358
android.sensor.gyroscope,1523723134007,756078379676036,-1.2653637,0.2645221,0.46687558
android.sensor.gyroscope,1523723134027,756078399668224,-0.9536479,0.80475384,0.4292288
android.sensor.gyroscope,1523723134047,756078419690099,-0.61821306,1.2773541,0.37442547
android.sensor.gyroscope,1523723134068,756078439680724,-0.23315853,1.8028553,0.34496433
android.sensor.gyroscope,1523723134087,756078459672911,0.24406683,2.4764476,0.35587263
android.sensor.gyroscope,1523723134108,756078479694786,0.89448124,3.4129214,0.41151372
android.sensor.gyroscope,1523723134128,756078499685411,1.5478802,4.3199515,0.5053252
android.sensor.gyroscope,1523723134148,756078519676036,2.1257412,5.0486264,0.58822834
android.sensor.gyroscope,1523723134168,756078539668224,2.5391748,5.4604197,0.62285566
android.sensor.gyroscope,1523723134188,756078559690099,2.868885,5.755485,0.6664889
android.sensor.gyroscope,1523723134208,756078579679161,3.017238,5.8452125,0.71966904
android.sensor.gyroscope,1523723134228,756078599671349,3.0393164,5.739672,0.78375757
android.sensor.gyroscope,1523723134248,756078619693224,2.985054,5.530512,0.8284729
android.sensor.gyroscope,1523723134268,756078639683849,2.8874204,5.2779803,0.8557524
android.sensor.gyroscope,1523723134288,756078659676036,2.7657883,5.007175,0.890659
android.sensor.gyroscope,1523723134308,756078679666661,2.6335273,4.706647,0.9416575
android.sensor.gyroscope,1523723134328,756078699688536,2.5519855,4.3712296,0.92720616
android.sensor.gyroscope,1523723134348,756078719679161,2.5309892,4.0178003,0.8917411
android.sensor.gyroscope,1523723134368,756078739669786,2.5279872,3.687549,0.8410218
android.sensor.gyroscope,1523723134388,756078759693224,2.510534,3.3793938,0.75049156
android.sensor.gyroscope,1523723134408,756078779683849,2.526364,3.0698595,0.6572212
android.sensor.gyroscope,1523723134428,756078799674474,2.6087086,2.766347,0.5655914
android.sensor.gyroscope,1523723134448,756078819696349,2.7914271,2.438539,0.46795768
android.sensor.gyroscope,1523723134468,756078839686974,3.041498,2.038213,0.38205257
android.sensor.gyroscope,1523723134488,756078859677599,3.335202,1.5462395,0.2945243
android.sensor.gyroscope,1523723134508,756078879669786,3.7295418,0.96483546,0.27351055
android.sensor.gyroscope,1523723134528,756078899691661,4.207605,0.26724482,0.45895177
android.sensor.gyroscope,1523723134548,756078919682286,4.7522,-0.65203756,0.867481
android.sensor.gyroscope,1523723134568,756078939672911,5.1868916,-1.7780541,1.5058875
android.sensor.gyroscope,1523723134588,756078959694786,5.247699,-2.7398877,2.2400079
android.sensor.gyroscope,1523723134608,756078979686974,4.996808,-3.2283006,2.718071
android.sensor.gyroscope,1523723134628,756078999677599,4.613935,-3.2629454,3.1374912
android.sensor.gyroscope,1523723134648,756079019668224,4.218775,-2.9948628,3.4666603
android.sensor.gyroscope,1523723134667,756079039691661,3.8874416,-2.6940727,3.5506454
android.sensor.gyroscope,1523723134687,756079059682286,3.6160953,-2.4587326,3.3624816
android.sensor.gyroscope,1523723134707,756079079672911,3.3848393,-2.2653675,2.9782298
android.sensor.gyroscope,1523723134727,756079099694786,3.1792219,-2.0313888,2.7199736
android.sensor.gyroscope,1523723134747,756079119685411,2.9973238,-1.8235898,2.457092
android.sensor.gyroscope,1523723134767,756079139676036,2.82307,-1.6607856,2.170474
android.sensor.gyroscope,1523723134787,756079159666661,2.6444356,-1.5579681,1.8396817
android.sensor.gyroscope,1523723134807,756079179690099,2.4816313,-1.4666176,1.5497825
android.sensor.gyroscope,1523723134827,756079199680724,2.3261924,-1.3700835,1.313622
android.sensor.gyroscope,1523723134847,756079219671349,2.1794798,-1.2939872,1.0891901
android.sensor.gyroscope,1523723134867,756079239693224,2.038213,-1.2282754,0.89202034
android.sensor.gyroscope,1523723134887,756079259685411,1.9081335,-1.1650072,0.70876074
android.sensor.gyroscope,1523723134907,756079279676036,1.7933258,-1.1208155,0.53204614
android.sensor.gyroscope,1523723134927,756079299666661,1.6847838,-1.0703756,0.41069344
android.sensor.gyroscope,1523723134947,756079319688536,1.5838863,-1.0291858,0.3111573
android.sensor.gyroscope,1523723134967,756079339679161,1.4936179,-0.9803689,0.22471114
android.sensor.gyroscope,1523723134987,756079359669786,1.4126171,-0.92474526,0.16580628
android.sensor.gyroscope,1523723135007,756079379693224,1.3258917,-0.874026,0.11424925
android.sensor.gyroscope,1523723135027,756079399683849,1.2454495,-0.85329145,0.040893063
