Sensor, CurrentTimeMs, SensorTimestampNano, X, Y, Z
android.sensor.gyroscope,1523718622186,751566556973952,0.7316595,2.9577746,1.946304
android.sensor.gyroscope,1523718622205,751566576995827,0.61330867,2.8042378,1.8606781
android.sensor.gyroscope,1523718622225,751566596986452,0.5162335,2.6828852,1.8603988
android.sensor.gyroscope,1523718622246,751566616978640,0.431969,2.5623527,1.8530335
android.sensor.gyroscope,1523718622266,751566637000515,0.3397807,2.3638215,1.7166884
android.sensor.gyroscope,1523718622286,751566656991140,0.26206118,2.1892886,1.5994197
android.sensor.gyroscope,1523718622306,751566676981765,0.18488273,2.0259433,1.5184364
android.sensor.gyroscope,1523718622326,751566696972390,0.13062043,1.8994069,1.4660766
android.sensor.gyroscope,1523718622346,751566716995827,0.0861669,1.7510539,1.3689839
android.sensor.gyroscope,1523718622366,751566736986452,0.05235988,1.6048826,1.2680864
android.sensor.gyroscope,1523718622386,751566756977077,0.016353736,1.4728833,1.177818
android.sensor.gyroscope,1523718622406,751566776998952,-0.00816814,1.3512514,1.092454
android.sensor.gyroscope,1523718622426,751566796991140,-0.022078415,1.2495335,1.0174571
android.sensor.gyroscope,1523718622446,751566816980202,-0.025080381,1.1584623,0.9484643
android.sensor.gyroscope,1523718622466,751566836972390,-0.029984757,1.0621899,0.87374675
android.sensor.gyroscope,1523718622486,751566856994265,-0.031625368,0.96129245,0.78457785
android.sensor.gyroscope,1523718622506,751566876984890,-0.026720991,0.868022,0.7101221
android.sensor.gyroscope,1523718622526,751566896975515,-0.019634955,0.7742106,0.62367594
android.sensor.gyroscope,1523718622546,751566916997390,-0.0051661744,0.7049385,0.5699547
android.sensor.gyroscope,1523718622566,751566936989577,-0.00816814,0.6354046,0.51595426
android.sensor.gyroscope,1523718622586,751566956980202,-0.025900686,0.5814041,0.47586402
android.sensor.gyroscope,1523718622606,751566977002077,-0.045256387,0.50286424,0.4027871
android.sensor.gyroscope,1523718622626,751566996992702,-0.05534439,0.44586182,0.35833356
android.sensor.gyroscope,1523718622646,751567016983327,-0.054262288,0.39760345,0.3212453
android.sensor.gyroscope,1523718622666,751567036975515,-0.053721234,0.3588746,0.2904228
android.sensor.gyroscope,1523718622686,751567056997390,-0.04717625,0.3359759,0.28251645
android.sensor.gyroscope,1523718622706,751567076988015,-0.048258353,0.28005552,0.23506095
android.sensor.gyroscope,1523718622726,751567096978640,-0.05071927,0.23970352,0.20071286
android.sensor.gyroscope,1523718622746,751567117002077,-0.05454154,0.19116591,0.1595231
android.sensor.gyroscope,1523718622766,751567136992702,-0.06244788,0.14697418,0.1134464
android.sensor.gyroscope,1523718622786,751567156983327,-0.07007497,0.15407766,0.12135274
android.sensor.gyroscope,1523718622806,751567176973952,-0.07553785,0.1420698,0.11152654
android.sensor.gyroscope,1523718622826,751567196997390,-0.06789331,0.08998918,0.049898963
android.sensor.gyroscope,1523718622846,751567216986452,-0.067631505,0.055623643,0.0049043754
android.sensor.gyroscope,1523718622866,751567236978640,-0.07798131,0.032986723,-0.022078415
android.sensor.gyroscope,1523718622886,751567257000515,-0.08098327,0.017174039,-0.028082348
android.sensor.gyroscope,1523718622906,751567276991140,-0.08970992,0.01308997,-0.031346112
android.sensor.gyroscope,1523718622926,751567296981765,-0.037088245,0.007347836,-0.011990412
android.sensor.gyroscope,1523718622946,751567316973952,0.0,0.0,0.0
android.sensor.gyroscope,1523718622966,751567336995827,-0.06489134,0.009808751,-0.019355701
android.sensor.gyroscope,1523718622986,751567356984890,-0.1055226,0.00816814,-0.033265974
android.sensor.gyroscope,1523718623006,751567376977077,-0.06735226,0.0076270886,-0.009267698
android.sensor.gyroscope,1523718623026,751567396998952,-0.038449604,0.008988446,0.002984513
android.sensor.gyroscope,1523718623046,751567416989577,0.0,0.0,0.0
android.sensor.gyroscope,1523718623066,751567436980202,-0.053983033,0.028902652,0.030543262
android.sensor.gyroscope,1523718623086,751567456972390,-0.05862561,0.04171337,0.049898963
