Sensor, CurrentTimeMs, SensorTimestampNano, X, Y, Z
android.sensor.accelerometer,1523718749084,751693456983327,0.33518824,3.9456444,9.011775
android.sensor.accelerometer,1523718749104,751693476973952,0.45010993,4.003105,8.90643
android.sensor.accelerometer,1523718749124,751693496995827,0.32561144,4.0318356,8.944737
android.sensor.accelerometer,1523718749144,751693516986452,0.2873042,3.9552212,9.11712
android.sensor.accelerometer,1523718749164,751693536977077,0.46926352,3.8786068,9.059659
android.sensor.accelerometer,1523718749184,751693557000515,0.45968673,3.9360676,8.868123
android.sensor.accelerometer,1523718749204,751693576991140,0.35434186,4.003105,8.820239
android.sensor.accelerometer,1523718749224,751693596981765,0.30645782,3.9839516,8.791509
android.sensor.accelerometer,1523718749244,751693616973952,0.32561144,3.916914,9.002198
android.sensor.accelerometer,1523718749264,751693636995827,0.30645782,3.86903,9.126697
android.sensor.accelerometer,1523718749284,751693656986452,0.37349546,3.8977604,8.983045
android.sensor.accelerometer,1523718749304,751693676977077,0.40222588,3.916914,8.7532015
android.sensor.accelerometer,1523718749324,751693696998952,0.20111294,4.060566,8.963891
android.sensor.accelerometer,1523718749344,751693716991140,0.18195933,4.0892963,8.8777
android.sensor.accelerometer,1523718749364,751693736981765,0.047884032,4.146757,8.39886
android.sensor.accelerometer,1523718749384,751693756972390,-0.5267244,4.185065,8.303091
android.sensor.accelerometer,1523718749404,751693776994265,-1.3790601,4.0701427,9.011775
android.sensor.accelerometer,1523718749424,751693796986452,-1.8962077,3.5913026,9.203311
android.sensor.accelerometer,1523718749444,751693816977077,-1.0342951,2.9879637,7.3071036
android.sensor.accelerometer,1523718749464,751693836997390,0.1340753,2.7964275,2.681506
android.sensor.accelerometer,1523718749484,751693856989577,2.7581203,2.3654714,-7.1155677
android.sensor.accelerometer,1523718749504,751693876980202,6.042965,1.3120226,-14.949395
android.sensor.accelerometer,1523718749524,751693897002077,5.3725886,-1.7525556,-18.636467
android.sensor.accelerometer,1523718749544,751693916994265,8.494628,-3.3423057,-16.606182
android.sensor.accelerometer,1523718749564,751693936983327,19.096153,-7.240066,-15.08347
android.sensor.accelerometer,1523718749584,751693956975515,31.507694,-10.630256,-13.053187
android.sensor.accelerometer,1523718749604,751693976997390,34.725502,-12.181698,-5.5737014
android.sensor.accelerometer,1523718749624,751693996988015,40.375816,-14.403518,-1.3982137
android.sensor.accelerometer,1523718749644,751694016980202,47.12747,-18.80885,0.641646
android.sensor.accelerometer,1523718749664,751694037002077,49.205635,-22.725763,8.628703
android.sensor.accelerometer,1523718749684,751694056992702,46.54328,-24.679432,8.839393
android.sensor.accelerometer,1523718749704,751694076983327,41.304768,-25.01462,6.7229185
android.sensor.accelerometer,1523718749724,751694096973952,36.219482,-26.096798,9.414001
android.sensor.accelerometer,1523718749744,751694116995827,32.83887,-26.393679,14.231135
android.sensor.accelerometer,1523718749764,751694136988015,29.103916,-24.71774,14.681245
android.sensor.accelerometer,1523718749784,751694156978640,26.508602,-24.133553,11.233594
android.sensor.accelerometer,1523718749804,751694177000515,22.543802,-21.969194,8.0445175
android.sensor.accelerometer,1523718749824,751694196991140,17.707516,-19.58457,7.479486
android.sensor.accelerometer,1523718749844,751694216981765,15.332468,-16.682798,7.1059904
android.sensor.accelerometer,1523718749864,751694236973952,14.4130945,-14.834474,6.751649
android.sensor.accelerometer,1523718749884,751694256995827,12.698846,-13.388376,7.9104424
android.sensor.accelerometer,1523718749904,751694276986452,11.013328,-12.583924,8.00621
android.sensor.accelerometer,1523718749924,751694296977077,8.724471,-12.641385,7.73806
android.sensor.accelerometer,1523718749944,751694317000515,6.3111157,-12.363658,7.2113357
android.sensor.accelerometer,1523718749964,751694336991140,3.6583402,-11.654974,8.130709
android.sensor.accelerometer,1523718749984,751694356980202,3.514688,-10.649409,11.463438
android.sensor.accelerometer,1523718750004,751694376972390,4.367024,-9.969456,12.0093155
android.sensor.accelerometer,1523718750024,751694396995827,4.7309427,-10.477027,11.942278
android.sensor.accelerometer,1523718750044,751694416984890,6.2249246,-12.028469,15.533581
