Sensor, CurrentTimeMs, SensorTimestampNano, X, Y, Z
android.sensor.gyroscope,1523718749086,751693456983327,0.0,0.0,0.0
android.sensor.gyroscope,1523718749106,751693476973952,0.0,0.0,0.0
android.sensor.gyroscope,1523718749126,751693496995827,0.0,0.0,0.0
android.sensor.gyroscope,1523718749146,751693516986452,0.0,0.0,0.0
android.sensor.gyroscope,1523718749166,751693536977077,-0.017453292,0.03626794,0.03926991
android.sensor.gyroscope,1523718749186,751693557000515,-0.013892821,0.03981096,0.037088245
android.sensor.gyroscope,1523718749206,751693576991140,-0.0095294975,0.061889376,0.061348323
android.sensor.gyroscope,1523718749226,751693596981765,-0.0013613568,0.06653195,0.06925467
android.sensor.gyroscope,1523718749246,751693616973952,0.0035430184,0.08970992,0.09407324
android.sensor.gyroscope,1523718749266,751693636995827,0.0046251225,0.10744247,0.10770427
android.sensor.gyroscope,1523718749286,751693656986452,-0.0010821042,0.10307915,0.10389945
android.sensor.gyroscope,1523718749306,751693676977077,-0.0016231562,0.10716321,0.09979793
android.sensor.gyroscope,1523718749326,751693696998952,-5.410521E-4,0.110444434,0.10471976
android.sensor.gyroscope,1523718749346,751693716991140,5.410521E-4,0.11671016,0.11180579
android.sensor.gyroscope,1523718749366,751693736981765,0.0010821042,0.11943288,0.11506956
android.sensor.gyroscope,1523718749386,751693756972390,0.0051661744,0.13662437,0.13470452
android.sensor.gyroscope,1523718749406,751693776994265,0.011170107,0.20261528,0.20587903
android.sensor.gyroscope,1523718749426,751693796986452,0.016074482,0.27815312,0.2855184
android.sensor.gyroscope,1523718749446,751693816977077,0.022078415,0.32342696,0.33487633
android.sensor.gyroscope,1523718749466,751693836997390,0.04717625,0.3447025,0.38805652
android.sensor.gyroscope,1523718749486,751693856989577,0.1802576,0.3359759,0.49577823
android.sensor.gyroscope,1523718749507,751693876980202,0.38097048,0.17453292,0.51841515
android.sensor.gyroscope,1523718749526,751693897002077,0.60704297,-0.033265974,0.5189562
android.sensor.gyroscope,1523718749546,751693916994265,0.69294804,-0.91193455,-0.36678094
android.sensor.gyroscope,1523718749566,751693936983327,-0.6632251,-4.526389,-5.025449
android.sensor.gyroscope,1523718749585,751693956975515,-2.5056295,-5.954016,-5.2253413
android.sensor.gyroscope,1523718749606,751693976997390,-3.5934584,-6.062017,-3.6831858
android.sensor.gyroscope,1523718749626,751693996988015,-4.112973,-5.847656,-2.3542745
android.sensor.gyroscope,1523718749646,751694016980202,-4.2231383,-5.4465094,-1.3646206
android.sensor.gyroscope,1523718749666,751694037002077,-4.0636153,-4.8631854,-0.7035771
android.sensor.gyroscope,1523718749686,751694056992702,-3.839986,-4.3423095,-0.26888543
android.sensor.gyroscope,1523718749707,751694076983327,-3.6073687,-3.898891,0.040893063
android.sensor.gyroscope,1523718749726,751694096973952,-3.354296,-3.466381,0.27625072
android.sensor.gyroscope,1523718749746,751694116995827,-3.0690393,-3.0341327,0.45160395
android.sensor.gyroscope,1523718749766,751694136988015,-2.7783372,-2.6643498,0.58522636
android.sensor.gyroscope,1523718749786,751694156978640,-2.510534,-2.3736477,0.6932099
android.sensor.gyroscope,1523718749807,751694177000515,-2.2634652,-2.1522005,0.7733903
android.sensor.gyroscope,1523718749826,751694196991140,-2.0248437,-1.9642982,0.83637923
