Sensor, CurrentTimeMs, SensorTimestampNano, X, Y, Z
android.sensor.accelerometer,1523718643225,751587596998952,23.463177,-15.935806,7.9008656
android.sensor.accelerometer,1523718643244,751587616989577,18.751389,-14.451402,7.297527
android.sensor.accelerometer,1523718643264,751587636981765,11.999739,-12.50731,3.2848446
android.sensor.accelerometer,1523718643284,751587656972390,7.603985,-10.658986,0.7565677
android.sensor.accelerometer,1523718643304,751587676994265,5.7269306,-9.9790325,-0.46926352
android.sensor.accelerometer,1523718643324,751587696984890,4.414908,-9.77792,1.13964
android.sensor.accelerometer,1523718643344,751587716977077,2.7006595,-10.180145,4.951209
android.sensor.accelerometer,1523718643364,751587736997390,0.32561144,-9.586384,7.086837
android.sensor.accelerometer,1523718643384,751587756989577,-1.2066777,-8.236053,6.205771
android.sensor.accelerometer,1523718643404,751587776980202,-1.1300632,-7.52737,4.6160207
android.sensor.accelerometer,1523718643424,751587797002077,-1.3790601,-7.603985,6.081272
android.sensor.accelerometer,1523718643444,751587816992702,-1.5705963,-7.038953,9.404425
android.sensor.accelerometer,1523718643464,751587836983327,-2.336741,-6.6271505,12.382812
android.sensor.accelerometer,1523718643484,751587856975515,-3.2848446,-5.90889,13.01488
android.sensor.accelerometer,1523718643504,751587876997390,-3.964798,-5.6790466,11.9614315
android.sensor.accelerometer,1523718643524,751587896988015,-4.8362875,-5.305551,11.070788
android.sensor.accelerometer,1523718643544,751587916978640,-5.9663506,-4.9224787,9.557653
android.sensor.accelerometer,1523718643564,751587937000515,-6.7803793,-4.5394063,9.557653
android.sensor.accelerometer,1523718643584,751587956992702,-6.943185,-4.271256,9.892841
android.sensor.accelerometer,1523718643604,751587976983327,-6.301539,-3.8019924,8.839393
android.sensor.accelerometer,1523718643624,751587996973952,-5.4779334,-3.0262709,8.494628
android.sensor.accelerometer,1523718643644,751588016995827,-3.8881836,-2.27928,10.620679
android.sensor.accelerometer,1523718643664,751588036986452,-4.146757,-0.6703765,10.0269165
android.sensor.accelerometer,1523718643684,751588056978640,-5.755661,0.93852705,9.212888
android.sensor.accelerometer,1523718643704,751588077000515,-6.7612257,2.4612393,7.929596
android.sensor.accelerometer,1523718643724,751588096991140,-7.326257,3.86903,7.7667904
android.sensor.accelerometer,1523718643744,751588116981765,-6.38773,2.9400797,7.52737
android.sensor.accelerometer,1523718643764,751588136973952,-7.517793,2.6431987,8.293514
android.sensor.accelerometer,1523718643784,751588156995827,-6.3589997,2.8060043,10.007763
android.sensor.accelerometer,1523718643804,751588176986452,-5.2768207,2.8921957,11.827356
android.sensor.accelerometer,1523718643824,751588196977077,-3.6296098,1.6376339,8.111555
android.sensor.accelerometer,1523718643844,751588216998952,-2.5187001,-0.1436521,5.0278234
android.sensor.accelerometer,1523718643864,751588236991140,-1.9153614,-0.23942018,6.2345014
android.sensor.accelerometer,1523718643884,751588256981765,-0.6607997,0.46926352,8.293514
android.sensor.accelerometer,1523718643904,751588276972390,0.45968673,1.934515,9.184157
android.sensor.accelerometer,1523718643924,751588296994265,3.4763808,6.4643445,8.647857
android.sensor.accelerometer,1523718643944,751588316986452,5.209783,10.036493,4.711789
android.sensor.accelerometer,1523718643964,751588336977077,3.2465374,9.595961,2.9113493
android.sensor.accelerometer,1523718643984,751588356998952,-0.047884032,12.804191,13.905523
android.sensor.accelerometer,1523718644004,751588376989577,3.8019924,10.840945,18.377892
android.sensor.accelerometer,1523718644024,751588396980202,11.923124,11.597513,13.493721
android.sensor.accelerometer,1523718644044,751588417003640,16.270994,14.211981,7.967903
android.sensor.accelerometer,1523718644064,751588436994265,14.049175,16.682798,3.3327289
android.sensor.accelerometer,1523718644084,751588456984890,9.5385,20.216639,0.8714894
android.sensor.accelerometer,1523718644104,751588476975515,8.341399,22.725763,3.5242648
android.sensor.accelerometer,1523718644124,751588496997390,8.034941,20.800825,9.9790325
android.sensor.accelerometer,1523718644144,751588516988015,8.111555,18.435352,13.2351465
android.sensor.accelerometer,1523718644164,751588536978640,6.253655,14.729129,15.140931
android.sensor.accelerometer,1523718644184,751588557002077,1.0726024,11.118672,12.220005
android.sensor.accelerometer,1523718644204,751588576992702,-3.3997664,5.813122,7.2304893
android.sensor.accelerometer,1523718644224,751588596983327,-8.8777,2.4037786,0.47884035
android.sensor.accelerometer,1523718644244,751588616975515,-16.385916,2.4899697,-0.93852705
android.sensor.accelerometer,1523718644264,751588636995827,-17.353174,0.8619126,-2.231396
android.sensor.accelerometer,1523718644284,751588656986452,-15.284584,0.31603462,-4.5777135
android.sensor.accelerometer,1523718644304,751588676978640,-9.873688,0.31603462,-5.813122
android.sensor.accelerometer,1523718644324,751588697000515,-3.8019924,-2.1930888,-7.3166804
android.sensor.accelerometer,1523718644344,751588716991140,1.7429788,-9.471462,-0.5746084
android.sensor.accelerometer,1523718644364,751588736981765,-0.48841715,-6.694188,14.020445
android.sensor.accelerometer,1523718644384,751588756973952,3.1986535,-9.892841,13.761871
android.sensor.accelerometer,1523718644404,751588776995827,8.8777,-10.572795,12.765883
android.sensor.accelerometer,1523718644424,751588796986452,13.024457,-11.865664,13.091495
android.sensor.accelerometer,1523718644444,751588816977077,11.9614315,-12.631808,12.306197
android.sensor.accelerometer,1523718644464,751588837000515,8.954314,-14.901511,7.833828
android.sensor.accelerometer,1523718644484,751588856991140,7.7189064,-18.47366,9.212888
android.sensor.accelerometer,1523718644504,751588876981765,15.840038,-26.144682,16.596605
android.sensor.accelerometer,1523718644524,751588896972390,26.288334,-32.139763,14.595054
android.sensor.accelerometer,1523718644544,751588916994265,28.01216,-37.081394,6.646304
android.sensor.accelerometer,1523718644564,751588936984890,35.271378,-42.76044,-3.1794999
android.sensor.accelerometer,1523718644584,751588956977077,47.816998,-48.429913,-14.192827
android.sensor.accelerometer,1523718644604,751588976998952,60.448803,-61.406487,-18.425776
android.sensor.accelerometer,1523718644624,751588996989577,72.42939,-70.35122,-31.440657
android.sensor.accelerometer,1523718644644,751589016980202,77.84986,-77.7541,-43.478703
android.sensor.accelerometer,1523718644664,751589037002077,78.347855,-78.35743,-51.561527
android.sensor.accelerometer,1523718644684,751589056994265,72.14208,-78.35743,-68.11983
android.sensor.accelerometer,1523718644704,751589076984890,57.997143,-76.31757,-73.89464
android.sensor.accelerometer,1523718644724,751589096975515,42.003876,-64.279526,-55.353943
android.sensor.accelerometer,1523718644744,751589116997390,38.50834,-65.83097,-45.959095
android.sensor.accelerometer,1523718644764,751589136988015,22.534225,-52.81609,-44.9248
android.sensor.accelerometer,1523718644784,751589156978640,5.046977,-34.677616,-44.74284
android.sensor.accelerometer,1523718644804,751589177002077,-1.982399,-23.712173,-37.93373
android.sensor.accelerometer,1523718644824,751589196992702,-2.7102363,-19.6133,-29.09434
android.sensor.accelerometer,1523718644844,751589216983327,0.7469909,-16.203957,-22.811954
android.sensor.accelerometer,1523718644864,751589236975515,3.4380736,-14.662091,-16.816874
android.sensor.accelerometer,1523718644884,751589256997390,4.3957543,-12.938266,-10.582372
android.sensor.accelerometer,1523718644904,751589276988015,2.7006595,-10.055647,-6.4643445
android.sensor.accelerometer,1523718644924,751589296978640,0.009576807,-7.240066,-6.742072
android.sensor.accelerometer,1523718644944,751589317000515,-1.3311762,-3.6774938,-7.690176
android.sensor.accelerometer,1523718644964,751589336991140,-0.24899697,-1.1204864,-7.8050976
android.sensor.accelerometer,1523718644984,751589356981765,1.2737153,0.7278373,-5.7269306
android.sensor.accelerometer,1523718645004,751589376973952,1.9919758,1.436521,-2.9783869
android.sensor.accelerometer,1523718645024,751589396995827,-0.05746084,4.1659107,0.22026655
android.sensor.accelerometer,1523718645044,751589416986452,-1.091756,5.755661,1.8387469
android.sensor.accelerometer,1523718645065,751589436977077,-1.2545617,7.1059904,3.7732618
android.sensor.accelerometer,1523718645085,751589457000515,-1.9249382,9.691729,3.5625722
android.sensor.accelerometer,1523718645105,751589476991140,-1.6280571,8.8777,2.681506
android.sensor.accelerometer,1523718645125,751589496981765,0.5267244,6.6079965,2.2122424
android.sensor.accelerometer,1523718645145,751589516972390,-1.0821792,8.322245,8.236053
android.sensor.accelerometer,1523718645165,751589536994265,-1.8387469,8.619126,12.229582
android.sensor.accelerometer,1523718645184,751589556986452,-0.7374141,8.121132,12.363658
android.sensor.accelerometer,1523718645205,751589576977077,1.8004397,6.4164605,11.827356
android.sensor.accelerometer,1523718645225,751589596998952,0.80445176,5.889736,11.21444
android.sensor.accelerometer,1523718645245,751589616989577,-2.1739352,8.322245,11.587936
android.sensor.accelerometer,1523718645265,751589636981765,-1.2449849,7.747637,10.342952
android.sensor.accelerometer,1523718645284,751589657002077,1.2449849,6.799533,10.007763
android.sensor.accelerometer,1523718645304,751589676994265,0.7374141,5.9184666,9.825804
android.sensor.accelerometer,1523718645324,751589696984890,-1.8866309,6.0142345,10.802638
android.sensor.accelerometer,1523718645344,751589716975515,-2.6048915,6.3685765,9.80665
android.sensor.accelerometer,1523718645364,751589736998952,-1.4173675,6.799533,7.728483
android.sensor.accelerometer,1523718645384,751589756989577,1.1300632,6.4547677,6.703765
android.sensor.accelerometer,1523718645404,751589776980202,0.7469909,6.4739213,7.776367
android.sensor.accelerometer,1523718645424,751589797002077,-0.30645782,6.1866174,7.5848308
android.sensor.accelerometer,1523718645444,751589816992702,-1.1492168,6.253655,8.1881695
android.sensor.accelerometer,1523718645464,751589836983327,-1.292869,6.253655,8.389283
android.sensor.accelerometer,1523718645484,751589856975515,-0.23942018,5.9663506,7.1251445
android.sensor.accelerometer,1523718645504,751589876997390,1.6663644,5.8322754,6.579266
android.sensor.accelerometer,1523718645524,751589896988015,0.93852705,6.1770406,7.1059904
android.sensor.accelerometer,1523718645544,751589916978640,-0.4405331,6.7324953,7.6710224
android.sensor.accelerometer,1523718645564,751589937000515,-0.19153613,6.7708025,7.6231384
android.sensor.accelerometer,1523718645584,751589956991140,0.81402856,6.339846,7.73806
android.sensor.accelerometer,1523718645604,751589976983327,0.7374141,6.129156,8.00621
android.sensor.accelerometer,1523718645624,751589996973952,0.7182605,6.081272,7.651869
android.sensor.accelerometer,1523718645644,751590016995827,0.93852705,6.3111157,7.3549876
android.sensor.accelerometer,1523718645664,751590036986452,0.78529817,6.349423,7.4986396
android.sensor.accelerometer,1523718645684,751590056977077,0.60333884,6.2823853,6.9623384
android.sensor.accelerometer,1523718645704,751590077000515,0.63206923,6.253655,6.1866174
android.sensor.accelerometer,1523718645724,751590096991140,0.5267244,6.2345014,6.8186865
android.sensor.accelerometer,1523718645744,751590116981765,0.5267244,6.167464,7.651869
android.sensor.accelerometer,1523718645764,751590136973952,0.842759,6.129156,7.7189064
android.sensor.accelerometer,1523718645784,751590156995827,0.9576807,6.129156,7.422025
android.sensor.accelerometer,1523718645804,751590176984890,1.1109096,6.0621185,7.345411
android.sensor.accelerometer,1523718645824,751590196977077,0.93852705,6.0621185,7.7572136
android.sensor.accelerometer,1523718645844,751590216998952,0.82360536,6.1387334,8.121132
android.sensor.accelerometer,1523718645864,751590236989577,0.9576807,6.1195793,8.054094
android.sensor.accelerometer,1523718645884,751590256980202,1.0151415,6.253655,7.9391727
android.sensor.accelerometer,1523718645904,751590276972390,1.1300632,6.2632318,7.517793
android.sensor.accelerometer,1523718645924,751590296994265,0.92895025,6.3302693,7.565677
android.sensor.accelerometer,1523718645944,751590316984890,0.6703765,6.5026517,7.680599
android.sensor.accelerometer,1523718645964,751590336975515,1.0342951,6.38773,7.6231384
android.sensor.accelerometer,1523718645984,751590356997390,1.283292,6.349423,7.536947
android.sensor.accelerometer,1523718646004,751590376989577,1.4460979,6.215348,7.431602
android.sensor.accelerometer,1523718646024,751590396980202,1.2162545,6.1866174,7.5561004
android.sensor.accelerometer,1523718646044,751590417002077,1.0055647,6.090849,7.795521
android.sensor.accelerometer,1523718646064,751590436992702,0.8619126,6.090849,7.795521
android.sensor.accelerometer,1523718646084,751590456983327,1.0534488,6.0525417,7.680599
android.sensor.accelerometer,1523718646104,751590476975515,1.0726024,6.0525417,7.690176
android.sensor.accelerometer,1523718646124,751590496997390,1.091756,5.985504,7.5944076
android.sensor.accelerometer,1523718646144,751590516988015,1.0342951,5.947197,7.690176
android.sensor.accelerometer,1523718646164,751590536978640,0.94810385,6.1770406,7.4028716
android.sensor.accelerometer,1523718646184,751590557000515,1.0342951,6.397307,7.489063
android.sensor.accelerometer,1523718646204,751590576992702,1.1300632,6.205771,7.575254
android.sensor.accelerometer,1523718646224,751590596983327,1.2449849,6.2345014,6.8091097
