Sensor, CurrentTimeMs, SensorTimestampNano, X, Y, Z
android.sensor.gyroscope,1523718673011,751617377000515,0.0,0.0,0.0
android.sensor.gyroscope,1523718673026,751617396991140,0.0,0.0,0.0
android.sensor.gyroscope,1523718673045,751617416981765,0.0,0.0,0.0
android.sensor.gyroscope,1523718673066,751617436972390,-0.028082348,-0.016074482,-0.022619467
android.sensor.gyroscope,1523718673086,751617456995827,-0.047996555,-0.03408628,-0.05126032
android.sensor.gyroscope,1523718673106,751617476984890,-0.051801372,-0.053162728,-0.082623884
android.sensor.gyroscope,1523718673126,751617496977077,-0.045256387,-0.05454154,-0.0853466
android.sensor.gyroscope,1523718673146,751617516998952,-0.040352013,-0.046617743,-0.07361799
android.sensor.gyroscope,1523718673166,751617536991140,-0.037088245,-0.042533673,-0.067073
android.sensor.gyroscope,1523718673186,751617556980202,-0.035709437,-0.043074727,-0.06735226
android.sensor.gyroscope,1523718673206,751617576972390,-0.02698279,-0.033527777,-0.053162728
android.sensor.gyroscope,1523718673226,751617596994265,-0.019634955,-0.0155334305,-0.030543262
android.sensor.gyroscope,1523718673246,751617616984890,0.0,0.0,0.0
android.sensor.gyroscope,1523718673266,751617636977077,0.0,0.0,0.0
android.sensor.gyroscope,1523718673286,751617656997390,-0.029984757,0.022619467,-0.012269665
android.sensor.gyroscope,1523718673306,751617676989577,-0.045814894,0.047717303,-0.018256145
android.sensor.gyroscope,1523718673326,751617696980202,-0.02453933,0.03080506,-0.002984513
android.sensor.gyroscope,1523718673346,751617717002077,-0.06407104,0.059445914,-0.006265732
android.sensor.gyroscope,1523718673366,751617736994265,-0.14779449,0.10089748,-0.01144936
android.sensor.gyroscope,1523718673386,751617756983327,-0.24270548,0.14971434,0.0019024089
android.sensor.gyroscope,1523718673407,751617776975515,-0.44095743,0.26778588,0.03244567
android.sensor.gyroscope,1523718673426,751617796997390,-0.4475024,0.34088024,0.09407324
android.sensor.gyroscope,1523718673446,751617816988015,-0.3122394,0.50913,0.2664245
android.sensor.gyroscope,1523718673466,751617836978640,-0.08098327,0.7643844,0.5795017
android.sensor.gyroscope,1523718673486,751617857002077,0.1237962,0.21760765,0.29806733
android.sensor.gyroscope,1523718673507,751617876992702,-0.3105988,-3.628365,-2.7971518
android.sensor.gyroscope,1523718673526,751617896983327,-4.013978,-7.70507,-3.0619533
