Sensor, CurrentTimeMs, SensorTimestampNano, X, Y, Z
android.sensor.accelerometer,1523718834405,751778776995827,1.7525556,9.471462,2.8060043
android.sensor.accelerometer,1523718834424,751778796986452,2.585738,9.433155,3.3614593
android.sensor.accelerometer,1523718834444,751778816978640,2.9496565,9.279925,3.6583402
android.sensor.accelerometer,1523718834464,751778837000515,2.4708161,9.11712,4.4723687
android.sensor.accelerometer,1523718834484,751778856991140,1.8004397,9.030929,4.8745947
android.sensor.accelerometer,1523718834504,751778876981765,1.733402,9.174581,4.3861775
android.sensor.accelerometer,1523718834524,751778896973952,2.030283,9.299079,3.8498764
android.sensor.accelerometer,1523718834544,751778916995827,1.6472107,9.337387,3.0454245
android.sensor.accelerometer,1523718834564,751778936986452,1.6567876,9.308656,2.6431987
android.sensor.accelerometer,1523718834584,751778956977077,1.8100165,9.260772,2.6240451
android.sensor.accelerometer,1523718834604,751778977000515,1.6376339,9.289502,2.2026656
android.sensor.accelerometer,1523718834624,751778996991140,1.484405,9.433155,2.1739352
android.sensor.accelerometer,1523718834644,751779016981765,1.7717092,9.481039,2.4133554
android.sensor.accelerometer,1523718834664,751779036972390,1.7812861,9.557653,2.2218192
android.sensor.accelerometer,1523718834684,751779056994265,1.7525556,10.01734,2.2888567
android.sensor.accelerometer,1523718834704,751779076984890,1.6472107,11.003751,2.72939
android.sensor.accelerometer,1523718834724,751779096977077,0.6799533,12.11466,3.6296098
android.sensor.accelerometer,1523718834744,751779116998952,0.40222588,13.340492,3.7349546
android.sensor.accelerometer,1523718834764,751779136989577,-1.3599066,15.255854,3.4476504
android.sensor.accelerometer,1523718834784,751779156980202,-3.4763808,16.108189,1.13964
android.sensor.accelerometer,1523718834804,751779177002077,-4.76925,17.60217,-0.50757074
android.sensor.accelerometer,1523718834824,751779196994265,-2.9975405,18.195932,0.6799533
android.sensor.accelerometer,1523718834844,751779216984890,-2.6527755,17.190369,4.003105
android.sensor.accelerometer,1523718834864,751779236975515,-2.384625,15.246277,10.151415
android.sensor.accelerometer,1523718834884,751779256997390,2.5570073,11.856087,15.591042
android.sensor.accelerometer,1523718834904,751779276988015,6.3781533,7.833828,13.330915
