Sensor, CurrentTimeMs, SensorTimestampNano, X, Y, Z
android.sensor.gyroscope,1523718805667,751750036992702,-0.10061823,0.20125392,0.27815312
android.sensor.gyroscope,1523718805685,751750056983327,-0.09243264,0.22579324,0.32096604
android.sensor.gyroscope,1523718805706,751750076975515,-0.08152433,0.23479915,0.3378783
android.sensor.gyroscope,1523718805725,751750096995827,-0.06380924,0.22907446,0.3337942
android.sensor.gyroscope,1523718805746,751750116986452,-0.053721234,0.2170666,0.30543262
android.sensor.gyroscope,1523718805766,751750136978640,-0.048258353,0.19989257,0.27078784
android.sensor.gyroscope,1523718805786,751750157000515,-0.04225442,0.1985312,0.24815091
android.sensor.gyroscope,1523718805806,751750176992702,-0.03981096,0.19442968,0.21024236
android.sensor.gyroscope,1523718805826,751750196981765,-0.035168383,0.19388862,0.18243927
android.sensor.gyroscope,1523718805846,751750216973952,-0.031346112,0.17643534,0.14234905
android.sensor.gyroscope,1523718805866,751750236995827,-0.027803095,0.14234905,0.07171558
android.sensor.gyroscope,1523718805886,751750256986452,-0.026441738,0.13416345,0.034348078
android.sensor.gyroscope,1523718805906,751750276977077,-0.014451326,0.09271189,0.020717058
android.sensor.gyroscope,1523718805926,751750296998952,-0.0109083075,0.09679596,0.037088245
android.sensor.gyroscope,1523718805946,751750316991140,-0.011170107,0.10279989,0.0567232
android.sensor.gyroscope,1523718805966,751750336981765,-0.014451326,0.11206759,0.06435029
android.sensor.gyroscope,1523718805986,751750356973952,-0.01308997,0.10143854,0.05862561
android.sensor.gyroscope,1523718806006,751750376994265,-0.011170107,0.07934267,0.03544764
android.sensor.gyroscope,1523718806026,751750396984890,-0.0038048178,0.034627333,0.01881465
android.sensor.gyroscope,1523718806046,751750416977077,-0.0021816615,0.042533673,0.036529742
android.sensor.gyroscope,1523718806066,751750436998952,-0.0035430184,0.04935791,0.04717625
android.sensor.gyroscope,1523718806086,751750456989577,0.0,0.0,0.0
android.sensor.gyroscope,1523718806106,751750476980202,0.0,0.0,0.0
android.sensor.gyroscope,1523718806126,751750497003640,0.0,0.0,0.0
android.sensor.gyroscope,1523718806146,751750516994265,0.017715093,-0.09707521,-0.14507176
android.sensor.gyroscope,1523718806166,751750536984890,0.007906342,-0.1308997,-0.21380283
android.sensor.gyroscope,1523718806186,751750556975515,-0.044715334,-0.4063301,-1.1180928
android.sensor.gyroscope,1523718806206,751750576997390,-0.025621433,-1.0769205,-2.7674289
android.sensor.gyroscope,1523718806226,751750596989577,0.11534881,-1.8915006,-4.438582
android.sensor.gyroscope,1523718806246,751750616980202,0.27761206,-2.2727327,-5.0399
android.sensor.gyroscope,1523718806266,751750637002077,0.25197318,-2.2588227,-4.7312036
android.sensor.gyroscope,1523718806286,751750656992702,0.061627574,-1.744509,-3.0210428
android.sensor.gyroscope,1523718806307,751750676983327,-0.12597786,-1.0638305,-1.0507406
android.sensor.gyroscope,1523718806326,751750696975515,-0.054803338,-0.20916025,1.1216358
android.sensor.gyroscope,1523718806346,751750716997390,0.33705798,0.61467004,3.1404932
android.sensor.gyroscope,1523718806366,751750736988015,0.769568,0.8107578,4.018062
android.sensor.gyroscope,1523718806386,751750756978640,1.1453723,0.7491128,4.296774
android.sensor.gyroscope,1523718806406,751750777000515,1.5416144,0.77965605,4.5372977
android.sensor.gyroscope,1523718806426,751750796992702,1.9149404,0.3736052,4.4702244
android.sensor.gyroscope,1523718806446,751750816983327,2.2383847,-0.6779382,4.095782
android.sensor.gyroscope,1523718806466,751750836973952,2.7731535,-2.0529435,3.7900872
android.sensor.gyroscope,1523718806486,751750856995827,3.3782942,-3.1890306,3.7189126
android.sensor.gyroscope,1523718806507,751750876986452,3.8446288,-3.830439,3.8149056
android.sensor.gyroscope,1523718806526,751750896978640,4.1677766,-4.018062,3.9444442
android.sensor.gyroscope,1523718806546,751750917000515,4.4513927,-3.9951634,3.9717062
android.sensor.gyroscope,1523718806566,751750936991140,4.726561,-3.9458055,3.8402653
android.sensor.gyroscope,1523718806586,751750956981765,4.877375,-3.8645256,3.6695547
android.sensor.gyroscope,1523718806607,751750976973952,4.978552,-3.681004,3.528288
android.sensor.gyroscope,1523718806626,751750996994265,5.0759063,-3.4524708,3.3327587
android.sensor.gyroscope,1523718806645,751751016986452,5.066359,-3.286385,3.0766838
android.sensor.gyroscope,1523718806666,751751036977077,4.999548,-2.99132,2.8121617
android.sensor.gyroscope,1523718806686,751751056998952,4.9507313,-2.5506241,2.559089
android.sensor.gyroscope,1523718806707,751751076989577,4.8530974,-2.1102078,2.2773755
android.sensor.gyroscope,1523718806726,751751096980202,4.7036624,-1.8410431,2.0439377
android.sensor.gyroscope,1523718806745,751751116972390,4.505393,-1.817324,1.9326729
android.sensor.gyroscope,1523718806765,751751136994265,4.2681327,-2.036293,1.9146786
android.sensor.gyroscope,1523718806786,751751156984890,3.9722471,-2.3660033,1.8934029
android.sensor.gyroscope,1523718806807,751751176975515,3.6826446,-2.5947983,1.8396817
android.sensor.gyroscope,1523718806825,751751196997390,3.483555,-2.5882535,1.7796773
android.sensor.gyroscope,1523718806845,751751216989577,3.3992906,-2.3376417,1.6815026
android.sensor.gyroscope,1523718806866,751751236978640,3.3537548,-1.920665,1.553343
android.sensor.gyroscope,1523718806886,751751257002077,3.3924837,-1.3057157,1.4109765
android.sensor.gyroscope,1523718806907,751751276992702,3.4268317,-0.5754002,1.2364436
android.sensor.gyroscope,1523718806926,751751296983327,3.3343818,0.021816615,1.0136523
android.sensor.gyroscope,1523718806946,751751316975515,3.2506757,0.5996777,0.81375974
android.sensor.gyroscope,1523718806966,751751336997390,3.24167,1.2522737,0.62367594
android.sensor.gyroscope,1523718806986,751751356988015,3.1500401,1.6738755,0.3736052
android.sensor.gyroscope,1523718807006,751751376978640,2.9141414,1.7267764,0.04935791
android.sensor.gyroscope,1523718807025,751751397000515,2.6474376,1.5167959,-0.33215362
android.sensor.gyroscope,1523718807045,751751416992702,2.6474376,1.5167959,-0.33215362
android.sensor.gyroscope,1523718807066,751751436983327,3.2697523,2.2233748,-0.7166671
android.sensor.gyroscope,1523718807086,751751456973952,2.8857796,1.24435,-0.94301885
android.sensor.gyroscope,1523718807106,751751476995827,2.158466,0.05862561,-1.6673305
android.sensor.gyroscope,1523718807126,751751496986452,1.6992351,-0.52958524,-1.9051316
android.sensor.gyroscope,1523718807146,751751516978640,1.919583,-0.39868554,-1.6125097
android.sensor.gyroscope,1523718807166,751751537000515,1.6517797,-0.95038414,-1.8170449
