Sensor, CurrentTimeMs, SensorTimestampNano, X, Y, Z
android.sensor.accelerometer,1523718870045,751814416997390,0.31603462,5.6407394,7.929596
android.sensor.accelerometer,1523718870064,751814436989577,0.46926352,5.6407394,7.9008656
android.sensor.accelerometer,1523718870084,751814456978640,0.47884035,5.66947,7.9104424
android.sensor.accelerometer,1523718870104,751814477002077,0.38307226,5.66947,7.824251
android.sensor.accelerometer,1523718870124,751814496992702,0.23942018,5.6407394,7.8625584
android.sensor.accelerometer,1523718870144,751814516983327,0.16280572,5.6407394,7.97748
android.sensor.accelerometer,1523718870164,751814536975515,0.30645782,5.6215854,8.015787
android.sensor.accelerometer,1523718870184,751814556995827,0.51714754,5.592855,7.9966335
android.sensor.accelerometer,1523718870204,751814576988015,0.545878,5.66947,8.054094
android.sensor.accelerometer,1523718870224,751814596978640,0.4405331,5.7269306,8.025364
android.sensor.accelerometer,1523718870244,751814617002077,0.45968673,5.7269306,7.9583263
android.sensor.accelerometer,1523718870264,751814636992702,0.4405331,5.602432,8.00621
android.sensor.accelerometer,1523718870284,751814656983327,0.22984336,5.650316,8.178593
android.sensor.accelerometer,1523718870304,751814676973952,0.1436521,5.631162,8.073248
android.sensor.accelerometer,1523718870324,751814696995827,0.2681506,5.6120086,7.728483
android.sensor.accelerometer,1523718870344,751814716986452,0.29688102,5.5737014,7.651869
android.sensor.accelerometer,1523718870364,751814736977077,0.37349546,5.4779334,8.101978
android.sensor.accelerometer,1523718870384,751814757000515,0.38307226,5.506664,8.408437
android.sensor.accelerometer,1523718870404,751814776991140,0.24899697,5.583278,7.9391727
android.sensor.accelerometer,1523718870424,751814796981765,0.17238252,5.7269306,7.5848308
android.sensor.accelerometer,1523718870444,751814816972390,0.40222588,5.803545,7.3071036
android.sensor.accelerometer,1523718870464,751814836994265,0.61291564,5.7269306,7.0581064
android.sensor.accelerometer,1523718870484,751814856986452,0.41180268,5.7748146,6.3111157
android.sensor.accelerometer,1523718870504,751814876977077,0.25857377,5.7748146,6.6079965
android.sensor.accelerometer,1523718870524,751814896998952,1.283292,5.9663506,7.192182
android.sensor.accelerometer,1523718870544,751814916989577,3.5913026,6.3302693,7.2209125
android.sensor.accelerometer,1523718870564,751814936980202,7.2113357,7.422025,5.439626
android.sensor.accelerometer,1523718870584,751814957002077,8.6095495,8.408437,1.541866
android.sensor.accelerometer,1523718870604,751814976994265,11.051635,9.069236,3.1411927
android.sensor.accelerometer,1523718870624,751814996984890,12.239159,9.701305,3.821146
android.sensor.accelerometer,1523718870644,751815016977077,15.102624,9.950302,2.27928
android.sensor.accelerometer,1523718870664,751815036997390,15.916653,9.356541,5.66947
android.sensor.accelerometer,1523718870684,751815056988015,14.652514,7.8050976,15.064317
android.sensor.accelerometer,1523718870704,751815076980202,14.135366,6.6846113,22.218191
android.sensor.accelerometer,1523718870724,751815097002077,13.713987,5.9567738,24.076092
android.sensor.accelerometer,1523718870744,751815116992702,13.01488,4.9320555,26.374525
android.sensor.accelerometer,1523718870764,751815136983327,12.928689,2.2409728,24.784777
android.sensor.accelerometer,1523718870784,751815156975515,12.488156,-2.2505496,24.152706
android.sensor.accelerometer,1523718870804,751815176997390,10.802638,-7.5465236,33.997665
android.sensor.accelerometer,1523718870824,751815196988015,4.4244847,-7.603985,36.343983
android.sensor.accelerometer,1523718870844,751815216978640,1.8100165,-5.3821654,26.929981
android.sensor.accelerometer,1523718870864,751815237002077,3.4572272,-5.391742,17.075447
android.sensor.accelerometer,1523718870884,751815256992702,3.715801,-4.4340615,16.280571
android.sensor.accelerometer,1523718870904,751815276983327,3.4955344,-2.8060043,19.651608
android.sensor.accelerometer,1523718870924,751815296973952,1.982399,-2.336741,20.733788
android.sensor.accelerometer,1523718870944,751815316995827,-0.6512229,-2.585738,13.905523
android.sensor.accelerometer,1523718870964,751815336986452,-2.4995465,-2.4037786,6.6271505
android.sensor.accelerometer,1523718870984,751815356978640,-2.9017725,-2.719813,4.7309427
android.sensor.accelerometer,1523718871004,751815377000515,-4.060566,-3.9935284,6.0142345
android.sensor.accelerometer,1523718871024,751815396991140,-6.2823853,-5.1140146,6.253655
android.sensor.accelerometer,1523718871044,751815416981765,-9.030929,-6.0238113,6.129156
android.sensor.accelerometer,1523718871064,751815436973952,-9.662998,-6.991069,6.4739213
android.sensor.accelerometer,1523718871084,751815456994265,-7.73806,-8.207323,5.5258174
android.sensor.accelerometer,1523718871104,751815476984890,-5.48751,-9.174581,4.0797195
android.sensor.accelerometer,1523718871124,751815496977077,-4.6926355,-9.433155,2.72939
android.sensor.accelerometer,1523718871144,751815516998952,-4.596867,-9.040505,-0.35434186
android.sensor.accelerometer,1523718871164,751815536989577,-3.8402996,-8.42759,-4.060566
android.sensor.accelerometer,1523718871184,751815556980202,-2.8443117,-7.6231384,-5.2480903
android.sensor.accelerometer,1523718871204,751815576972390,-1.0055647,-7.699753,-4.3478703
android.sensor.accelerometer,1523718871224,751815596994265,0.7565677,-7.680599,-4.3861775
android.sensor.accelerometer,1523718871244,751815616984890,1.6472107,-8.2169,-4.0318356
android.sensor.accelerometer,1523718871264,751815636977077,3.5242648,-9.107543,-5.5641246
android.sensor.accelerometer,1523718871284,751815656998952,5.554548,-8.983045,-7.4603324
android.sensor.accelerometer,1523718871304,751815676989577,10.1226845,-9.212888,-8.255207
android.sensor.accelerometer,1523718871324,751815696980202,13.742718,-9.260772,-9.835381
android.sensor.accelerometer,1523718871344,751815717002077,13.484144,-8.6095495,-14.106636
android.sensor.accelerometer,1523718871364,751815736992702,11.233594,-8.7053175,-13.781025
android.sensor.accelerometer,1523718871384,751815756983327,13.464991,-9.3182335,-10.821792
