Sensor, CurrentTimeMs, SensorTimestampNano, X, Y, Z
android.sensor.gyroscope,1523718855205,751799576973952,-0.021537364,-0.036808994,-0.053441983
android.sensor.gyroscope,1523718855226,751799596995827,-0.018256145,-0.059445914,-0.09189159
android.sensor.gyroscope,1523718855246,751799616986452,-0.00572468,-0.059166662,-0.093811445
android.sensor.gyroscope,1523718855266,751799636977077,-0.0027227136,-0.04335398,-0.06462954
android.sensor.gyroscope,1523718855286,751799657000515,0.0,0.0,0.0
android.sensor.gyroscope,1523718855306,751799676991140,0.0,0.0,0.0
android.sensor.gyroscope,1523718855326,751799696981765,0.0,-0.048799407,-0.07253588
android.sensor.gyroscope,1523718855346,751799716973952,2.6179937E-4,-0.047996555,-0.07335619
android.sensor.gyroscope,1523718855366,751799736995827,2.6179937E-4,-0.042533673,-0.06544985
android.sensor.gyroscope,1523718855386,751799756986452,-2.6179937E-4,-0.037350047,-0.057264253
android.sensor.gyroscope,1523718855406,751799776977077,0.00572468,-0.040893063,-0.0662527
android.sensor.gyroscope,1523718855426,751799796998952,0.0076270886,-0.028082348,-0.047996555
android.sensor.gyroscope,1523718855446,751799816991140,0.0,0.0,0.0
android.sensor.gyroscope,1523718855466,751799836981765,0.0,0.0,0.0
android.sensor.gyroscope,1523718855486,751799856972390,0.0,0.0,0.0
android.sensor.gyroscope,1523718855506,751799876994265,0.0,0.0,0.0
android.sensor.gyroscope,1523718855526,751799896986452,0.0,0.0,0.0
android.sensor.gyroscope,1523718855546,751799916977077,0.0,0.0,0.0
android.sensor.gyroscope,1523718855566,751799936998952,0.0,0.0,0.0
android.sensor.gyroscope,1523718855586,751799956989577,0.0,0.0,0.0
android.sensor.gyroscope,1523718855606,751799976980202,0.0,0.0,0.0
android.sensor.gyroscope,1523718855626,751799997003640,0.04171337,-0.03817035,-0.038449604
android.sensor.gyroscope,1523718855646,751800016994265,0.08644616,-0.07579965,-0.09979793
android.sensor.gyroscope,1523718855666,751800036984890,0.12761848,-0.09817477,-0.12571606
android.sensor.gyroscope,1523718855686,751800056975515,0.18762289,-0.13007939,-0.08970992
android.sensor.gyroscope,1523718855705,751800076997390,0.33351496,-0.208881,0.22851595
android.sensor.gyroscope,1523718855726,751800096989577,0.4524068,-0.2795145,0.55414206
android.sensor.gyroscope,1523718855746,751800116978640,0.5614899,-0.36896262,0.7750309
android.sensor.gyroscope,1523718855766,751800137002077,0.60349995,-0.44860196,1.1090869
android.sensor.gyroscope,1523718855786,751800156992702,0.5631305,-0.48541096,1.3081766
android.sensor.gyroscope,1523718855806,751800176983327,0.4747819,-0.49850094,1.3763492
android.sensor.gyroscope,1523718855827,751800196973952,0.3697829,-0.5031435,1.3796129
android.sensor.gyroscope,1523718855846,751800216995827,0.23506095,-0.45104542,1.3940817
android.sensor.gyroscope,1523718855866,751800236988015,0.07443829,-0.37742746,1.4235255
android.sensor.gyroscope,1523718855886,751800256978640,-0.09653416,-0.29070204,1.3888981
android.sensor.gyroscope,1523718855906,751800277000515,-0.2609791,-0.2170666,1.320708
android.sensor.gyroscope,1523718855926,751800296992702,-0.40032616,-0.15489797,1.2552582
android.sensor.gyroscope,1523718855946,751800316983327,-0.4982217,-0.0951728,1.2258146
android.sensor.gyroscope,1523718855966,751800336973952,-0.59041,-0.005986479,1.2759928
android.sensor.gyroscope,1523718855986,751800356995827,-0.6542192,0.12952088,1.4788873
android.sensor.gyroscope,1523718856006,751800376986452,-0.6798581,0.26506317,1.7802359
android.sensor.gyroscope,1523718856027,751800396978640,-0.6340432,0.3946015,2.168013
android.sensor.gyroscope,1523718856046,751800417000515,-0.50940925,0.51731557,2.6842465
android.sensor.gyroscope,1523718856066,751800436991140,-0.3187844,0.62121505,3.2114058
android.sensor.gyroscope,1523718856086,751800456981765,-0.06244788,0.73466146,3.9097993
android.sensor.gyroscope,1523718856106,751800476972390,0.22961551,0.8571137,4.8555584
android.sensor.gyroscope,1523718856127,751800496995827,0.46169195,0.9059306,5.721399
android.sensor.gyroscope,1523718856146,751800516984890,0.58548814,0.90538955,6.1675572
android.sensor.gyroscope,1523718856166,751800536977077,0.5983163,0.84866637,6.3644476
android.sensor.gyroscope,1523718856186,751800556998952,0.54513615,0.7897615,6.454716
android.sensor.gyroscope,1523718856206,751800576991140,0.43032837,0.7234913,6.4361634
android.sensor.gyroscope,1523718856226,751800596980202,0.23752186,0.6446723,6.3142695
android.sensor.gyroscope,1523718856246,751800617003640,0.019634955,0.6294006,6.1329126
android.sensor.gyroscope,1523718856266,751800636994265,-0.23752186,0.5814041,5.8004794
android.sensor.gyroscope,1523718856286,751800656983327,-0.48705158,0.54105204,5.390327
android.sensor.gyroscope,1523718856306,751800676975515,-0.7136651,0.49359655,4.9665437
android.sensor.gyroscope,1523718856327,751800696997390,-0.9301907,0.40168753,4.512479
android.sensor.gyroscope,1523718856346,751800716988015,-1.1846422,0.29614747,4.09552
android.sensor.gyroscope,1523718856366,751800736980202,-1.5137938,0.14807373,3.7063637
android.sensor.gyroscope,1523718856386,751800757002077,-1.900489,-0.052621678,3.338204
android.sensor.gyroscope,1523718856406,751800776992702,-2.2727327,-0.4000469,3.012316
android.sensor.gyroscope,1523718856427,751800796983327,-2.5492628,-0.894743,2.7750735
android.sensor.gyroscope,1523718856446,751800816975515,-2.8446074,-1.5287863,2.6155329
android.sensor.gyroscope,1523718856466,751800836997390,-3.1061275,-2.6807036,2.6395311
android.sensor.gyroscope,1523718856486,751800856988015,-2.972226,-4.4617596,2.8004332
android.sensor.gyroscope,1523718856506,751800876978640,-2.3635423,-6.145182,2.6689749
android.sensor.gyroscope,1523718856526,751800897000515,-1.7139657,-6.8618665,2.1227567
android.sensor.gyroscope,1523718856546,751800916991140,-1.2634438,-6.89049,1.5094305
android.sensor.gyroscope,1523718856566,751800936983327,-0.99401736,-6.625706,0.9888337
android.sensor.gyroscope,1523718856586,751800956973952,-0.8344768,-6.22346,0.5230403
android.sensor.gyroscope,1523718856606,751800976995827,-0.78483963,-5.7827644,0.12707742
android.sensor.gyroscope,1523718856627,751800996986452,-0.7799353,-5.286707,-0.15652113
android.sensor.gyroscope,1523718856646,751801016977077,-0.78565997,-4.7262816,-0.35615188
android.sensor.gyroscope,1523718856666,751801037000515,-0.8273908,-4.1762414,-0.48268825
android.sensor.gyroscope,1523718856686,751801056991140,-0.88001245,-3.6870081,-0.5620484
android.sensor.gyroscope,1523718856706,751801076981765,-0.9187413,-3.211947,-0.59259164
android.sensor.gyroscope,1523718856726,751801096972390,-0.9520073,-2.7707102,-0.5754002
android.sensor.gyroscope,1523718856746,751801116994265,-0.9640151,-2.3422842,-0.5238606
android.sensor.gyroscope,1523718856766,751801136986452,-0.9424778,-1.9741244,-0.47396162
android.sensor.gyroscope,1523718856786,751801156977077,-0.9269269,-1.6692328,-0.42350414
android.sensor.gyroscope,1523718856806,751801176998952,-0.9293878,-1.4221641,-0.3645993
android.sensor.gyroscope,1523718856827,751801196989577,-0.92800903,-1.1718141,-0.3021514
android.sensor.gyroscope,1523718856846,751801216980202,-0.8759284,-0.93673563,-0.31660274
android.sensor.gyroscope,1523718856866,751801236972390,-0.85793406,-0.7297571,-0.3498687
android.sensor.gyroscope,1523718856886,751801256994265,-0.8077558,-0.54703856,-0.37442547
android.sensor.gyroscope,1523718856906,751801276984890,-0.6651275,-0.4055098,-0.42760566
android.sensor.gyroscope,1523718856927,751801296975515,-0.50913,-0.3013311,-0.5151339
android.sensor.gyroscope,1523718856946,751801316997390,-0.25987953,-0.27679175,-0.63268185
android.sensor.gyroscope,1523718856966,751801336989577,0.1510757,-0.33161256,-0.78948224
android.sensor.gyroscope,1523718856986,751801356980202,0.6190334,-0.44532076,-0.9495638
android.sensor.gyroscope,1523718857005,751801377002077,1.1088251,-0.59149206,-1.0900105
android.sensor.gyroscope,1523718857027,751801396992702,1.5767828,-0.716126,-1.2138066
android.sensor.gyroscope,1523718857047,751801416983327,1.9045905,-0.7859392,-1.2858015
android.sensor.gyroscope,1523718857067,751801436975515,2.0892115,-0.8118399,-1.2988914
android.sensor.gyroscope,1523718857087,751801456997390,2.2637444,-0.81019926,-1.2708092
android.sensor.gyroscope,1523718857107,751801476988015,2.3523722,-0.7376634,-1.194451
android.sensor.gyroscope,1523718857129,751801496980202,2.325913,-0.62557834,-1.0850886
android.sensor.gyroscope,1523718857147,751801517000515,2.2471113,-0.51131165,-1.0005623
android.sensor.gyroscope,1523718857167,751801536992702,2.091655,-0.38477528,-0.94492126
android.sensor.gyroscope,1523718857187,751801556983327,1.8647621,-0.27761206,-0.90538955
android.sensor.gyroscope,1523718857207,751801576973952,1.6163319,-0.19715239,-0.88711596
android.sensor.gyroscope,1523718857227,751801596995827,1.3580756,-0.12243485,-0.90647167
android.sensor.gyroscope,1523718857246,751801616986452,1.052102,-0.07716101,-0.97246253
android.sensor.gyroscope,1523718857266,751801636978640,0.6899461,-0.08180358,-1.0973758
android.sensor.gyroscope,1523718857286,751801657000515,0.30761427,-0.08562585,-1.2135448
android.sensor.gyroscope,1523718857306,751801676991140,-0.024260076,-0.08098327,-1.3452649
android.sensor.gyroscope,1523718857327,751801696981765,-0.32614967,-0.08208284,-1.4480648
android.sensor.gyroscope,1523718857346,751801716972390,-0.634305,-0.09599311,-1.5691557
android.sensor.gyroscope,1523718857366,751801736995827,-1.2230918,-0.31660274,-1.7537767
android.sensor.gyroscope,1523718857386,751801756984890,-2.3141844,-0.8767487,-1.860137
android.sensor.gyroscope,1523718857406,751801776977077,-3.8948069,-1.8421252,-1.5587884
android.sensor.gyroscope,1523718857426,751801796998952,-5.421429,-3.2002182,-0.71830773
android.sensor.gyroscope,1523718857446,751801816991140,-6.0865564,-4.4282146,-0.020717058
