Sensor, CurrentTimeMs, SensorTimestampNano, X, Y, Z
android.sensor.accelerometer,1523718934526,751878896989577,1.3982137,6.3206925,7.651869
android.sensor.accelerometer,1523718934544,751878916980202,1.4173675,6.301539,7.680599
android.sensor.accelerometer,1523718934564,751878937002077,1.7429788,6.2728086,7.5561004
android.sensor.accelerometer,1523718934584,751878956992702,1.6950948,6.349423,7.2209125
android.sensor.accelerometer,1523718934604,751878976983327,1.436521,6.397307,7.019799
android.sensor.accelerometer,1523718934624,751878996975515,1.1587936,6.397307,7.019799
android.sensor.accelerometer,1523718934644,751879016997390,1.091756,6.3589997,6.943185
android.sensor.accelerometer,1523718934664,751879036986452,1.4173675,6.253655,6.895301
android.sensor.accelerometer,1523718934684,751879056978640,1.3694834,6.167464,7.1347213
android.sensor.accelerometer,1523718934704,751879077000515,1.1109096,6.196194,7.4986396
android.sensor.accelerometer,1523718934724,751879096991140,1.2545617,6.2728086,7.4986396
android.sensor.accelerometer,1523718934744,751879116983327,1.541866,6.2823853,7.249643
android.sensor.accelerometer,1523718934764,751879136973952,1.436521,6.3781533,6.991069
android.sensor.accelerometer,1523718934784,751879156995827,1.2641385,6.4643445,7.1826053
android.sensor.accelerometer,1523718934804,751879176986452,1.1492168,6.4164605,7.431602
android.sensor.accelerometer,1523718934824,751879196977077,1.0342951,6.339846,8.274361
android.sensor.accelerometer,1523718934844,751879217000515,1.0630256,6.3206925,8.283937
android.sensor.accelerometer,1523718934864,751879236989577,1.1300632,6.5984197,7.8912888
android.sensor.accelerometer,1523718934884,751879256981765,1.3790601,6.646304,7.1251445
android.sensor.accelerometer,1523718934904,751879276972390,1.1109096,6.7229185,6.7229185
android.sensor.accelerometer,1523718934924,751879296994265,0.82360536,7.1155677,7.4028716
android.sensor.accelerometer,1523718934944,751879316986452,1.5705963,7.699753,8.111555
android.sensor.accelerometer,1523718934964,751879336977077,1.6567876,8.686164,8.2169
android.sensor.accelerometer,1523718934984,751879356998952,2.1643584,9.270349,9.337387
android.sensor.accelerometer,1523718935004,751879376989577,1.6759412,10.218452,11.9135475
android.sensor.accelerometer,1523718935024,751879396980202,1.4173675,12.698846,12.497733
android.sensor.accelerometer,1523718935044,751879417002077,3.620033,15.322891,11.779472
android.sensor.accelerometer,1523718935064,751879436994265,5.6790466,15.868769,12.698846
android.sensor.accelerometer,1523718935084,751879456984890,5.1235914,15.658079,15.74427
android.sensor.accelerometer,1523718935104,751879476975515,3.7253778,15.02601,17.937359
android.sensor.accelerometer,1523718935124,751879496998952,2.0973208,15.792154,17.496826
android.sensor.accelerometer,1523718935144,751879516989577,2.27928,15.456966,16.443377
android.sensor.accelerometer,1523718935164,751879536980202,1.1013328,13.072341,15.993267
android.sensor.accelerometer,1523718935184,751879557002077,-0.9864111,9.643845,15.897499
android.sensor.accelerometer,1523718935204,751879576992702,-1.5993267,5.497087,14.54717
android.sensor.accelerometer,1523718935224,751879596983327,-1.5705963,2.2026656,12.50731
android.sensor.accelerometer,1523718935244,751879616975515,-2.2409728,-0.1340753,8.561666
android.sensor.accelerometer,1523718935264,751879636995827,-3.8977604,-1.340753,4.146757
android.sensor.accelerometer,1523718935284,751879656988015,-4.8458643,-2.930503,2.6623523
android.sensor.accelerometer,1523718935304,751879676978640,-3.6774938,-4.960786,3.514688
android.sensor.accelerometer,1523718935324,751879697002077,0.63206923,-6.895301,3.4093432
android.sensor.accelerometer,1523718935344,751879716991140,0.48841715,-7.632715,1.3599066
android.sensor.accelerometer,1523718935364,751879736981765,-1.3982137,-7.967903,-1.7046716
android.sensor.accelerometer,1523718935384,751879756973952,-3.715801,-9.337387,-3.2752678
android.sensor.accelerometer,1523718935404,751879776995827,-7.9966335,-10.783484,-5.267244
android.sensor.accelerometer,1523718935424,751879796986452,-9.404425,-12.382812,-8.015787
