Sensor, CurrentTimeMs, SensorTimestampNano, X, Y, Z
android.sensor.gyroscope,1523718942705,751887076998952,-0.020437805,0.019076448,-0.08290314
android.sensor.gyroscope,1523718942726,751887096989577,-0.016353736,0.012269665,-0.0752586
android.sensor.gyroscope,1523718942746,751887116981765,-0.019896753,0.01881465,-0.06270968
android.sensor.gyroscope,1523718942766,751887136972390,-0.026441738,0.028902652,-0.056164697
android.sensor.gyroscope,1523718942786,751887156994265,-0.027803095,0.037088245,-0.050178215
android.sensor.gyroscope,1523718942806,751887176984890,0.0,0.0,0.0
android.sensor.gyroscope,1523718942826,751887196975515,0.0,0.0,0.0
android.sensor.gyroscope,1523718942845,751887216998952,-0.022078415,0.032166418,-0.006544985
android.sensor.gyroscope,1523718942866,751887236989577,-0.036529742,0.057805303,0.0035430184
android.sensor.gyroscope,1523718942886,751887256980202,-0.022078415,0.03244567,0.0035430184
android.sensor.gyroscope,1523718942906,751887277003640,-0.02453933,0.031084314,0.002443461
android.sensor.gyroscope,1523718942926,751887296992702,-0.026720991,0.0283616,0.006806784
android.sensor.gyroscope,1523718942946,751887316984890,-0.02480113,0.0283616,0.012269665
android.sensor.gyroscope,1523718942966,751887336975515,-0.038711403,0.038711403,0.012531464
android.sensor.gyroscope,1523718942986,751887356997390,-0.037350047,0.03598869,0.021537364
android.sensor.gyroscope,1523718943006,751887376988015,-0.037891097,0.031346112,0.02698279
android.sensor.gyroscope,1523718943026,751887396980202,0.0,0.0,0.0
android.sensor.gyroscope,1523718943046,751887417002077,-0.029443704,0.020717058,0.016074482
android.sensor.gyroscope,1523718943066,751887436992702,-0.020996312,0.016632987,0.029164452
android.sensor.gyroscope,1523718943086,751887456983327,-0.025900686,0.016632987,0.09080948
android.sensor.gyroscope,1523718943106,751887476975515,0.006544985,-0.033527777,0.08970992
android.sensor.gyroscope,1523718943126,751887496995827,0.1595231,-0.30243066,0.02617994
android.sensor.gyroscope,1523718943146,751887516988015,0.23860396,-0.42868778,0.016353736
android.sensor.gyroscope,1523718943166,751887536978640,0.31278044,-0.5334075,-0.044436082
android.sensor.gyroscope,1523718943186,751887557000515,0.36295867,-0.5906718,-0.08152433
android.sensor.gyroscope,1523718943206,751887576991140,0.37088245,-0.57868135,-0.08398525
android.sensor.gyroscope,1523718943227,751887596981765,0.33079225,-0.4712389,0.014992379
android.sensor.gyroscope,1523718943246,751887616973952,0.25961772,-0.29588565,0.12815952
android.sensor.gyroscope,1523718943266,751887636995827,0.18598229,-0.08806931,0.20533799
android.sensor.gyroscope,1523718943286,751887656986452,0.12461651,0.17425367,0.32532936
android.sensor.gyroscope,1523718943306,751887676977077,0.037350047,0.5383119,0.5958554
android.sensor.gyroscope,1523718943327,751887696998952,-0.050440013,1.0000038,1.0542836
android.sensor.gyroscope,1523718943346,751887716991140,-0.09489355,1.4017088,1.4799694
android.sensor.gyroscope,1523718943366,751887736981765,-0.07716101,1.6433322,1.7698686
android.sensor.gyroscope,1523718943386,751887756972390,-0.12461651,2.0401154,2.2610042
android.sensor.gyroscope,1523718943406,751887776994265,-0.30187213,2.5293486,3.0134156
android.sensor.gyroscope,1523718943426,751887796984890,-0.4532271,2.605445,3.4178433
android.sensor.gyroscope,1523718943446,751887816977077,-0.5680348,2.4658186,3.5318308
android.sensor.gyroscope,1523718943466,751887836998952,-0.6561216,2.2141073,3.489559
android.sensor.gyroscope,1523718943486,751887856989577,-0.7425678,1.9716636,3.423568
android.sensor.gyroscope,1523718943506,751887876980202,-0.8729264,1.7417687,3.3537548
android.sensor.gyroscope,1523718943527,751887897002077,-1.0534632,1.475065,3.252578
android.sensor.gyroscope,1523718943546,751887916994265,-1.2814382,1.2135448,3.1301258
android.sensor.gyroscope,1523718943566,751887936984890,-1.620416,1.1671889,3.002228
android.sensor.gyroscope,1523718943586,751887956975515,-2.183564,1.280356,2.823611
android.sensor.gyroscope,1523718943606,751887976997390,-3.0554082,1.5906931,2.503448
android.sensor.gyroscope,1523718943627,751887996988015,-4.135872,2.105024,1.8764907
android.sensor.gyroscope,1523718943646,751888016980202,-4.979634,2.7979722,1.0073692
android.sensor.gyroscope,1523718943666,751888037002077,-5.2779803,3.3774738,0.14753269
android.sensor.gyroscope,1523718943686,751888056992702,-5.1699796,3.8389041,-0.52768284
android.sensor.gyroscope,1523718943706,751888076983327,-4.917186,4.207605,-0.9743824
android.sensor.gyroscope,1523718943726,751888096973952,-4.653484,4.4020343,-1.2230918
android.sensor.gyroscope,1523718943746,751888116997390,-4.3589597,4.4443064,-1.4494262
android.sensor.gyroscope,1523718943766,751888136988015,-4.0717835,4.4094,-1.6051444
android.sensor.gyroscope,1523718943786,751888156978640,-3.815726,4.380497,-1.6438732
android.sensor.gyroscope,1523718943806,751888177000515,-3.591556,4.3224125,-1.6125097
android.sensor.gyroscope,1523718943826,751888196991140,-3.3602998,4.2005014,-1.5814254
android.sensor.gyroscope,1523718943846,751888216983327,-3.1238601,4.04234,-1.566974
android.sensor.gyroscope,1523718943866,751888236973952,-2.9943218,3.9430652,-1.5088894
android.sensor.gyroscope,1523718943886,751888256995827,-2.9662395,3.8860803,-1.4303497
android.sensor.gyroscope,1523718943906,751888276986452,-2.972505,3.8138063,-1.3583548
android.sensor.gyroscope,1523718943927,751888296977077,-2.9460459,3.6989985,-1.3553529
android.sensor.gyroscope,1523718943946,751888316998952,-2.8446074,3.5610127,-1.4025291
android.sensor.gyroscope,1523718943966,751888336991140,-2.7802396,3.433115,-1.4153398
android.sensor.gyroscope,1523718943986,751888356981765,-2.7854233,3.344208,-1.4066132
android.sensor.gyroscope,1523718944006,751888376972390,-2.8047965,3.2577617,-1.3711655
android.sensor.gyroscope,1523718944026,751888396994265,-2.7565207,3.2013004,-1.4273477
android.sensor.gyroscope,1523718944046,751888416984890,-2.6828852,3.2708516,-1.6580628
android.sensor.gyroscope,1523718944066,751888436977077,-2.6477168,3.4143004,-1.9362159
android.sensor.gyroscope,1523718944086,751888456998952,-2.5972593,3.6370916,-2.289104
android.sensor.gyroscope,1523718944106,751888476989577,-2.523624,3.8778946,-2.6098082
android.sensor.gyroscope,1523718944127,751888496980202,-2.479729,3.966802,-2.764427
android.sensor.gyroscope,1523718944146,751888517002077,-2.4524493,3.8361638,-2.7199736
android.sensor.gyroscope,1523718944166,751888536994265,-2.3809955,3.6204586,-2.6013434
android.sensor.gyroscope,1523718944186,751888556984890,-2.2334628,3.440201,-2.4568126
android.sensor.gyroscope,1523718944206,751888576975515,-2.1129305,3.1492198,-2.2201111
android.sensor.gyroscope,1523718944226,751888596997390,-2.0594885,2.7169714,-1.920665
android.sensor.gyroscope,1523718944246,751888616989577,-1.9842125,2.3575559,-1.6572425
android.sensor.gyroscope,1523718944266,751888636980202,-1.850049,2.1328447,-1.4409788
android.sensor.gyroscope,1523718944286,751888657002077,-1.7101434,1.9304912,-1.2337209
android.sensor.gyroscope,1523718944306,751888676992702,-1.6509593,1.622877,-0.9034697
android.sensor.gyroscope,1523718944326,751888696983327,-1.5945153,1.3627182,-0.5549449
android.sensor.gyroscope,1523718944346,751888716975515,-1.5034267,1.1922693,-0.20397663
android.sensor.gyroscope,1523718944366,751888736995827,-1.448344,1.0024648,0.19170697
android.sensor.gyroscope,1523718944386,751888756988015,-1.4516078,0.742847,0.7412064
android.sensor.gyroscope,1523718944406,751888776980202,-1.4633363,0.4505044,1.4510667
android.sensor.gyroscope,1523718944427,751888797000515,-1.4368947,0.19006635,2.2321017
android.sensor.gyroscope,1523718944446,751888816991140,-1.2479104,0.06517059,2.8293357
android.sensor.gyroscope,1523718944466,751888836981765,-0.9495638,0.017994344,3.2351248
android.sensor.gyroscope,1523718944486,751888856973952,-0.617131,0.008726646,3.4707444
android.sensor.gyroscope,1523718944506,751888876995827,-0.34496433,-0.0051661744,3.5863724
android.sensor.gyroscope,1523718944526,751888896986452,-0.09789552,0.025900686,3.5154595
android.sensor.gyroscope,1523718944546,751888916978640,0.09107128,0.09653416,3.320489
android.sensor.gyroscope,1523718944566,751888937000515,0.19360937,0.17533578,3.0946782
android.sensor.gyroscope,1523718944586,751888956991140,0.22743386,0.26424286,2.840244
android.sensor.gyroscope,1523718944606,751888976981765,0.21052161,0.37006217,2.5484426
android.sensor.gyroscope,1523718944626,751888996972390,0.1529781,0.47342056,2.2525568
android.sensor.gyroscope,1523718944646,751889016995827,0.08834857,0.5483999,2.0289452
android.sensor.gyroscope,1523718944666,751889036984890,0.010349803,0.59803706,1.8895807
android.sensor.gyroscope,1523718944686,751889056977077,-0.059986968,0.6626666,1.6967742
android.sensor.gyroscope,1523718944706,751889076998952,-0.072797686,0.73057735,1.4254278
android.sensor.gyroscope,1523718944726,751889096989577,-0.11917108,0.7788532,1.2446291
android.sensor.gyroscope,1523718944746,751889116980202,-0.26670375,0.83147484,1.1797204
android.sensor.gyroscope,1523718944766,751889136972390,-0.4055098,0.8996474,1.0880907
android.sensor.gyroscope,1523718944786,751889156994265,-0.4365941,0.9670171,0.8451059
android.sensor.gyroscope,1523718944806,751889176984890,-0.44505897,1.0321877,0.5263215
android.sensor.gyroscope,1523718944827,751889196975515,-0.50150293,1.1080048,0.2187072
android.sensor.gyroscope,1523718944846,751889216998952,-0.51677454,1.2034569,-0.08234464
android.sensor.gyroscope,1523718944866,751889236989577,-0.42186353,1.3008113,-0.44259804
android.sensor.gyroscope,1523718944886,751889256980202,-0.26752406,1.3957049,-0.8249299
android.sensor.gyroscope,1523718944906,751889277002077,-0.10035643,1.4175215,-1.1761774
android.sensor.gyroscope,1523718944927,751889296992702,-0.07962192,1.4797076,-1.3239893
android.sensor.gyroscope,1523718944946,751889316983327,-0.41587704,1.7911441,-1.0477386
android.sensor.gyroscope,1523718944966,751889336975515,-1.1628256,2.4000895,-0.34278268
android.sensor.gyroscope,1523718944986,751889356997390,-2.2460117,3.1162155,0.6555806
android.sensor.gyroscope,1523718945005,751889376988015,-3.459295,3.7011802,1.7461321
android.sensor.gyroscope,1523718945027,751889396978640,-4.3204927,3.9362586,2.4513674
android.sensor.gyroscope,1523718945047,751889417002077,-4.7142916,3.832359,2.6638088
android.sensor.gyroscope,1523718945067,751889436992702,-4.6646543,3.508653,2.4900787
android.sensor.gyroscope,1523718945087,751889456983327,-4.3944073,3.1462178,2.15138
android.sensor.gyroscope,1523718945107,751889476973952,-3.9940639,2.893686,1.7049598
android.sensor.gyroscope,1523718945127,751889496995827,-3.6294646,2.7248952,1.2544554
android.sensor.gyroscope,1523718945147,751889516986452,-3.2730334,2.5746224,0.8091172
android.sensor.gyroscope,1523718945167,751889536978640,-2.9433231,2.523083,0.39432225
android.sensor.gyroscope,1523718945187,751889557000515,-2.61007,2.6839848,-0.056985
android.sensor.gyroscope,1523718945207,751889576991140,-2.3196473,3.0720413,-0.5263215
android.sensor.gyroscope,1523718945227,751889596981765,-2.1003816,3.6081889,-0.9986425
android.sensor.gyroscope,1523718945247,751889616973952,-1.9555717,4.0968814,-1.428168
android.sensor.gyroscope,1523718945267,751889636995827,-1.9045905,4.4374995,-1.8364005
android.sensor.gyroscope,1523718945287,751889656986452,-2.0027654,4.673922,-2.268928
android.sensor.gyroscope,1523718945307,751889676977077,-2.3008327,4.7761984,-2.780519
android.sensor.gyroscope,1523718945326,751889696998952,-2.5746224,4.565659,-3.2032201
android.sensor.gyroscope,1523718945346,751889716991140,-2.5669954,4.2588654,-3.3924837
android.sensor.gyroscope,1523718945366,751889736981765,-2.4322734,3.9291725,-3.4688418
android.sensor.gyroscope,1523718945386,751889756972390,-2.2749145,3.6019232,-3.4892797
android.sensor.gyroscope,1523718945406,751889776994265,-2.094657,3.337122,-3.4243884
android.sensor.gyroscope,1523718945427,751889796984890,-1.7832203,3.199398,-3.1110494
android.sensor.gyroscope,1523718945446,751889816975515,-1.4161601,3.0764046,-2.635709
