Sensor, CurrentTimeMs, SensorTimestampNano, X, Y, Z
android.sensor.accelerometer,1523718977329,751921696994265,-0.1340753,6.435614,7.7189064
android.sensor.accelerometer,1523718977344,751921716984890,-0.32561144,6.5026517,7.651869
android.sensor.accelerometer,1523718977364,751921736977077,-0.31603462,6.493075,7.5848308
android.sensor.accelerometer,1523718977384,751921756998952,-0.2777274,6.4164605,7.4986396
android.sensor.accelerometer,1523718977404,751921776989577,-0.2873042,6.397307,7.2113357
android.sensor.accelerometer,1523718977424,751921796980202,-0.37349546,6.3685765,7.0581064
android.sensor.accelerometer,1523718977444,751921817002077,-0.2873042,6.3685765,7.1826053
android.sensor.accelerometer,1523718977464,751921836992702,-0.2681506,6.4547677,7.3645644
android.sensor.accelerometer,1523718977484,751921856983327,-0.1340753,6.4739213,7.469909
android.sensor.accelerometer,1523718977504,751921876973952,-0.076614454,6.4643445,7.441179
android.sensor.accelerometer,1523718977524,751921896997390,-0.10534488,6.4643445,7.469909
android.sensor.accelerometer,1523718977544,751921916988015,-0.15322891,6.493075,7.5848308
android.sensor.accelerometer,1523718977564,751921936978640,-0.19153613,6.4739213,7.536947
android.sensor.accelerometer,1523718977584,751921957000515,-0.08619126,6.4547677,7.441179
android.sensor.accelerometer,1523718977604,751921976992702,-0.05746084,6.4260373,7.565677
android.sensor.accelerometer,1523718977624,751921996981765,-0.08619126,6.4547677,7.728483
android.sensor.accelerometer,1523718977644,751922016973952,-0.11492168,6.4643445,7.7189064
android.sensor.accelerometer,1523718977664,751922036995827,-0.20111294,6.4739213,7.642292
android.sensor.accelerometer,1523718977684,751922056988015,-0.2681506,6.4260373,7.4986396
android.sensor.accelerometer,1523718977704,751922076978640,-0.10534488,6.291962,7.0006456
android.sensor.accelerometer,1523718977724,751922097000515,-0.10534488,6.0621185,6.7708025
android.sensor.accelerometer,1523718977744,751922116991140,-0.39264908,5.6215854,7.1826053
android.sensor.accelerometer,1523718977764,751922136981765,0.047884032,5.4683566,5.851429
android.sensor.accelerometer,1523718977784,751922156973952,0.39264908,5.554548,3.8307228
android.sensor.accelerometer,1523718977804,751922176995827,-1.4939818,8.954314,4.4723687
android.sensor.accelerometer,1523718977824,751922196986452,-7.249643,17.659632,7.153875
android.sensor.accelerometer,1523718977844,751922216977077,-8.552089,30.559591,11.750742
