Sensor, CurrentTimeMs, SensorTimestampNano, X, Y, Z
android.sensor.gyroscope,1523718997166,751941537000515,0.0,0.0,0.0
android.sensor.gyroscope,1523718997185,751941556992702,0.0,0.0,0.0
android.sensor.gyroscope,1523718997206,751941576983327,0.0,0.0,0.0
android.sensor.gyroscope,1523718997226,751941596973952,0.0,0.0,0.0
android.sensor.gyroscope,1523718997246,751941616995827,0.0,0.0,0.0
android.sensor.gyroscope,1523718997266,751941636986452,-0.0283616,-0.019634955,-0.019355701
android.sensor.gyroscope,1523718997286,751941656977077,0.0,0.0,0.0
android.sensor.gyroscope,1523718997305,751941677000515,0.0,0.0,0.0
android.sensor.gyroscope,1523718997326,751941696991140,-0.015271631,-0.038711403,-0.037891097
android.sensor.gyroscope,1523718997346,751941716981765,-0.008988446,-0.027541295,-0.02698279
android.sensor.gyroscope,1523718997366,751941736972390,-0.00816814,-0.036529742,-0.041992623
android.sensor.gyroscope,1523718997386,751941756994265,-0.010629055,-0.053441983,-0.06843436
android.sensor.gyroscope,1523718997406,751941776984890,-0.010629055,-0.05454154,-0.07826056
android.sensor.gyroscope,1523718997426,751941796977077,-0.010629055,-0.06735226,-0.10279989
android.sensor.gyroscope,1523718997446,751941816998952,-0.011990412,-0.038711403,-0.05508259
android.sensor.gyroscope,1523718997466,751941836991140,0.0,0.0,0.0
android.sensor.gyroscope,1523718997486,751941856980202,-0.009267698,-0.020996312,-0.032166418
android.sensor.gyroscope,1523718997506,751941876972390,-0.0095294975,-0.020996312,-0.032166418
android.sensor.gyroscope,1523718997526,751941896994265,-0.010088003,-0.020717058,-0.032166418
android.sensor.gyroscope,1523718997545,751941916984890,-0.014172073,-0.037891097,-0.05508259
android.sensor.gyroscope,1523718997566,751941936975515,0.0,0.0,0.0
android.sensor.gyroscope,1523718997586,751941956998952,-0.012810716,-0.018256145,-0.03244567
android.sensor.gyroscope,1523718997606,751941976989577,0.0019024089,-0.046076693,-0.06298893
android.sensor.gyroscope,1523718997626,751941996980202,0.04363323,-0.10662217,-0.13226105
android.sensor.gyroscope,1523718997646,751942017002077,0.28523916,-0.49850094,-0.7240324
android.sensor.gyroscope,1523718997666,751942036992702,0.4284085,-0.69212776,-0.8928406
android.sensor.gyroscope,1523718997686,751942056983327,0.43032837,-0.64603364,-0.6790378
android.sensor.gyroscope,1523718997706,751942076975515,0.34768704,-0.4805066,-0.37604862
android.sensor.gyroscope,1523718997726,751942096997390,0.18816395,-0.19142771,0.056164697
android.sensor.gyroscope,1523718997746,751942116988015,-0.0019024089,0.18516198,0.56695276
android.sensor.gyroscope,1523718997766,751942136978640,-0.20125392,0.6354046,1.1562806
android.sensor.gyroscope,1523718997786,751942157002077,-0.3755076,1.052643,1.7889625
android.sensor.gyroscope,1523718997806,751942176992702,-0.4704186,1.3409015,2.3368213
android.sensor.gyroscope,1523718997827,751942196983327,-0.50940925,1.5326085,2.6842465
android.sensor.gyroscope,1523718997846,751942216973952,-0.71420616,2.0147557,3.1609483
android.sensor.gyroscope,1523718997866,751942236995827,-1.1554604,2.8391445,3.9959836
android.sensor.gyroscope,1523718997886,751942256986452,-1.6989559,3.7216353,4.89427
android.sensor.gyroscope,1523718997906,751942276978640,-2.1194754,4.2621465,5.411882
android.sensor.gyroscope,1523718997926,751942297000515,-1.8402228,4.1238813,4.9398227
android.sensor.gyroscope,1523718997946,751942316992702,-0.38859755,2.580347,2.766888
android.sensor.gyroscope,1523718997966,751942336981765,0.53232545,0.14589207,1.0469183
android.sensor.gyroscope,1523718997986,751942356973952,0.48022735,-0.46169195,1.121374
android.sensor.gyroscope,1523718998006,751942376995827,0.31852257,-0.4237834,1.3021727
android.sensor.gyroscope,1523718998027,751942396986452,0.22825415,-0.34824553,1.3858961
android.sensor.gyroscope,1523718998046,751942416977077,0.19634955,-0.37250564,1.4243457
android.sensor.gyroscope,1523718998066,751942437000515,0.21760765,-0.47586402,1.438256
android.sensor.gyroscope,1523718998086,751942456989577,0.21162117,-0.6244963,1.5050672
android.sensor.gyroscope,1523718998106,751942476980202,0.08016297,-0.71720815,1.7379639
android.sensor.gyroscope,1523718998127,751942496972390,-0.28441885,-0.79194313,2.240287
android.sensor.gyroscope,1523718998146,751942516994265,-0.88411397,-0.85739297,2.8773324
android.sensor.gyroscope,1523718998166,751942536984890,-1.718329,-0.8816531,3.5053716
android.sensor.gyroscope,1523718998186,751942556977077,-2.7093444,-0.90238756,3.977169
android.sensor.gyroscope,1523718998206,751942576998952,-3.6929946,-0.8140216,4.1579676
android.sensor.gyroscope,1523718998226,751942596989577,-4.0417986,-0.5317669,3.9419832
android.sensor.gyroscope,1523718998246,751942616980202,-2.9444227,-0.6340432,3.4003901
android.sensor.gyroscope,1523718998266,751942637003640,0.43032837,-1.1044618,1.3864372
android.sensor.gyroscope,1523718998286,751942656992702,2.2132869,-1.1854451,-0.8080176
android.sensor.gyroscope,1523718998306,751942676984890,2.4099157,-0.8044746,-1.3460852
android.sensor.gyroscope,1523718998327,751942696975515,2.3013737,-0.5492202,-1.3858961
