Sensor, CurrentTimeMs, SensorTimestampNano, X, Y, Z
android.sensor.accelerometer,1523718700784,751645157002077,1.0055647,4.012682,8.6574335
android.sensor.accelerometer,1523718700804,751645176992702,1.0247183,4.012682,8.887277
android.sensor.accelerometer,1523718700824,751645196983327,0.9864111,4.012682,8.954314
android.sensor.accelerometer,1523718700844,751645216975515,1.0821792,4.012682,8.829816
android.sensor.accelerometer,1523718700864,751645236997390,1.1492168,3.964798,8.983045
android.sensor.accelerometer,1523718700884,751645256988015,0.94810385,3.9552212,9.251195
android.sensor.accelerometer,1523718700904,751645276978640,0.94810385,3.964798,9.040505
android.sensor.accelerometer,1523718700924,751645297000515,1.0342951,3.9552212,8.781932
android.sensor.accelerometer,1523718700944,751645316992702,0.9864111,3.9552212,8.925584
android.sensor.accelerometer,1523718700964,751645336981765,0.92895025,3.8881836,9.155427
android.sensor.accelerometer,1523718700984,751645356973952,1.0726024,3.9360676,9.078813
android.sensor.accelerometer,1523718701004,751645376995827,1.0055647,3.9743748,8.90643
android.sensor.accelerometer,1523718701025,751645396986452,0.94810385,4.0222588,8.829816
android.sensor.accelerometer,1523718701044,751645416977077,0.9672575,3.9552212,8.676587
android.sensor.accelerometer,1523718701064,751645437000515,1.043872,3.8402996,8.446744
android.sensor.accelerometer,1523718701084,751645456991140,1.340753,3.5338416,8.437167
android.sensor.accelerometer,1523718701104,751645476981765,1.2066777,3.6296098,7.9008656
android.sensor.accelerometer,1523718701124,751645496972390,1.3024458,2.9400797,6.5026517
android.sensor.accelerometer,1523718701144,751645516994265,2.2697031,1.0151415,4.548983
android.sensor.accelerometer,1523718701164,751645536986452,3.964798,-0.38307226,2.7102363
android.sensor.accelerometer,1523718701185,751645556977077,5.8801594,-1.5610195,-0.7278373
android.sensor.accelerometer,1523718701205,751645576998952,4.6926355,-1.5897499,-4.0222588
android.sensor.accelerometer,1523718701224,751645596989577,2.719813,-2.2122424,-8.561666
android.sensor.accelerometer,1523718701244,751645616980202,2.4899697,-4.060566,-13.369223
android.sensor.accelerometer,1523718701264,751645636972390,4.4819455,-6.703765,-12.670115
android.sensor.accelerometer,1523718701284,751645656994265,10.189722,-10.6877165,-7.9966335
android.sensor.accelerometer,1523718701304,751645676984890,16.500837,-14.441825,-4.8745947
android.sensor.accelerometer,1523718701324,751645696975515,16.40507,-15.648502,-4.9224787
