Sensor, CurrentTimeMs, SensorTimestampNano, X, Y, Z
android.sensor.accelerometer,1523719134244,752078616991140,0.31603462,5.497087,8.034941
android.sensor.accelerometer,1523719134264,752078636980202,0.49799395,5.4683566,8.015787
android.sensor.accelerometer,1523719134284,752078657003640,0.48841715,5.5258174,8.1402855
android.sensor.accelerometer,1523719134304,752078676994265,0.45010993,5.497087,8.054094
android.sensor.accelerometer,1523719134324,752078696984890,0.45010993,5.5258174,7.9583263
android.sensor.accelerometer,1523719134344,752078716975515,0.4309563,5.5162406,8.025364
android.sensor.accelerometer,1523719134364,752078736997390,0.31603462,5.535394,8.082825
android.sensor.accelerometer,1523719134384,752078756989577,0.29688102,5.5258174,8.101978
android.sensor.accelerometer,1523719134404,752078776978640,0.29688102,5.5258174,8.054094
android.sensor.accelerometer,1523719134424,752078797002077,0.39264908,5.4779334,8.034941
android.sensor.accelerometer,1523719134444,752078816992702,0.32561144,5.5258174,8.063671
android.sensor.accelerometer,1523719134464,752078836983327,0.2873042,5.535394,8.0924015
android.sensor.accelerometer,1523719134484,752078856975515,0.25857377,5.5737014,8.0445175
android.sensor.accelerometer,1523719134504,752078876995827,0.31603462,5.583278,8.025364
android.sensor.accelerometer,1523719134524,752078896988015,0.33518824,5.5162406,8.1402855
android.sensor.accelerometer,1523719134544,752078916978640,0.32561144,5.4683566,8.2169
android.sensor.accelerometer,1523719134564,752078937000515,0.35434186,5.4300494,8.1402855
android.sensor.accelerometer,1523719134584,752078956991140,0.30645782,5.48751,8.0445175
android.sensor.accelerometer,1523719134604,752078976981765,0.2681506,5.5258174,7.9391727
android.sensor.accelerometer,1523719134624,752078996973952,0.34476504,5.5162406,7.7667904
android.sensor.accelerometer,1523719134644,752079016995827,0.41180268,5.544971,7.8912888
android.sensor.accelerometer,1523719134664,752079036986452,0.31603462,5.4683566,8.111555
android.sensor.accelerometer,1523719134684,752079056977077,0.38307226,5.4300494,8.1881695
android.sensor.accelerometer,1523719134704,752079076998952,0.45010993,5.439626,8.159439
android.sensor.accelerometer,1523719134724,752079096991140,0.34476504,5.583278,7.920019
android.sensor.accelerometer,1523719134744,752079116981765,0.18195933,5.6886234,7.8529816
android.sensor.accelerometer,1523719134764,752079136972390,0.22026655,5.66947,8.130709
android.sensor.accelerometer,1523719134784,752079156994265,0.20111294,5.793968,8.561666
android.sensor.accelerometer,1523719134804,752079176986452,0.2681506,6.081272,8.542512
android.sensor.accelerometer,1523719134824,752079196977077,1.1109096,6.933608,9.078813
android.sensor.accelerometer,1523719134844,752079216998952,2.8443117,8.6095495,9.835381
android.sensor.accelerometer,1523719134864,752079236991140,5.602432,10.994174,11.377247
android.sensor.accelerometer,1523719134884,752079256981765,9.921572,13.034034,13.445837
android.sensor.accelerometer,1523719134904,752079276972390,11.262324,14.173674,18.454506
android.sensor.accelerometer,1523719134924,752079296994265,10.275913,10.879252,25.847801
android.sensor.accelerometer,1523719134944,752079316984890,10.218452,6.895301,27.313053
android.sensor.accelerometer,1523719134964,752079336975515,8.101978,4.759673,24.71774
android.sensor.accelerometer,1523719134984,752079356997390,6.4164605,3.064578,17.525557
android.sensor.accelerometer,1523719135004,752079376989577,2.7964275,2.4037786,11.693281
android.sensor.accelerometer,1523719135024,752079396980202,-3.9264908,2.7102363,7.1730285
android.sensor.accelerometer,1523719135044,752079417002077,-8.121132,3.8498764,1.13964
android.sensor.accelerometer,1523719135064,752079436992702,-10.94629,4.5298295,0.61291564
android.sensor.accelerometer,1523719135084,752079456983327,-11.386824,3.6774938,0.38307226
android.sensor.accelerometer,1523719135104,752079476975515,-9.222465,1.9057846,4.012682
android.sensor.accelerometer,1523719135124,752079496995827,-6.1100025,-0.6703765,11.463438
android.sensor.accelerometer,1523719135144,752079516988015,-3.514688,-2.96881,20.551826
android.sensor.accelerometer,1523719135164,752079536978640,2.681506,-6.38773,28.452694
android.sensor.accelerometer,1523719135184,752079557000515,12.277467,-9.825804,21.586123
android.sensor.accelerometer,1523719135204,752079576992702,19.814413,-11.971008,12.26789
android.sensor.accelerometer,1523719135224,752079596983327,16.749836,-15.073894,12.210428
android.sensor.accelerometer,1523719135244,752079616973952,6.933608,-18.128895,12.191275
android.sensor.accelerometer,1523719135264,752079636995827,-4.6351743,-19.64203,4.3957543
android.sensor.accelerometer,1523719135284,752079656986452,-17.640478,-19.891027,-4.76925
android.sensor.accelerometer,1523719135304,752079676978640,-27.954699,-14.729129,-8.101978
android.sensor.accelerometer,1523719135324,752079697000515,-28.88365,-11.980585,-0.80445176
android.sensor.accelerometer,1523719135344,752079716991140,-32.407913,-11.990162,13.800179
android.sensor.accelerometer,1523719135364,752079736981765,-40.155552,-8.820239,17.99482
android.sensor.accelerometer,1523719135384,752079756972390,-37.541084,-7.73806,10.860099
android.sensor.accelerometer,1523719135404,752079776995827,-28.988995,-9.126697,5.353435
android.sensor.accelerometer,1523719135424,752079796984890,-22.390574,-12.74673,2.8060043
android.sensor.accelerometer,1523719135444,752079816977077,-17.54471,-16.730682,-0.076614454
android.sensor.accelerometer,1523719135464,752079836998952,-11.808203,-20.015526,-3.715801
android.sensor.accelerometer,1523719135484,752079856989577,1.934515,-21.89258,-3.3135753
android.sensor.accelerometer,1523719135504,752079876981765,35.472492,-18.588581,8.810662
android.sensor.accelerometer,1523719135524,752079896972390,63.589996,-12.0093155,28.596346
android.sensor.accelerometer,1523719135544,752079916994265,41.726147,-4.3766007,29.793446
android.sensor.accelerometer,1523719135564,752079936984890,25.07208,-3.1986535,11.769896
android.sensor.accelerometer,1523719135584,752079956977077,19.440918,-4.2904096,6.1770406
android.sensor.accelerometer,1523719135604,752079976997390,14.384364,-9.509769,7.6710224
android.sensor.accelerometer,1523719135624,752079996989577,5.707777,-13.474567,6.349423
android.sensor.accelerometer,1523719135644,752080016980202,-7.833828,-16.788143,5.0374002
android.sensor.accelerometer,1523719135664,752080037002077,-21.183897,-16.366762,7.240066
android.sensor.accelerometer,1523719135684,752080056992702,-28.807035,-13.2351465,11.444284
android.sensor.accelerometer,1523719135704,752080076983327,-30.95224,-11.415554,17.975666
android.sensor.accelerometer,1523719135724,752080096975515,-34.313698,-10.965444,23.731327
android.sensor.accelerometer,1523719135744,752080116997390,-37.21547,-8.389283,20.235792
