Sensor, CurrentTimeMs, SensorTimestampNano, X, Y, Z
android.sensor.gyroscope,1523719096369,752040736973952,0.013351769,-0.047438048,-0.02698279
android.sensor.gyroscope,1523719096385,752040756995827,0.013631022,-0.047717303,-0.02617994
android.sensor.gyroscope,1523719096406,752040776984890,0.0,0.0,0.0
android.sensor.gyroscope,1523719096426,752040796977077,0.0,0.0,0.0
android.sensor.gyroscope,1523719096446,752040816998952,0.008726646,-0.033265974,-0.019355701
android.sensor.gyroscope,1523719096466,752040836989577,0.009267698,-0.033527777,-0.018535396
android.sensor.gyroscope,1523719096486,752040856980202,0.0,0.0,0.0
android.sensor.gyroscope,1523719096506,752040877003640,0.0,0.0,0.0
android.sensor.gyroscope,1523719096526,752040896994265,0.0,0.0,0.0
android.sensor.gyroscope,1523719096546,752040916984890,0.0,0.0,0.0
android.sensor.gyroscope,1523719096566,752040936975515,0.0,0.0,0.0
android.sensor.gyroscope,1523719096586,752040956998952,0.0,0.0,0.0
android.sensor.gyroscope,1523719096606,752040976989577,0.0,0.0,0.0
android.sensor.gyroscope,1523719096626,752040996978640,0.0,0.0,0.0
android.sensor.gyroscope,1523719096646,752041017002077,0.0,0.0,0.0
android.sensor.gyroscope,1523719096666,752041036992702,0.020176006,-0.05862561,-0.028902652
android.sensor.gyroscope,1523719096686,752041056983327,0.017715093,-0.033527777,-0.01144936
android.sensor.gyroscope,1523719096706,752041076975515,0.0,0.0,0.0
android.sensor.gyroscope,1523719096726,752041096997390,0.0,0.0,0.0
android.sensor.gyroscope,1523719096746,752041116988015,0.026441738,-0.01881465,0.022619467
android.sensor.gyroscope,1523719096766,752041136978640,0.0,0.0,0.0
android.sensor.gyroscope,1523719096786,752041157000515,0.044174284,-0.033265974,-0.010088003
android.sensor.gyroscope,1523719096806,752041176992702,0.11753047,-0.04499459,0.09271189
android.sensor.gyroscope,1523719096826,752041196983327,0.16198401,-0.051539574,0.13606587
android.sensor.gyroscope,1523719096846,752041216973952,0.21216223,-0.012810716,0.4147775
android.sensor.gyroscope,1523719096866,752041236995827,0.23698081,0.038990654,0.762482
android.sensor.gyroscope,1523719096886,752041256986452,0.218969,0.102538094,1.0619106
android.sensor.gyroscope,1523719096906,752041276977077,0.16606808,0.13498376,1.194451
android.sensor.gyroscope,1523719096927,752041297000515,0.1227141,0.14016739,1.23126
android.sensor.gyroscope,1523719096946,752041316991140,0.10197959,0.16088445,1.2236329
android.sensor.gyroscope,1523719096966,752041336981765,0.10389945,0.2473306,1.319626
android.sensor.gyroscope,1523719096986,752041356972390,0.14779449,0.39350194,1.5399739
android.sensor.gyroscope,1523719097006,752041376995827,0.21760765,0.5740388,1.791947
android.sensor.gyroscope,1523719097028,752041396984890,0.30705577,0.8031133,2.0853891
android.sensor.gyroscope,1523719097046,752041416977077,0.40168753,1.1469954,2.4887173
android.sensor.gyroscope,1523719097067,752041436998952,0.44505897,1.4756061,2.5978005
android.sensor.gyroscope,1523719097087,752041456989577,0.580863,1.9744037,3.1525009
android.sensor.gyroscope,1523719097107,752041476981765,0.745849,2.6899886,4.08243
android.sensor.gyroscope,1523719097127,752041496972390,0.9083741,3.7352664,5.537057
android.sensor.gyroscope,1523719097147,752041516994265,0.9640151,4.9523716,7.279646
android.sensor.gyroscope,1523719097167,752041536984890,0.8055742,5.848476,8.582098
android.sensor.gyroscope,1523719097187,752041556975515,0.55686474,5.907381,8.560282
android.sensor.gyroscope,1523719097206,752041576998952,0.41968188,5.5730457,7.8782415
android.sensor.gyroscope,1523719097226,752041596989577,0.38695696,4.8454704,6.777323
android.sensor.gyroscope,1523719097245,752041616980202,0.3332357,3.9005315,5.600046
android.sensor.gyroscope,1523719097266,752041637002077,0.1977109,2.908155,4.5760264
android.sensor.gyroscope,1523719097286,752041656994265,-0.04363323,1.7895036,3.6624513
android.sensor.gyroscope,1523719097306,752041676983327,-0.37468728,0.97056013,3.120317
android.sensor.gyroscope,1523719097326,752041696975515,-0.70739937,0.5884901,2.887141
android.sensor.gyroscope,1523719097346,752041716997390,-0.9803689,0.45895177,2.7652473
android.sensor.gyroscope,1523719097366,752041736988015,-1.2277169,0.42214277,2.6692543
android.sensor.gyroscope,1523719097386,752041756978640,-1.4666176,0.41151372,2.553626
android.sensor.gyroscope,1523719097406,752041777002077,-1.7633235,0.45977208,2.4663596
android.sensor.gyroscope,1523719097427,752041796992702,-2.1431944,0.59639645,2.4058142
android.sensor.gyroscope,1523719097446,752041816983327,-2.5375342,0.9372942,2.3340986
android.sensor.gyroscope,1523719097466,752041836973952,-2.8045173,1.4611547,2.2078414
android.sensor.gyroscope,1523719097486,752041856995827,-2.866424,1.9912984,2.038754
android.sensor.gyroscope,1523719097506,752041876986452,-2.7557003,2.2871842,1.873768
android.sensor.gyroscope,1523719097527,752041896978640,-2.5462608,2.2258358,1.6790591
android.sensor.gyroscope,1523719097546,752041917000515,-2.3409228,1.8314961,1.3864372
android.sensor.gyroscope,1523719097566,752041936991140,-2.1451144,1.4232461,1.0968173
android.sensor.gyroscope,1523719097586,752041956981765,-1.9452218,1.0515609,0.8290314
android.sensor.gyroscope,1523719097606,752041976973952,-1.7870426,0.6981317,0.5865877
android.sensor.gyroscope,1523719097627,752041996994265,-1.6569632,0.3588746,0.34768704
android.sensor.gyroscope,1523719097646,752042016986452,-1.5282452,0.03190462,0.09979793
android.sensor.gyroscope,1523719097666,752042036977077,-1.3490697,-0.26342255,-0.13552481
android.sensor.gyroscope,1523719097686,752042056998952,-1.1565424,-0.43086943,-0.28061405
android.sensor.gyroscope,1523719097706,752042076991140,-0.9593726,-0.50040334,-0.35369098
android.sensor.gyroscope,1523719097727,752042096980202,-0.76930624,-0.47614327,-0.34824553
android.sensor.gyroscope,1523719097746,752042116972390,-0.5467768,-0.34524357,-0.24788912
android.sensor.gyroscope,1523719097766,752042136994265,-0.38777724,-0.07716101,-0.02453933
android.sensor.gyroscope,1523719097786,752042156984890,-0.24788912,0.21542598,0.21678734
android.sensor.gyroscope,1523719097806,752042176977077,-0.055623643,0.4079707,0.3433237
android.sensor.gyroscope,1523719097826,752042196997390,0.178617,0.4595103,0.340601
android.sensor.gyroscope,1523719097846,752042216989577,0.47668433,0.3817908,0.24652776
android.sensor.gyroscope,1523719097866,752042236978640,0.77284926,0.26342255,0.14697418
android.sensor.gyroscope,1523719097886,752042257002077,1.062731,0.16716763,0.06899287
android.sensor.gyroscope,1523719097906,752042276992702,1.3668022,0.11098549,0.032724924
